,H04,H03,H02,H01
177,0.653,0.656,0.661,0.657
178,0.653,0.657,0.663,0.657
179,0.653,0.656,0.661,0.656
180,0.653,0.655,0.661,0.657
181,0.653,0.658,0.662,0.658
182,0.653,0.658,0.663,0.657
183,0.653,0.659,0.662,0.657
184,0.648,0.658,0.662,0.657
185,0.651,0.657,0.662,0.657
186,0.652,0.659,0.661,0.656
187,0.65,0.66,0.661,0.657
188,0.653,0.657,0.664,0.656
189,0.653,0.658,0.663,0.659
190,0.654,0.658,0.662,0.659
191,0.65,0.658,0.661,0.657
192,0.653,0.659,0.66,0.658
193,0.653,0.657,0.663,0.658
194,0.653,0.657,0.66,0.657
195,0.651,0.656,0.661,0.654
196,0.653,0.658,0.663,0.657
197,0.652,0.657,0.663,0.659
198,0.653,0.656,0.659,0.658
199,0.652,0.658,0.663,0.657
200,0.654,0.657,0.662,0.658
201,0.653,0.658,0.661,0.659
202,0.653,0.658,0.662,0.659
203,0.653,0.655,0.662,0.659
204,0.652,0.655,0.663,0.659
205,0.652,0.659,0.662,0.66
206,0.653,0.658,0.663,0.657
207,0.652,0.66,0.66,0.656
208,0.651,0.659,0.662,0.658
209,0.653,0.659,0.659,0.658
210,0.653,0.658,0.663,0.656
211,0.653,0.657,0.661,0.659
212,0.653,0.659,0.663,0.657
213,0.654,0.657,0.661,0.659
214,0.655,0.657,0.661,0.657
215,0.653,0.657,0.662,0.656
216,0.653,0.656,0.661,0.659
217,0.65,0.658,0.662,0.657
218,0.652,0.658,0.663,0.656
219,0.653,0.656,0.661,0.658
220,0.65,0.658,0.664,0.658
221,0.651,0.66,0.661,0.657
222,0.651,0.658,0.661,0.658
223,0.652,0.656,0.662,0.658
224,0.654,0.656,0.662,0.656
225,0.653,0.656,0.662,0.654
226,0.654,0.658,0.661,0.659
227,0.654,0.659,0.661,0.659
228,0.652,0.658,0.662,0.658
229,0.65,0.655,0.663,0.657
230,0.653,0.657,0.663,0.658
231,0.655,0.658,0.662,0.658
232,0.653,0.655,0.662,0.657
233,0.651,0.657,0.662,0.659
234,0.653,0.656,0.662,0.657
235,0.653,0.658,0.662,0.657
236,0.653,0.656,0.663,0.654
237,0.652,0.657,0.663,0.656
238,0.653,0.656,0.662,0.658
239,0.653,0.656,0.663,0.658
240,0.653,0.659,0.662,0.657
241,0.651,0.659,0.663,0.657
242,0.652,0.658,0.662,0.654
243,0.651,0.66,0.66,0.657
244,0.654,0.657,0.663,0.659
245,0.653,0.658,0.662,0.661
246,0.654,0.658,0.662,0.658
247,0.648,0.658,0.662,0.658
248,0.651,0.658,0.663,0.658
249,0.652,0.658,0.662,0.658
250,0.652,0.657,0.663,0.659
251,0.653,0.656,0.66,0.657
252,0.653,0.658,0.665,0.659
253,0.652,0.66,0.663,0.656
254,0.653,0.658,0.659,0.659
255,0.654,0.66,0.663,0.657
256,0.651,0.656,0.663,0.659
257,0.653,0.656,0.661,0.657
258,0.652,0.657,0.664,0.658
259,0.65,0.659,0.662,0.66
260,0.654,0.657,0.66,0.658
261,0.649,0.655,0.663,0.659
262,0.651,0.659,0.662,0.657
263,0.654,0.661,0.663,0.66
264,0.653,0.657,0.659,0.656
265,0.651,0.657,0.662,0.657
266,0.653,0.655,0.664,0.658
267,0.651,0.658,0.663,0.656
268,0.65,0.657,0.664,0.659
269,0.655,0.658,0.662,0.657
270,0.653,0.658,0.663,0.659
271,0.653,0.657,0.662,0.657
272,0.653,0.657,0.661,0.656
273,0.652,0.657,0.664,0.656
274,0.651,0.658,0.664,0.657
275,0.653,0.658,0.661,0.658
276,0.653,0.658,0.659,0.659
277,0.653,0.657,0.663,0.657
278,0.65,0.657,0.663,0.657
279,0.657,0.658,0.662,0.657
280,0.653,0.657,0.662,0.661
281,0.652,0.659,0.664,0.657
282,0.653,0.659,0.66,0.654
283,0.651,0.659,0.66,0.657
284,0.65,0.657,0.663,0.657
285,0.653,0.656,0.66,0.656
286,0.653,0.656,0.661,0.659
287,0.651,0.656,0.663,0.657
288,0.65,0.658,0.66,0.656
289,0.655,0.658,0.662,0.656
290,0.652,0.659,0.663,0.656
291,0.652,0.656,0.662,0.659
292,0.655,0.66,0.662,0.656
293,0.651,0.656,0.661,0.657
294,0.651,0.656,0.663,0.658
295,0.651,0.658,0.662,0.657
296,0.651,0.657,0.663,0.657
297,0.651,0.657,0.662,0.659
298,0.653,0.656,0.661,0.657
299,0.65,0.657,0.659,0.657
300,0.653,0.659,0.661,0.656
301,0.653,0.656,0.662,0.657
302,0.653,0.658,0.662,0.659
303,0.651,0.659,0.66,0.659
304,0.654,0.659,0.663,0.658
305,0.651,0.658,0.66,0.658
306,0.656,0.658,0.662,0.659
307,0.654,0.659,0.663,0.658
308,0.653,0.658,0.661,0.658
309,0.654,0.659,0.66,0.657
310,0.653,0.657,0.662,0.659
311,0.652,0.655,0.663,0.658
312,0.65,0.66,0.662,0.658
313,0.653,0.657,0.663,0.656
314,0.653,0.658,0.663,0.657
315,0.651,0.659,0.661,0.658
316,0.651,0.658,0.662,0.659
317,0.653,0.66,0.661,0.657
318,0.653,0.658,0.663,0.657
319,0.653,0.657,0.661,0.659
320,0.653,0.655,0.662,0.658
321,0.654,0.658,0.664,0.657
