,H04,H03,H02,H01
1780,0.651,0.659,0.662,0.66
1781,0.652,0.657,0.662,0.657
1782,0.653,0.655,0.664,0.658
1783,0.652,0.656,0.66,0.656
1784,0.652,0.658,0.662,0.654
1785,0.653,0.656,0.66,0.657
1786,0.652,0.656,0.662,0.659
1787,0.654,0.659,0.664,0.659
1788,0.652,0.657,0.662,0.659
1789,0.653,0.657,0.663,0.657
1790,0.653,0.658,0.661,0.659
1791,0.651,0.66,0.665,0.659
1792,0.653,0.659,0.663,0.659
1793,0.653,0.658,0.663,0.656
1794,0.651,0.659,0.663,0.657
1795,0.651,0.657,0.661,0.657
1796,0.651,0.657,0.662,0.659
1797,0.653,0.656,0.66,0.658
1798,0.654,0.659,0.663,0.656
1799,0.654,0.656,0.662,0.656
1800,0.651,0.654,0.662,0.66
1801,0.653,0.659,0.664,0.659
1802,0.653,0.657,0.66,0.658
1803,0.653,0.657,0.662,0.657
1804,0.653,0.657,0.662,0.658
1805,0.651,0.656,0.662,0.659
1806,0.651,0.657,0.663,0.658
1807,0.653,0.659,0.661,0.659
1808,0.651,0.658,0.662,0.653
1809,0.653,0.656,0.661,0.656
1810,0.653,0.656,0.663,0.658
1811,0.652,0.655,0.664,0.657
1812,0.653,0.658,0.661,0.659
1813,0.652,0.657,0.663,0.657
1814,0.654,0.658,0.66,0.661
1815,0.652,0.657,0.661,0.657
1816,0.652,0.657,0.661,0.657
1817,0.653,0.658,0.662,0.657
1818,0.653,0.656,0.662,0.657
1819,0.653,0.656,0.662,0.657
1820,0.654,0.659,0.664,0.656
1821,0.652,0.658,0.662,0.657
1822,0.652,0.655,0.663,0.657
1823,0.651,0.658,0.661,0.657
1824,0.654,0.658,0.662,0.656
1825,0.653,0.654,0.662,0.659
1826,0.652,0.655,0.661,0.657
1827,0.651,0.655,0.662,0.659
1828,0.651,0.658,0.663,0.657
1829,0.651,0.659,0.663,0.659
1830,0.651,0.657,0.662,0.658
1831,0.653,0.658,0.663,0.658
1832,0.653,0.658,0.662,0.659
1833,0.653,0.657,0.659,0.657
1834,0.653,0.659,0.662,0.656
1835,0.653,0.658,0.663,0.658
1836,0.651,0.659,0.661,0.659
1837,0.653,0.654,0.663,0.657
1838,0.649,0.658,0.663,0.656
1839,0.652,0.658,0.661,0.658
1840,0.65,0.659,0.664,0.659
1841,0.655,0.657,0.663,0.657
1842,0.653,0.659,0.664,0.658
1843,0.653,0.658,0.662,0.657
1844,0.653,0.656,0.663,0.658
1845,0.651,0.658,0.659,0.658
1846,0.651,0.658,0.66,0.658
1847,0.653,0.657,0.661,0.656
1848,0.653,0.657,0.66,0.656
1849,0.653,0.655,0.661,0.657
1850,0.653,0.657,0.662,0.657
1851,0.653,0.656,0.661,0.657
1852,0.651,0.657,0.662,0.654
1853,0.653,0.658,0.661,0.656
1854,0.651,0.657,0.663,0.657
1855,0.653,0.657,0.662,0.656
1856,0.653,0.657,0.662,0.657
1857,0.651,0.657,0.661,0.657
1858,0.651,0.658,0.661,0.657
1859,0.652,0.658,0.663,0.657
1860,0.652,0.657,0.661,0.659
1861,0.653,0.657,0.663,0.657
1862,0.653,0.658,0.662,0.658
1863,0.654,0.657,0.661,0.657
1864,0.654,0.658,0.662,0.657
1865,0.653,0.657,0.663,0.658
1866,0.653,0.657,0.662,0.658
1867,0.654,0.658,0.661,0.659
1868,0.653,0.659,0.659,0.658
1869,0.651,0.657,0.663,0.656
1870,0.653,0.655,0.663,0.657
1871,0.654,0.656,0.663,0.657
1872,0.652,0.657,0.661,0.658
1873,0.654,0.658,0.662,0.655
1874,0.653,0.657,0.659,0.657
1875,0.653,0.657,0.662,0.659
1876,0.653,0.658,0.663,0.657
1877,0.653,0.658,0.661,0.657
1878,0.653,0.658,0.661,0.661
1879,0.652,0.658,0.662,0.659
1880,0.653,0.659,0.665,0.658
1881,0.65,0.658,0.662,0.657
1882,0.654,0.657,0.659,0.656
1883,0.653,0.658,0.661,0.658
1884,0.653,0.658,0.663,0.657
1885,0.653,0.658,0.662,0.658
1886,0.654,0.657,0.659,0.659
1887,0.653,0.658,0.663,0.658
1888,0.654,0.658,0.661,0.659
1889,0.651,0.656,0.661,0.658
1890,0.653,0.658,0.66,0.653
1891,0.653,0.66,0.663,0.657
1892,0.652,0.658,0.662,0.658
1893,0.651,0.655,0.661,0.657
1894,0.651,0.657,0.664,0.657
1895,0.651,0.657,0.662,0.656
1896,0.652,0.658,0.662,0.659
1897,0.653,0.658,0.662,0.657
1898,0.654,0.658,0.663,0.656
1899,0.651,0.659,0.662,0.658
1900,0.653,0.657,0.663,0.657
1901,0.652,0.655,0.663,0.657
1902,0.653,0.657,0.662,0.657
1903,0.651,0.66,0.662,0.657
1904,0.654,0.658,0.661,0.657
1905,0.652,0.658,0.662,0.657
1906,0.651,0.659,0.664,0.656
1907,0.653,0.655,0.663,0.658
1908,0.653,0.659,0.66,0.659
1909,0.653,0.659,0.663,0.658
1910,0.653,0.659,0.663,0.656
1911,0.65,0.658,0.662,0.656
1912,0.651,0.656,0.661,0.658
1913,0.653,0.656,0.663,0.657
1914,0.653,0.656,0.665,0.654
1915,0.653,0.656,0.662,0.658
1916,0.657,0.657,0.662,0.658
1917,0.652,0.658,0.662,0.659
1918,0.651,0.659,0.665,0.659
1919,0.651,0.658,0.662,0.656
1920,0.652,0.659,0.662,0.659
1921,0.653,0.656,0.659,0.659
1922,0.648,0.657,0.663,0.658
1923,0.653,0.658,0.661,0.656
1924,0.651,0.656,0.661,0.657
1925,0.653,0.657,0.662,0.657
1926,0.652,0.657,0.663,0.661
1927,0.653,0.659,0.662,0.661
1928,0.653,0.659,0.662,0.657
1929,0.653,0.655,0.663,0.657
1930,0.651,0.658,0.664,0.657
1931,0.652,0.656,0.662,0.657
1932,0.653,0.657,0.662,0.657
1933,0.652,0.658,0.664,0.659
1934,0.652,0.657,0.66,0.659
1935,0.653,0.657,0.662,0.659
1936,0.651,0.659,0.663,0.657
1937,0.653,0.655,0.662,0.659
1938,0.653,0.659,0.661,0.659
1939,0.653,0.656,0.663,0.657
1940,0.657,0.658,0.663,0.657
1941,0.654,0.659,0.662,0.657
1942,0.653,0.659,0.661,0.659
1943,0.653,0.658,0.659,0.654
1944,0.65,0.658,0.661,0.658
1945,0.653,0.656,0.662,0.657
1946,0.653,0.657,0.661,0.659
1947,0.65,0.659,0.662,0.658
1948,0.653,0.657,0.662,0.657
1949,0.652,0.657,0.661,0.659
1950,0.651,0.657,0.662,0.66
1951,0.653,0.657,0.662,0.657
1952,0.652,0.657,0.663,0.658
1953,0.652,0.656,0.66,0.657
1954,0.652,0.657,0.663,0.659
1955,0.65,0.658,0.659,0.658
1956,0.653,0.657,0.661,0.657
1957,0.652,0.656,0.66,0.656
1958,0.652,0.656,0.66,0.657
1959,0.649,0.658,0.664,0.659
1960,0.65,0.657,0.663,0.654
1961,0.654,0.656,0.661,0.659
1962,0.65,0.658,0.661,0.658
1963,0.65,0.657,0.663,0.656
1964,0.653,0.658,0.661,0.659
1965,0.653,0.661,0.66,0.657
1966,0.653,0.657,0.663,0.657
1967,0.654,0.66,0.66,0.658
1968,0.654,0.655,0.661,0.657
1969,0.653,0.657,0.662,0.657
1970,0.653,0.657,0.662,0.659
1971,0.653,0.654,0.663,0.657
1972,0.653,0.656,0.662,0.657
1973,0.651,0.657,0.662,0.657
1974,0.652,0.658,0.663,0.657
1975,0.653,0.658,0.661,0.654
1976,0.653,0.658,0.664,0.659
1977,0.651,0.658,0.662,0.657
1978,0.651,0.657,0.659,0.659
1979,0.652,0.658,0.661,0.658
1980,0.652,0.658,0.661,0.657
1981,0.653,0.657,0.662,0.659
1982,0.652,0.657,0.664,0.658
1983,0.654,0.656,0.662,0.657
1984,0.651,0.659,0.659,0.658
1985,0.653,0.658,0.662,0.658
1986,0.653,0.656,0.662,0.657
1987,0.654,0.659,0.662,0.657
1988,0.653,0.658,0.663,0.657
1989,0.653,0.658,0.661,0.657
1990,0.652,0.658,0.659,0.659
1991,0.651,0.657,0.662,0.657
1992,0.653,0.658,0.663,0.657
1993,0.651,0.657,0.662,0.658
1994,0.653,0.658,0.663,0.657
1995,0.652,0.658,0.661,0.658
1996,0.652,0.654,0.662,0.657
1997,0.651,0.658,0.665,0.659
1998,0.653,0.659,0.662,0.658
1999,0.652,0.654,0.663,0.658
2000,0.653,0.656,0.662,0.656
2001,0.653,0.656,0.669,0.657
2002,0.653,0.657,0.663,0.654
2003,0.651,0.659,0.661,0.657
2004,0.654,0.656,0.661,0.656
2005,0.651,0.659,0.661,0.656
2006,0.653,0.656,0.663,0.657
2007,0.653,0.658,0.66,0.657
2008,0.652,0.658,0.661,0.656
2009,0.65,0.655,0.662,0.657
2010,0.653,0.659,0.664,0.659
2011,0.653,0.659,0.662,0.659
2012,0.653,0.656,0.663,0.657
2013,0.652,0.655,0.663,0.657
2014,0.652,0.657,0.66,0.656
2015,0.651,0.658,0.663,0.656
2016,0.65,0.658,0.66,0.659
2017,0.653,0.658,0.663,0.656
2018,0.652,0.657,0.662,0.657
2019,0.653,0.655,0.662,0.657
2020,0.652,0.658,0.661,0.655
2021,0.653,0.659,0.662,0.657
2022,0.653,0.658,0.663,0.658
2023,0.651,0.659,0.661,0.659
2024,0.65,0.658,0.662,0.656
2025,0.652,0.658,0.663,0.657
2026,0.653,0.657,0.661,0.657
2027,0.653,0.657,0.662,0.658
2028,0.653,0.659,0.662,0.657
2029,0.652,0.658,0.659,0.657
2030,0.65,0.657,0.662,0.657
2031,0.652,0.656,0.662,0.658
2032,0.653,0.658,0.661,0.66
2033,0.653,0.659,0.663,0.659
2034,0.653,0.659,0.664,0.661
2035,0.651,0.657,0.665,0.657
2036,0.651,0.658,0.663,0.659
2037,0.653,0.657,0.661,0.657
2038,0.65,0.656,0.658,0.658
2039,0.653,0.658,0.661,0.654
2040,0.653,0.656,0.662,0.658
2041,0.653,0.659,0.663,0.658
2042,0.653,0.66,0.663,0.659
2043,0.649,0.658,0.662,0.658
2044,0.652,0.658,0.663,0.658
2045,0.653,0.657,0.663,0.658
2046,0.653,0.658,0.661,0.657
2047,0.653,0.659,0.661,0.657
2048,0.652,0.66,0.662,0.66
2049,0.653,0.657,0.662,0.654
2050,0.652,0.656,0.662,0.659
2051,0.653,0.658,0.662,0.655
2052,0.652,0.657,0.661,0.657
2053,0.653,0.657,0.661,0.661
2054,0.651,0.655,0.663,0.659
2055,0.653,0.66,0.662,0.654
2056,0.652,0.657,0.659,0.656
2057,0.653,0.657,0.66,0.657
2058,0.653,0.656,0.662,0.657
2059,0.654,0.659,0.662,0.657
2060,0.653,0.658,0.663,0.661
2061,0.653,0.656,0.664,0.658
2062,0.652,0.657,0.66,0.656
2063,0.653,0.657,0.662,0.657
2064,0.651,0.656,0.662,0.657
2065,0.652,0.657,0.665,0.658
2066,0.652,0.66,0.661,0.658
2067,0.653,0.658,0.659,0.659
2068,0.652,0.657,0.662,0.654
2069,0.653,0.656,0.661,0.658
2070,0.653,0.659,0.663,0.654
2071,0.653,0.657,0.662,0.659
2072,0.653,0.657,0.662,0.657
2073,0.654,0.657,0.663,0.657
2074,0.651,0.656,0.662,0.658
2075,0.653,0.656,0.663,0.657
2076,0.653,0.657,0.662,0.654
2077,0.652,0.659,0.662,0.657
2078,0.654,0.657,0.662,0.658
2079,0.653,0.656,0.663,0.657
2080,0.651,0.656,0.662,0.657
2081,0.653,0.657,0.662,0.656
2082,0.654,0.659,0.662,0.658
2083,0.653,0.656,0.661,0.657
2084,0.653,0.658,0.662,0.657
2085,0.652,0.66,0.66,0.654
2086,0.653,0.656,0.665,0.658
2087,0.652,0.656,0.66,0.657
2088,0.653,0.657,0.662,0.658
2089,0.653,0.655,0.663,0.659
2090,0.653,0.657,0.662,0.656
2091,0.65,0.657,0.663,0.657
2092,0.653,0.658,0.664,0.657
2093,0.651,0.658,0.661,0.658
2094,0.653,0.657,0.662,0.658
2095,0.654,0.656,0.661,0.654
2096,0.654,0.654,0.664,0.661
2097,0.65,0.656,0.662,0.659
2098,0.652,0.657,0.662,0.659
2099,0.652,0.658,0.663,0.658
2100,0.651,0.657,0.663,0.657
2101,0.651,0.658,0.662,0.657
2102,0.654,0.657,0.663,0.66
2103,0.654,0.658,0.662,0.657
2104,0.651,0.657,0.664,0.657
2105,0.654,0.656,0.66,0.658
2106,0.65,0.657,0.662,0.658
2107,0.652,0.658,0.663,0.657
2108,0.653,0.655,0.66,0.657
2109,0.651,0.658,0.663,0.657
2110,0.652,0.658,0.664,0.659
2111,0.654,0.658,0.661,0.657
2112,0.653,0.658,0.662,0.657
2113,0.653,0.658,0.663,0.658
2114,0.654,0.657,0.662,0.657
2115,0.652,0.657,0.663,0.659
2116,0.653,0.656,0.663,0.658
2117,0.653,0.659,0.663,0.658
2118,0.651,0.658,0.66,0.657
2119,0.652,0.656,0.662,0.659
2120,0.652,0.656,0.664,0.657
2121,0.653,0.657,0.661,0.657
2122,0.652,0.656,0.661,0.656
2123,0.652,0.657,0.659,0.657
2124,0.652,0.658,0.661,0.657
2125,0.653,0.657,0.662,0.658
2126,0.653,0.658,0.663,0.657
2127,0.651,0.659,0.663,0.656
2128,0.653,0.657,0.661,0.657
2129,0.653,0.658,0.662,0.657
2130,0.65,0.659,0.663,0.658
2131,0.653,0.657,0.662,0.66
2132,0.651,0.657,0.663,0.657
2133,0.653,0.659,0.662,0.657
2134,0.653,0.655,0.661,0.654
2135,0.653,0.658,0.665,0.657
2136,0.65,0.657,0.662,0.657
2137,0.652,0.658,0.662,0.657
2138,0.652,0.658,0.662,0.658
2139,0.654,0.654,0.661,0.659
2140,0.653,0.657,0.663,0.656
2141,0.653,0.659,0.662,0.657
2142,0.655,0.658,0.661,0.657
2143,0.654,0.659,0.664,0.656
2144,0.653,0.658,0.661,0.659
2145,0.652,0.658,0.662,0.659
2146,0.653,0.655,0.662,0.657
2147,0.652,0.657,0.66,0.659
2148,0.653,0.66,0.661,0.657
2149,0.653,0.658,0.662,0.657
2150,0.653,0.659,0.662,0.659
2151,0.652,0.657,0.662,0.658
2152,0.653,0.658,0.663,0.654
2153,0.653,0.656,0.661,0.656
2154,0.653,0.657,0.662,0.656
2155,0.651,0.657,0.663,0.657
2156,0.653,0.656,0.659,0.657
2157,0.653,0.657,0.663,0.659
2158,0.653,0.656,0.663,0.657
2159,0.653,0.656,0.662,0.659
2160,0.652,0.656,0.661,0.658
2161,0.653,0.658,0.661,0.657
2162,0.651,0.659,0.663,0.658
2163,0.654,0.659,0.662,0.658
2164,0.653,0.66,0.663,0.659
2165,0.653,0.658,0.661,0.657
2166,0.653,0.658,0.659,0.659
2167,0.654,0.658,0.664,0.657
2168,0.654,0.658,0.66,0.656
2169,0.65,0.655,0.663,0.658
2170,0.653,0.656,0.663,0.657
2171,0.652,0.656,0.662,0.658
2172,0.653,0.658,0.661,0.658
2173,0.651,0.66,0.664,0.659
2174,0.652,0.656,0.66,0.658
2175,0.653,0.659,0.661,0.657
2176,0.65,0.658,0.662,0.657
2177,0.654,0.658,0.662,0.663
2178,0.651,0.658,0.662,0.657
2179,0.651,0.658,0.661,0.658
2180,0.653,0.658,0.663,0.657
2181,0.651,0.659,0.661,0.659
2182,0.655,0.659,0.663,0.659
2183,0.653,0.657,0.662,0.659
2184,0.652,0.658,0.661,0.657
2185,0.654,0.658,0.659,0.658
2186,0.653,0.659,0.662,0.658
2187,0.653,0.658,0.662,0.656
2188,0.651,0.657,0.664,0.657
2189,0.653,0.658,0.662,0.656
2190,0.654,0.657,0.662,0.656
2191,0.653,0.658,0.663,0.656
2192,0.651,0.657,0.662,0.658
2193,0.652,0.656,0.662,0.658
2194,0.652,0.656,0.66,0.658
2195,0.651,0.659,0.662,0.656
2196,0.65,0.658,0.664,0.659
2197,0.651,0.655,0.661,0.659
2198,0.653,0.658,0.663,0.657
2199,0.653,0.659,0.661,0.657
2200,0.654,0.657,0.661,0.658
2201,0.653,0.658,0.661,0.657
2202,0.653,0.658,0.664,0.658
2203,0.653,0.658,0.663,0.659
2204,0.651,0.657,0.661,0.658
2205,0.653,0.656,0.66,0.658
2206,0.653,0.657,0.662,0.66
2207,0.65,0.659,0.661,0.659
2208,0.652,0.657,0.66,0.659
2209,0.652,0.657,0.662,0.658
2210,0.653,0.657,0.662,0.657
2211,0.652,0.659,0.663,0.654
2212,0.653,0.657,0.662,0.659
2213,0.652,0.657,0.661,0.654
2214,0.653,0.658,0.663,0.659
2215,0.653,0.656,0.662,0.657
2216,0.652,0.658,0.663,0.656
2217,0.653,0.655,0.662,0.659
2218,0.654,0.658,0.662,0.657
2219,0.651,0.656,0.663,0.657
2220,0.652,0.657,0.664,0.657
2221,0.651,0.659,0.662,0.657
2222,0.653,0.657,0.664,0.657
2223,0.65,0.658,0.662,0.657
2224,0.653,0.659,0.664,0.656
2225,0.652,0.657,0.663,0.657
2226,0.653,0.657,0.663,0.657
2227,0.651,0.657,0.661,0.654
2228,0.653,0.657,0.662,0.657
2229,0.655,0.658,0.659,0.657
2230,0.653,0.657,0.661,0.658
2231,0.653,0.656,0.661,0.657
2232,0.653,0.657,0.662,0.656
2233,0.651,0.659,0.664,0.654
2234,0.653,0.657,0.663,0.656
2235,0.653,0.657,0.662,0.657
2236,0.651,0.656,0.662,0.657
2237,0.653,0.657,0.661,0.657
2238,0.651,0.657,0.661,0.659
2239,0.653,0.658,0.663,0.657
2240,0.651,0.66,0.659,0.656
2241,0.652,0.657,0.662,0.656
2242,0.652,0.658,0.661,0.657
2243,0.652,0.658,0.661,0.657
2244,0.653,0.658,0.662,0.657
2245,0.654,0.658,0.662,0.658
2246,0.653,0.655,0.662,0.657
2247,0.654,0.656,0.662,0.658
2248,0.651,0.658,0.661,0.659
2249,0.65,0.657,0.662,0.657
2250,0.653,0.657,0.661,0.657
2251,0.653,0.657,0.658,0.659
2252,0.653,0.657,0.661,0.654
2253,0.651,0.657,0.661,0.657
2254,0.65,0.657,0.663,0.657
2255,0.655,0.656,0.659,0.659
2256,0.651,0.659,0.659,0.658
2257,0.649,0.657,0.662,0.657
2258,0.653,0.659,0.663,0.657
2259,0.651,0.658,0.662,0.659
2260,0.653,0.656,0.662,0.656
2261,0.653,0.659,0.663,0.657
2262,0.653,0.657,0.662,0.658
2263,0.653,0.658,0.662,0.657
2264,0.65,0.659,0.661,0.658
2265,0.653,0.659,0.663,0.656
2266,0.654,0.658,0.661,0.657
2267,0.651,0.657,0.663,0.655
2268,0.653,0.658,0.662,0.657
2269,0.652,0.658,0.661,0.659
2270,0.653,0.657,0.662,0.657
2271,0.652,0.658,0.662,0.657
2272,0.652,0.656,0.662,0.657
2273,0.651,0.658,0.664,0.659
2274,0.651,0.657,0.661,0.659
2275,0.653,0.657,0.661,0.658
2276,0.653,0.659,0.659,0.659
2277,0.653,0.658,0.663,0.656
2278,0.653,0.656,0.662,0.654
2279,0.653,0.657,0.662,0.657
2280,0.653,0.659,0.662,0.657
2281,0.653,0.657,0.663,0.654
2282,0.655,0.656,0.663,0.657
2283,0.653,0.659,0.664,0.657
2284,0.651,0.658,0.661,0.657
2285,0.65,0.659,0.663,0.659
2286,0.653,0.658,0.662,0.658
2287,0.652,0.659,0.662,0.657
2288,0.652,0.656,0.66,0.659
2289,0.651,0.657,0.661,0.657
2290,0.652,0.658,0.662,0.657
2291,0.649,0.657,0.662,0.659
2292,0.65,0.658,0.665,0.658
2293,0.653,0.656,0.661,0.657
2294,0.649,0.658,0.664,0.656
2295,0.651,0.657,0.664,0.657
2296,0.652,0.656,0.664,0.657
2297,0.653,0.658,0.663,0.657
2298,0.654,0.657,0.66,0.657
2299,0.654,0.658,0.664,0.657
2300,0.651,0.657,0.663,0.658
2301,0.654,0.659,0.663,0.656
2302,0.653,0.659,0.662,0.659
2303,0.653,0.656,0.662,0.659
2304,0.65,0.655,0.663,0.659
2305,0.653,0.661,0.661,0.659
2306,0.653,0.657,0.662,0.657
2307,0.651,0.658,0.663,0.658
2308,0.653,0.657,0.662,0.658
2309,0.652,0.659,0.661,0.657
2310,0.653,0.657,0.661,0.659
2311,0.654,0.657,0.66,0.654
2312,0.653,0.658,0.665,0.654
2313,0.653,0.658,0.661,0.657
2314,0.654,0.66,0.664,0.657
2315,0.653,0.659,0.661,0.657
2316,0.653,0.657,0.664,0.659
2317,0.653,0.656,0.661,0.659
2318,0.651,0.655,0.663,0.661
2319,0.653,0.657,0.662,0.658
2320,0.651,0.659,0.661,0.654
2321,0.653,0.657,0.661,0.659
2322,0.651,0.658,0.66,0.657
2323,0.653,0.656,0.662,0.656
2324,0.653,0.658,0.661,0.657
2325,0.654,0.658,0.661,0.656
2326,0.653,0.659,0.659,0.656
2327,0.653,0.658,0.66,0.658
2328,0.653,0.656,0.665,0.657
2329,0.652,0.658,0.663,0.659
2330,0.651,0.657,0.661,0.657
2331,0.651,0.656,0.662,0.655
2332,0.653,0.658,0.661,0.658
2333,0.651,0.658,0.662,0.657
2334,0.653,0.658,0.662,0.658
2335,0.653,0.657,0.661,0.657
2336,0.651,0.656,0.663,0.659
2337,0.654,0.657,0.663,0.656
2338,0.652,0.657,0.663,0.657
2339,0.65,0.658,0.66,0.657
2340,0.651,0.659,0.662,0.658
2341,0.653,0.658,0.66,0.655
2342,0.651,0.658,0.663,0.659
2343,0.651,0.658,0.661,0.657
2344,0.653,0.657,0.661,0.657
2345,0.652,0.657,0.661,0.658
2346,0.653,0.659,0.662,0.658
2347,0.649,0.659,0.665,0.658
2348,0.651,0.655,0.664,0.657
2349,0.65,0.658,0.663,0.657
2350,0.653,0.657,0.664,0.657
2351,0.653,0.658,0.664,0.655
2352,0.653,0.654,0.662,0.656
2353,0.652,0.658,0.662,0.656
2354,0.653,0.657,0.661,0.658
2355,0.651,0.657,0.661,0.659
2356,0.653,0.658,0.662,0.655
2357,0.653,0.657,0.664,0.657
2358,0.653,0.655,0.661,0.657
2359,0.653,0.658,0.663,0.658
2360,0.653,0.658,0.662,0.656
2361,0.653,0.657,0.663,0.657
2362,0.651,0.658,0.662,0.657
2363,0.651,0.658,0.663,0.656
2364,0.652,0.655,0.663,0.658
2365,0.653,0.658,0.662,0.656
2366,0.653,0.659,0.663,0.657
2367,0.651,0.656,0.662,0.657
2368,0.653,0.658,0.662,0.659
2369,0.653,0.658,0.662,0.657
2370,0.653,0.657,0.663,0.657
2371,0.654,0.657,0.661,0.657
2372,0.651,0.656,0.664,0.656
2373,0.653,0.658,0.663,0.658
2374,0.654,0.657,0.662,0.659
2375,0.653,0.658,0.662,0.657
2376,0.653,0.658,0.662,0.659
2377,0.652,0.658,0.662,0.657
2378,0.651,0.658,0.66,0.657
2379,0.653,0.66,0.661,0.657
2380,0.656,0.659,0.658,0.658
2381,0.652,0.658,0.662,0.659
2382,0.653,0.657,0.663,0.657
2383,0.653,0.657,0.662,0.657
2384,0.65,0.657,0.663,0.657
2385,0.653,0.658,0.662,0.657
2386,0.651,0.658,0.661,0.657
2387,0.654,0.658,0.661,0.656
2388,0.652,0.658,0.661,0.657
2389,0.652,0.658,0.66,0.657
2390,0.654,0.657,0.661,0.656
2391,0.653,0.658,0.661,0.658
2392,0.651,0.658,0.661,0.657
2393,0.653,0.657,0.662,0.659
2394,0.653,0.658,0.662,0.654
2395,0.652,0.656,0.662,0.658
2396,0.651,0.659,0.666,0.659
2397,0.651,0.659,0.662,0.659
2398,0.652,0.655,0.659,0.657
2399,0.651,0.658,0.658,0.658
2400,0.654,0.657,0.662,0.657
2401,0.653,0.659,0.661,0.657
2402,0.653,0.656,0.659,0.657
2403,0.649,0.656,0.66,0.657
2404,0.653,0.657,0.663,0.657
2405,0.651,0.662,0.664,0.655
2406,0.651,0.657,0.662,0.658
2407,0.653,0.658,0.661,0.658
2408,0.651,0.659,0.659,0.656
2409,0.654,0.658,0.663,0.658
2410,0.653,0.657,0.662,0.657
2411,0.651,0.657,0.662,0.656
2412,0.653,0.658,0.661,0.659
2413,0.653,0.655,0.661,0.659
2414,0.653,0.658,0.663,0.658
2415,0.651,0.658,0.662,0.658
2416,0.653,0.658,0.661,0.657
2417,0.653,0.657,0.662,0.657
2418,0.652,0.657,0.663,0.654
2419,0.653,0.657,0.661,0.656
2420,0.653,0.657,0.663,0.654
2421,0.65,0.658,0.661,0.659
2422,0.653,0.66,0.662,0.661
2423,0.655,0.661,0.661,0.654
2424,0.652,0.656,0.66,0.657
2425,0.652,0.658,0.663,0.656
2426,0.652,0.658,0.661,0.658
2427,0.653,0.658,0.661,0.659
2428,0.653,0.659,0.664,0.657
2429,0.653,0.658,0.663,0.658
2430,0.654,0.658,0.662,0.658
2431,0.654,0.655,0.661,0.658
2432,0.649,0.657,0.661,0.659
2433,0.653,0.659,0.66,0.659
2434,0.653,0.659,0.663,0.657
2435,0.651,0.658,0.663,0.657
2436,0.652,0.658,0.664,0.657
2437,0.653,0.655,0.662,0.657
2438,0.653,0.657,0.662,0.659
2439,0.652,0.657,0.663,0.657
2440,0.653,0.658,0.662,0.656
2441,0.654,0.658,0.661,0.659
2442,0.654,0.656,0.662,0.655
2443,0.649,0.658,0.662,0.657
2444,0.653,0.656,0.661,0.655
2445,0.653,0.657,0.661,0.658
2446,0.653,0.66,0.663,0.658
2447,0.65,0.658,0.661,0.658
2448,0.654,0.657,0.662,0.66
2449,0.653,0.657,0.661,0.658
2450,0.655,0.659,0.664,0.657
2451,0.655,0.658,0.661,0.658
2452,0.651,0.658,0.66,0.657
2453,0.65,0.657,0.662,0.659
2454,0.651,0.658,0.663,0.657
2455,0.652,0.657,0.664,0.656
2456,0.651,0.656,0.663,0.657
2457,0.652,0.658,0.663,0.661
2458,0.653,0.655,0.663,0.658
2459,0.653,0.659,0.661,0.657
2460,0.651,0.658,0.662,0.658
2461,0.651,0.66,0.662,0.657
2462,0.652,0.657,0.662,0.657
2463,0.651,0.657,0.66,0.658
2464,0.651,0.658,0.662,0.657
2465,0.653,0.658,0.66,0.656
2466,0.652,0.656,0.66,0.659
2467,0.653,0.658,0.663,0.657
2468,0.65,0.656,0.662,0.659
2469,0.653,0.658,0.665,0.657
2470,0.651,0.658,0.662,0.657
2471,0.653,0.657,0.662,0.659
2472,0.653,0.658,0.664,0.657
2473,0.653,0.658,0.664,0.658
2474,0.653,0.658,0.664,0.657
2475,0.653,0.657,0.661,0.658
2476,0.652,0.658,0.661,0.657
2477,0.652,0.656,0.661,0.657
2478,0.653,0.658,0.663,0.659
2479,0.653,0.658,0.666,0.655
2480,0.652,0.655,0.662,0.658
2481,0.652,0.654,0.662,0.657
2482,0.653,0.657,0.663,0.659
2483,0.653,0.658,0.663,0.658
2484,0.653,0.658,0.659,0.659
2485,0.653,0.656,0.663,0.658
2486,0.652,0.657,0.662,0.656
2487,0.654,0.656,0.662,0.659
2488,0.651,0.658,0.662,0.657
2489,0.654,0.658,0.661,0.657
2490,0.651,0.658,0.661,0.657
2491,0.652,0.658,0.661,0.661
2492,0.653,0.656,0.663,0.654
2493,0.651,0.657,0.66,0.657
2494,0.653,0.657,0.661,0.656
2495,0.654,0.656,0.663,0.658
2496,0.651,0.655,0.662,0.659
2497,0.651,0.658,0.662,0.657
2498,0.654,0.657,0.663,0.657
2499,0.654,0.657,0.661,0.657
2500,0.653,0.66,0.662,0.658
2501,0.653,0.658,0.662,0.657
2502,0.653,0.656,0.662,0.66
2503,0.648,0.655,0.662,0.659
2504,0.652,0.659,0.664,0.659
2505,0.653,0.656,0.663,0.658
2506,0.651,0.656,0.661,0.659
2507,0.653,0.659,0.661,0.659
2508,0.653,0.655,0.662,0.654
2509,0.651,0.659,0.664,0.657
2510,0.649,0.659,0.662,0.657
2511,0.651,0.655,0.662,0.659
2512,0.653,0.657,0.66,0.657
2513,0.652,0.657,0.662,0.658
2514,0.653,0.657,0.661,0.657
2515,0.653,0.657,0.661,0.659
