m1 TID @ 17:35:29,m2 TID @ 17:35:29,m3 TID @ 17:35:29,m1 TID @ 17:35:30,m2 TID @ 17:35:30,m3 TID @ 17:35:30,m3 TID @ 17:35:31,m1 TID @ 17:35:31,m2 TID @ 17:35:31,m1 TID @ 17:35:32,m2 TID @ 17:35:32,m3 TID @ 17:35:32,m1 TID @ 17:35:33,m2 TID @ 17:35:33,m3 TID @ 17:35:33,m1 TID @ 17:35:34,m2 TID @ 17:35:34,m3 TID @ 17:35:34,m1 TID @ 17:35:35,m2 TID @ 17:35:35,m3 TID @ 17:35:35,m2 TID @ 17:35:36,m3 TID @ 17:35:36,m1 TID @ 17:35:36,m2 TID @ 17:35:37,m3 TID @ 17:35:37,m1 TID @ 17:35:37,m1 TID @ 17:35:38,m2 TID @ 17:35:38,m3 TID @ 17:35:38,m1 TID @ 17:35:39,m2 TID @ 17:35:39,m3 TID @ 17:35:39,m1 TID @ 17:35:40,m2 TID @ 17:35:40,m3 TID @ 17:35:40,m1 TID @ 17:35:41,m2 TID @ 17:35:41,m3 TID @ 17:35:41,m1 TID @ 17:35:42,m2 TID @ 17:35:42,m3 TID @ 17:35:42,m1 TID @ 17:35:43,m2 TID @ 17:35:43,m3 TID @ 17:35:43,m1 TID @ 17:35:44,m2 TID @ 17:35:44,m3 TID @ 17:35:44,m1 TID @ 17:35:46,m2 TID @ 17:35:46,m3 TID @ 17:35:46,m1 TID @ 17:35:47,m2 TID @ 17:35:47,m3 TID @ 17:35:47,m1 TID @ 17:35:48,m2 TID @ 17:35:48,m3 TID @ 17:35:48,m1 TID @ 17:35:49,m2 TID @ 17:35:49,m3 TID @ 17:35:49,m1 TID @ 17:35:50,m2 TID @ 17:35:50,m3 TID @ 17:35:50,m1 TID @ 17:35:51,m2 TID @ 17:35:51,m3 TID @ 17:35:51,m1 TID @ 17:35:52,m2 TID @ 17:35:52,m3 TID @ 17:35:52,m1 TID @ 17:35:53,m2 TID @ 17:35:53,m3 TID @ 17:35:53,m1 TID @ 17:35:54,m2 TID @ 17:35:54,m3 TID @ 17:35:54,m3 TID @ 17:35:55,m1 TID @ 17:35:55,m2 TID @ 17:35:55,m1 TID @ 17:35:56,m2 TID @ 17:35:56,m3 TID @ 17:35:56,m1 TID @ 17:35:57,m2 TID @ 17:35:57,m3 TID @ 17:35:57,m3 TID @ 17:35:58,m1 TID @ 17:35:58,m2 TID @ 17:35:58,m1 TID @ 17:35:59,m2 TID @ 17:35:59,m3 TID @ 17:35:59,m1 TID @ 17:36:00,m2 TID @ 17:36:00,m3 TID @ 17:36:00,m1 TID @ 17:36:01,m2 TID @ 17:36:01,m3 TID @ 17:36:01,m1 TID @ 17:36:02,m2 TID @ 17:36:02,m3 TID @ 17:36:02,m1 TID @ 17:36:03,m2 TID @ 17:36:03,m3 TID @ 17:36:03,m1 TID @ 17:36:04,m2 TID @ 17:36:04,m3 TID @ 17:36:04,m1 TID @ 17:36:05,m2 TID @ 17:36:05,m3 TID @ 17:36:05,m1 TID @ 17:36:06,m2 TID @ 17:36:06,m3 TID @ 17:36:06,m1 TID @ 17:36:07,m2 TID @ 17:36:07,m3 TID @ 17:36:07,m1 TID @ 17:36:08,m2 TID @ 17:36:08,m3 TID @ 17:36:08,m1 TID @ 17:36:09,m2 TID @ 17:36:09,m3 TID @ 17:36:09,m1 TID @ 17:36:10,m2 TID @ 17:36:10,m3 TID @ 17:36:10,m1 TID @ 17:36:11,m2 TID @ 17:36:11,m3 TID @ 17:36:11,m1 TID @ 17:36:12,m2 TID @ 17:36:12,m3 TID @ 17:36:12,m1 TID @ 17:36:13,m2 TID @ 17:36:13,m3 TID @ 17:36:13,m2 TID @ 17:36:14,m3 TID @ 17:36:14,m1 TID @ 17:36:14,m1 TID @ 17:36:15,m2 TID @ 17:36:15,m3 TID @ 17:36:15,m1 TID @ 17:36:16,m2 TID @ 17:36:16,m3 TID @ 17:36:16,m2 TID @ 17:36:17,m3 TID @ 17:36:17,m1 TID @ 17:36:17,m1 TID @ 17:36:18,m2 TID @ 17:36:18,m3 TID @ 17:36:18,m1 TID @ 17:36:19,m2 TID @ 17:36:19,m3 TID @ 17:36:19,m1 TID @ 17:36:20,m2 TID @ 17:36:20,m3 TID @ 17:36:20,m2 TID @ 17:36:21,m3 TID @ 17:36:21,m1 TID @ 17:36:21,m1 TID @ 17:36:22,m2 TID @ 17:36:22,m3 TID @ 17:36:22,m1 TID @ 17:36:23,m2 TID @ 17:36:23,m3 TID @ 17:36:23,m1 TID @ 17:36:24,m2 TID @ 17:36:24,m3 TID @ 17:36:24,m1 TID @ 17:36:25,m2 TID @ 17:36:25,m3 TID @ 17:36:25,m1 TID @ 17:36:26,m2 TID @ 17:36:26,m3 TID @ 17:36:26,m1 TID @ 17:36:27,m2 TID @ 17:36:27,m3 TID @ 17:36:27,m1 TID @ 17:36:28,m2 TID @ 17:36:28,m3 TID @ 17:36:28,m1 TID @ 17:36:29,m2 TID @ 17:36:29,m3 TID @ 17:36:29,m3 TID @ 17:36:30,m1 TID @ 17:36:30,m2 TID @ 17:36:30,m1 TID @ 17:36:31,m2 TID @ 17:36:31,m3 TID @ 17:36:31,m1 TID @ 17:36:32,m2 TID @ 17:36:32,m3 TID @ 17:36:32,m1 TID @ 17:36:33,m2 TID @ 17:36:33,m3 TID @ 17:36:33,m1 TID @ 17:36:34,m2 TID @ 17:36:34,m3 TID @ 17:36:34,m1 TID @ 17:36:35,m2 TID @ 17:36:35,m3 TID @ 17:36:35,m1 TID @ 17:36:36,m2 TID @ 17:36:36,m3 TID @ 17:36:36,m1 TID @ 17:36:37,m2 TID @ 17:36:37,m3 TID @ 17:36:37,m1 TID @ 17:36:38,m2 TID @ 17:36:38,m3 TID @ 17:36:38,m1 TID @ 17:36:39,m2 TID @ 17:36:39,m3 TID @ 17:36:39,m1 TID @ 17:36:40,m2 TID @ 17:36:40,m3 TID @ 17:36:40,m1 TID @ 17:36:41,m2 TID @ 17:36:41,m3 TID @ 17:36:41,m1 TID @ 17:36:42,m2 TID @ 17:36:42,m3 TID @ 17:36:42,m1 TID @ 17:36:43,m2 TID @ 17:36:43,m3 TID @ 17:36:43,m1 TID @ 17:36:44,m2 TID @ 17:36:44,m3 TID @ 17:36:44,m1 TID @ 17:36:45,m2 TID @ 17:36:45,m3 TID @ 17:36:45,m1 TID @ 17:36:46,m2 TID @ 17:36:46,m3 TID @ 17:36:46,m1 TID @ 17:36:47,m2 TID @ 17:36:47,m3 TID @ 17:36:47
192,204,25,192,204,25,25,192,204,192,204,25,192,204,25,192,204,25,192,204,25,204,25,192,204,25,192,192,204,25,192,204,25,192,204,25,192,204,25,192,204,25,192,204,25,192,204,25,192,204,25,192,204,25,192,204,25,192,204,25,192,204,25,192,204,25,192,204,25,192,204,25,224,204,25,25,224,204,224,204,25,224,204,25,25,224,204,224,204,25,224,204,57,224,204,25,224,204,25,224,204,25,224,204,25,224,204,25,224,196,25,224,204,25,224,204,25,224,204,25,224,204,25,224,204,25,224,204,25,224,204,25,204,25,224,224,204,25,224,204,25,204,25,224,224,204,25,224,204,25,224,204,25,204,25,224,224,204,25,224,204,25,224,204,25,224,204,57,224,204,25,224,204,25,224,204,57,224,204,25,25,224,204,224,204,25,224,204,25,224,204,25,224,204,89,224,204,25,224,204,25,224,204,25,224,204,25,224,204,25,224,204,25,224,204,25,224,204,25,224,204,25,224,204,25,224,204,25,224,204,25,224,204,25
255,255,253,255,255,245,247,255,255,255,255,246,255,255,254,255,255,246,255,255,246,255,244,255,255,244,255,255,255,244,255,255,244,255,255,246,255,255,246,255,255,244,255,255,244,255,255,244,255,255,246,255,255,244,255,255,246,255,255,246,255,255,254,255,255,246,255,255,246,255,255,246,255,255,254,244,255,255,255,255,244,255,255,244,246,255,255,255,255,246,255,255,244,255,255,246,255,255,244,255,255,246,255,255,254,255,255,246,255,255,246,255,255,246,255,255,246,255,255,246,255,255,246,255,255,244,255,255,244,255,255,246,255,246,255,255,255,246,255,255,244,255,246,255,255,255,246,255,255,244,255,255,244,255,244,255,255,255,246,255,255,244,255,255,244,255,255,246,255,255,246,255,255,246,255,255,246,255,255,244,246,255,255,255,255,244,255,255,246,255,255,246,255,255,254,255,255,246,255,255,246,255,255,244,255,255,244,255,255,246,255,255,244,255,255,244,255,255,246,255,255,244,255,255,244,255,255,246,255,255,244,255,255,244
7,254,71,7,254,71,71,7,254,7,254,71,7,254,71,7,254,71,7,254,71,254,71,7,254,71,7,7,254,71,7,254,71,7,254,71,7,254,71,7,254,71,7,254,71,7,254,71,7,254,71,7,254,71,7,254,71,7,254,71,7,254,71,7,254,71,7,254,71,7,254,71,7,254,7,7,7,254,7,254,7,7,254,7,7,7,254,7,254,7,7,254,7,7,254,7,7,254,7,7,254,7,7,254,7,7,254,7,7,254,7,7,254,7,7,254,7,7,254,7,7,254,7,7,254,7,7,254,7,7,254,7,254,7,7,7,254,7,7,254,7,254,7,7,7,254,7,7,254,7,7,254,7,254,7,7,7,254,7,7,254,7,7,254,7,7,254,7,7,254,7,7,254,7,7,254,7,7,254,7,7,7,254,7,254,7,7,254,7,7,254,7,7,254,71,7,254,71,7,254,71,7,254,71,7,254,71,7,254,71,7,254,71,7,254,71,7,254,71,7,254,71,7,254,71,7,254,71,7,254,71,7,254,71
191,207,191,191,207,191,183,191,207,191,207,191,191,207,183,191,207,183,191,207,183,207,191,191,207,191,191,191,207,191,191,207,191,191,207,183,191,207,191,191,207,191,191,207,183,191,207,182,191,207,190,191,207,190,191,207,190,191,207,190,191,207,190,191,207,190,191,207,190,191,207,190,191,207,190,190,191,207,191,207,190,191,207,190,190,191,207,191,207,190,191,207,190,191,207,190,191,207,190,191,207,190,191,207,190,191,207,190,191,207,190,191,207,190,191,207,182,191,207,182,191,207,190,191,207,190,191,207,190,191,207,190,207,190,191,191,207,190,191,207,190,207,190,191,191,207,190,191,207,190,191,207,190,207,190,191,191,207,190,191,207,190,191,207,190,191,207,190,191,207,190,191,207,190,191,207,190,191,207,182,190,191,207,191,207,190,191,207,182,191,207,182,191,207,190,191,207,190,191,207,182,191,207,182,191,207,182,191,207,190,191,207,190,191,207,190,191,207,190,191,207,190,191,207,182,191,207,190,191,207,190,191,207,190
227,255,207,227,255,207,207,227,255,227,255,207,227,255,143,227,255,207,227,255,143,255,207,227,255,143,227,227,255,143,227,255,207,227,255,207,227,255,207,227,255,207,227,255,207,227,255,207,227,255,207,227,255,207,227,255,207,227,255,207,227,255,207,227,255,143,227,255,207,227,255,207,227,255,238,238,227,255,227,255,174,227,255,174,174,227,255,227,255,174,227,255,238,227,255,238,227,255,238,227,255,238,227,255,238,227,255,174,227,255,142,227,255,142,227,255,206,227,255,206,227,255,142,227,255,142,227,255,142,227,255,142,255,206,227,227,255,206,227,255,206,255,142,227,227,255,206,227,255,206,227,255,206,255,142,227,227,255,142,227,255,206,227,255,142,227,255,142,227,255,206,227,255,206,227,255,206,227,255,142,206,227,255,227,255,206,227,255,142,227,255,142,227,255,206,227,255,142,227,255,142,227,255,142,227,255,142,227,255,142,227,255,206,227,255,142,227,127,142,227,255,142,227,255,206,227,255,142,227,255,142,227,255,142
255,122,207,255,122,207,207,255,122,253,122,207,253,123,207,253,123,207,255,123,207,123,207,253,113,207,253,253,115,207,253,123,207,253,114,207,253,122,207,253,122,207,255,122,207,255,122,207,255,114,207,255,114,207,253,122,207,253,122,207,253,122,207,253,114,207,253,122,207,253,122,207,255,123,207,207,255,123,255,123,207,253,121,207,207,253,115,253,115,207,253,123,207,253,115,207,253,123,207,253,123,207,253,123,207,253,115,207,253,123,207,253,123,207,255,115,207,255,115,207,255,115,207,255,115,207,253,123,207,253,123,207,115,207,253,253,115,207,253,123,207,123,207,253,253,121,207,253,115,207,255,123,207,121,207,253,253,123,207,253,123,207,253,115,207,253,115,207,253,123,207,253,123,207,253,123,207,255,123,207,207,255,123,253,123,207,255,123,207,253,123,207,255,251,207,255,123,207,253,115,207,255,123,207,255,123,207,253,123,207,253,123,207,253,123,207,253,123,207,253,123,207,253,123,207,255,123,207,255,123,207,255,123,207
197,157,218,197,159,250,234,197,157,197,221,234,197,157,234,197,157,218,197,223,250,157,250,197,157,218,197,197,157,218,197,221,219,197,157,219,197,157,251,197,157,203,197,157,203,197,157,239,197,221,255,197,157,223,197,157,223,197,223,223,197,223,223,197,157,223,197,157,223,197,221,223,197,157,239,239,197,157,197,157,207,197,157,207,254,197,221,197,157,254,197,157,254,197,157,222,197,221,222,197,157,222,197,157,222,197,221,254,197,157,254,197,157,254,197,157,222,197,223,222,197,159,222,197,221,222,197,221,222,197,157,222,157,222,197,197,221,254,197,157,254,159,222,197,197,223,222,197,157,222,197,221,222,221,254,197,197,159,254,197,221,254,197,157,238,197,157,238,197,157,238,197,221,254,197,157,222,197,157,222,222,197,157,197,221,254,197,223,254,197,221,206,197,157,206,197,157,206,197,157,238,197,157,238,197,157,254,197,157,254,197,157,254,197,157,254,197,157,238,197,157,238,197,157,238,197,157,238,197,221,222,197,157,222
95,223,255,95,223,255,255,95,223,95,223,255,95,223,255,95,223,255,95,95,255,95,255,95,223,255,95,95,223,255,95,95,255,95,223,255,95,223,255,95,223,255,95,223,255,95,223,255,95,223,255,95,223,255,95,95,255,95,223,255,95,223,255,95,223,255,95,223,255,95,223,255,95,223,255,255,95,223,95,223,255,95,223,255,255,95,95,95,95,255,95,91,255,95,95,255,95,223,255,95,223,255,95,223,255,95,223,255,95,223,255,95,223,255,95,223,255,95,223,255,95,223,255,95,223,255,95,223,255,95,223,255,223,255,95,95,223,255,95,223,255,223,255,95,95,223,255,95,223,255,95,223,255,223,255,95,95,223,255,95,95,255,95,223,255,95,223,255,95,223,255,95,223,255,95,223,255,95,95,255,255,95,95,95,223,255,95,223,255,95,223,255,95,223,253,95,223,253,95,223,253,95,219,253,95,223,253,95,223,253,95,223,253,95,223,253,95,223,253,95,223,253,95,223,253,95,223,253,95,223,253,95,223,253
161,215,106,161,223,106,106,161,223,161,223,106,161,223,106,161,223,106,161,223,106,223,106,161,223,106,161,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,106,161,223,161,223,106,161,223,106,106,161,223,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,223,106,161,161,223,106,161,223,106,223,106,161,161,223,106,161,223,106,161,223,106,223,106,161,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,106,161,223,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106,161,223,106
207,247,190,207,247,190,190,207,247,207,247,190,207,247,190,207,247,190,207,247,190,247,254,207,247,254,207,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,254,207,247,207,247,254,207,247,254,254,207,247,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,247,254,207,207,247,254,207,247,254,247,254,207,207,247,254,207,247,254,207,247,254,247,254,207,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,254,207,247,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254,207,247,254
92,227,166,92,231,166,166,92,231,92,231,166,92,231,166,92,231,166,92,231,166,231,166,92,231,166,92,92,231,166,92,231,166,92,231,166,92,231,166,92,231,166,92,231,166,92,231,166,92,231,166,92,231,166,92,231,166,92,231,166,92,231,166,92,231,166,92,231,166,92,231,166,84,231,166,166,84,231,84,231,166,84,231,166,166,84,231,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166,84,229,166,84,231,166,231,166,84,84,231,166,84,231,166,231,166,84,84,231,166,84,231,166,84,231,166,231,166,84,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166,166,84,231,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166,84,231,166
23,253,111,23,255,111,111,23,255,23,255,111,23,255,111,23,255,111,23,253,111,255,111,23,253,111,23,23,255,111,23,255,111,23,255,111,23,255,111,23,255,111,23,255,111,23,255,111,23,255,111,23,255,111,23,255,111,23,255,111,23,255,111,23,253,111,23,255,111,23,255,111,23,255,111,111,23,255,23,255,111,23,255,111,111,23,255,23,255,111,23,255,111,23,255,111,23,255,111,23,255,111,23,255,111,23,255,111,23,255,111,23,255,111,23,255,111,23,255,111,23,253,111,23,255,111,23,253,111,23,255,111,255,111,23,23,255,111,23,255,111,255,111,23,23,255,111,23,255,111,23,255,111,255,111,23,23,255,111,23,255,111,23,255,111,23,255,111,23,255,111,23,255,111,23,255,111,23,255,111,111,23,255,23,255,111,23,255,111,23,255,111,23,255,111,23,253,111,23,255,111,23,255,111,23,255,111,23,255,111,23,255,111,23,255,111,23,253,111,23,253,111,23,255,111,23,255,111,23,255,111,23,255,111
25,170,255,25,186,255,255,25,186,25,186,255,25,186,255,25,186,255,25,186,255,186,255,25,186,255,25,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,247,247,25,186,25,186,247,25,186,247,247,25,186,25,186,247,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,170,255,25,25,186,255,25,186,255,186,255,25,25,186,255,25,170,255,25,186,255,186,255,25,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,255,25,186,25,170,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,170,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255,25,186,255
127,255,227,127,255,163,163,127,255,127,255,163,127,255,163,127,255,163,127,255,163,255,163,127,255,163,127,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,163,127,255,127,255,163,127,255,163,163,127,255,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,255,163,127,127,255,163,127,255,163,255,163,127,127,255,163,127,255,163,127,255,163,255,163,127,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,163,127,255,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163,127,255,163
201,90,201,205,88,201,201,205,88,205,88,201,205,88,201,205,88,201,205,88,201,88,201,205,88,201,205,205,88,201,205,88,201,205,88,201,205,88,201,205,88,201,205,88,201,205,88,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,201,205,216,205,216,201,205,216,201,201,205,216,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,216,201,205,205,216,201,205,216,201,216,201,205,205,216,201,205,216,201,205,216,201,216,201,205,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,201,205,216,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201,205,216,201
103,243,150,103,247,150,150,103,247,103,247,150,103,247,150,103,247,150,103,243,150,247,150,103,247,150,103,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,243,150,103,243,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,150,103,247,103,247,150,103,247,150,150,103,247,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,246,150,103,103,247,150,103,247,150,247,150,103,103,247,150,103,247,150,103,247,150,247,150,103,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,150,103,247,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,247,150,103,243,150,103,247,150,103,247,150
26,140,140,26,140,140,132,26,140,26,140,132,26,140,132,26,140,132,26,140,196,140,132,10,140,204,10,10,140,204,10,140,132,10,140,132,10,140,132,10,140,132,10,140,132,10,140,132,10,140,140,10,140,132,10,140,132,10,140,132,10,140,132,10,140,132,10,140,132,10,140,132,10,140,141,133,10,140,10,140,133,10,140,133,133,10,140,10,140,141,10,140,133,10,140,133,10,140,133,10,140,133,10,140,133,10,140,133,10,140,141,10,140,133,10,140,133,10,140,133,10,140,133,10,140,133,10,140,133,10,140,133,140,133,10,10,140,133,10,140,133,140,133,10,10,140,133,10,141,133,10,140,133,140,133,10,10,140,133,10,140,133,10,140,133,10,140,133,10,140,133,10,140,197,10,140,133,10,140,133,133,10,140,10,140,141,10,140,133,10,140,133,26,140,133,10,140,133,10,140,133,10,140,133,10,140,133,10,140,133,10,140,141,10,140,133,10,140,133,10,140,133,10,140,133,10,140,133,10,140,133,10,140,133
190,251,221,190,251,221,221,190,251,190,251,221,190,251,221,190,251,221,190,251,221,251,221,190,251,221,190,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,221,190,251,190,251,221,190,251,221,221,190,251,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,251,221,190,190,251,221,190,251,221,251,221,190,190,251,221,190,251,221,190,251,221,251,221,190,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,221,190,251,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221,190,251,221
23,255,5,23,255,5,5,23,255,151,255,5,23,255,5,23,255,7,23,255,5,255,5,23,255,5,23,23,255,5,23,255,5,23,255,5,23,255,5,23,255,5,23,255,5,23,255,5,23,255,5,23,255,5,23,255,5,23,255,5,23,255,5,23,255,5,23,255,5,23,255,5,23,255,5,5,151,255,151,255,5,23,255,5,5,23,255,23,255,5,151,255,5,23,255,5,23,255,5,151,255,5,23,255,5,151,255,5,23,255,5,23,255,5,23,255,5,23,255,5,23,255,5,23,255,5,151,255,5,23,255,5,255,5,23,23,255,5,23,255,5,255,5,151,151,255,5,23,255,5,23,255,5,255,5,23,23,255,5,23,255,5,23,255,5,23,255,5,23,255,5,23,255,5,151,255,5,23,255,5,5,23,255,23,255,5,23,255,5,23,255,5,23,255,5,23,255,5,23,255,5,23,255,5,23,255,5,151,255,5,23,255,5,23,255,5,23,255,5,23,255,5,23,255,5,23,255,5,23,255,5,23,255,5
253,255,238,253,251,174,174,253,251,253,251,174,253,251,174,253,251,174,253,251,174,251,174,253,251,174,253,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,174,253,251,253,251,174,253,251,174,174,253,251,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,251,174,253,253,251,174,253,251,174,251,174,253,253,251,174,253,251,174,253,251,174,251,174,253,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,174,253,251,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174,253,251,174
51,194,67,115,194,75,75,115,194,115,210,74,115,210,74,115,210,74,115,210,74,210,74,115,210,74,115,115,210,74,115,194,74,115,194,74,115,194,74,115,194,74,115,210,74,115,210,74,115,210,74,115,210,74,115,210,74,115,210,74,115,210,74,115,210,74,115,210,74,115,210,74,115,194,74,74,115,210,115,210,74,115,208,74,74,115,210,115,210,74,115,210,74,115,210,74,115,210,74,115,210,74,115,210,74,115,210,74,115,208,74,115,210,74,115,210,74,115,210,74,115,210,74,115,210,74,51,210,74,115,210,74,210,74,115,115,210,74,115,210,74,194,74,115,115,194,74,115,194,74,115,194,74,194,74,115,115,194,74,115,194,74,115,210,74,115,210,74,115,210,74,115,210,74,115,210,74,115,210,74,74,115,210,115,210,74,115,210,74,115,210,74,51,194,70,115,194,78,115,194,78,115,194,78,115,194,78,115,210,78,115,210,78,115,210,78,115,210,78,115,210,74,115,210,74,115,210,74,115,210,74,115,210,74
187,251,121,187,251,121,121,187,251,187,251,121,187,251,121,187,251,121,187,251,121,251,121,187,251,121,187,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,121,187,251,187,251,121,187,251,121,121,187,251,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,251,121,187,187,251,121,187,251,121,251,121,187,187,251,121,187,251,121,187,251,121,251,121,187,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,121,187,251,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121,187,251,121
