,I09,I10,I11
0,0.255,0.23,0.24
1,0.255,0.26,0.23
2,0.255,0.25,0.235
3,0.255,0.235,0.235
4,0.255,0.255,0.25
5,0.255,0.235,0.235
6,0.255,0.26,0.23
7,0.255,0.25,0.235
8,0.255,0.24,0.235
9,0.255,0.235,0.245
10,0.255,0.235,0.235
11,0.255,0.25,0.235
12,0.255,0.24,0.22
13,0.255,0.24,0.23
14,0.255,0.235,0.245
15,0.255,0.34,0.235
16,0.255,0.27,0.23
17,0.255,0.24,0.235
18,0.255,0.25,0.23
19,0.255,0.235,0.23
20,0.255,0.24,0.23
21,0.255,0.23,0.23
22,0.255,0.245,0.225
23,0.255,0.23,0.275
24,0.255,0.225,0.235
25,0.255,0.225,0.235
26,0.255,0.235,0.25
27,0.255,0.235,0.235
28,0.26,0.235,0.235
29,0.255,0.24,0.235
30,0.255,0.235,0.235
31,0.255,0.235,0.235
32,0.255,0.24,0.245
33,0.255,0.235,0.235
34,0.255,0.235,0.235
35,0.255,0.24,0.225
36,0.255,0.235,0.25
37,0.255,0.235,0.23
38,0.255,0.235,0.225
39,0.255,0.235,0.245
40,0.255,0.23,0.235
41,0.255,0.235,0.24
42,0.255,0.23,0.225
43,0.255,0.23,0.225
44,0.255,0.23,0.235
45,0.255,0.235,0.23
46,0.255,0.235,0.25
47,0.255,0.23,0.245
48,0.255,0.225,0.23
49,0.255,0.235,0.23
50,0.26,0.245,0.23
51,0.255,0.235,0.245
52,0.255,0.235,0.24
53,0.255,0.245,0.245
54,0.255,0.25,0.23
55,0.255,0.22,0.24
56,0.255,0.235,0.235
57,0.255,0.23,0.235
58,0.255,0.23,0.23
59,0.255,0.235,0.24
60,0.255,0.235,0.23
61,0.255,0.24,0.235
62,0.255,0.255,0.235
63,0.255,0.225,0.24
64,0.255,0.255,0.25
65,0.255,0.23,0.235
66,0.255,0.24,0.235
67,0.255,0.24,0.23
68,0.255,0.235,0.23
69,0.255,0.285,0.23
70,0.255,0.24,0.23
71,0.255,0.23,0.235
72,0.255,0.23,0.235
73,0.255,0.235,0.23
74,0.255,0.255,0.235
75,0.255,0.24,0.235
76,0.255,0.24,0.22
77,0.255,0.235,0.235
78,0.255,0.24,0.225
79,0.255,0.24,0.25
80,0.255,0.255,0.24
81,0.255,0.235,0.23
82,0.255,0.24,0.235
83,0.255,0.235,0.255
84,0.255,0.25,0.23
85,0.255,0.235,0.23
86,0.255,0.23,0.23
87,0.255,0.23,0.23
88,0.255,0.245,0.225
89,0.255,0.235,0.23
90,0.255,0.23,0.225
91,0.255,0.23,0.23
92,0.255,0.235,0.235
93,0.255,0.235,0.235
94,0.255,0.235,0.24
95,0.255,0.225,0.24
96,0.255,0.24,0.235
97,0.255,0.235,0.235
98,0.255,0.23,0.235
99,0.255,0.245,0.23
100,0.255,0.25,0.235
101,0.255,0.235,0.235
102,0.255,0.235,0.235
103,0.255,0.245,0.245
104,0.255,0.24,0.23
105,0.255,0.235,0.25
106,0.255,0.24,0.23
107,0.255,0.235,0.235
108,0.255,0.235,0.23
109,0.255,0.23,0.23
110,0.255,0.245,0.23
111,0.255,0.235,0.23
112,0.255,0.275,0.23
113,0.255,0.24,0.22
114,0.255,0.235,0.235
115,0.255,0.285,0.23
116,0.295,0.245,0.235
117,0.255,0.245,0.23
118,0.255,0.23,0.235
119,0.255,0.23,0.23
120,0.255,0.235,0.24
121,0.255,0.23,0.23
122,0.255,0.23,0.225
123,0.255,0.235,0.225
124,0.255,0.23,0.235
125,0.255,0.23,0.235
126,0.255,0.235,0.23
127,0.255,0.235,0.235
128,0.255,0.23,0.235
129,0.255,0.23,0.23
130,0.255,0.24,0.23
131,0.255,0.235,0.25
132,0.255,0.24,0.23
133,0.255,0.25,0.24
134,0.255,0.235,0.23
135,0.255,0.225,0.235
136,0.255,0.235,0.235
137,0.26,0.24,0.225
138,0.255,0.23,0.24
139,0.255,0.225,0.235
140,0.255,0.265,0.23
141,0.255,0.24,0.235
142,0.255,0.23,0.235
143,0.255,0.23,0.245
144,0.255,0.24,0.235
145,0.255,0.235,0.23
146,0.255,0.23,0.23
147,0.255,0.245,0.235
148,0.255,0.245,0.245
149,0.255,0.23,0.245
150,0.255,0.24,0.245
151,0.255,0.23,0.235
152,0.255,0.24,0.245
153,0.255,0.245,0.22
154,0.255,0.235,0.235
155,0.255,0.23,0.235
156,0.255,0.225,0.22
157,0.255,0.23,0.225
158,0.255,0.245,0.23
159,0.255,0.245,0.235
160,0.255,0.235,0.235
161,0.255,0.255,0.23
162,0.255,0.24,0.225
163,0.255,0.225,0.235
164,0.26,0.235,0.24
165,0.255,0.24,0.23
166,0.255,0.235,0.235
167,0.255,0.245,0.235
168,0.255,0.235,0.245
169,0.255,0.24,0.245
170,0.255,0.235,0.225
171,0.255,0.23,0.25
172,0.255,0.225,0.23
173,0.255,0.235,0.23
174,0.255,0.235,0.235
175,0.255,0.24,0.235
176,0.255,0.24,0.235
177,0.255,0.235,0.23
178,0.255,0.235,0.235
179,0.255,0.24,0.23
180,0.255,0.235,0.235
181,0.255,0.225,0.23
182,0.255,0.225,0.24
183,0.255,0.235,0.235
184,0.255,0.225,0.245
185,0.255,0.245,0.23
186,0.255,0.225,0.23
187,0.255,0.235,0.23
188,0.26,0.235,0.235
189,0.255,0.24,0.25
190,0.255,0.25,0.235
191,0.255,0.24,0.235
192,0.255,0.235,0.235
193,0.255,0.225,0.235
194,0.255,0.235,0.235
195,0.255,0.235,0.23
196,0.255,0.24,0.26
197,0.255,0.225,0.23
198,0.255,0.235,0.235
199,0.255,0.235,0.225
200,0.255,0.23,0.235
201,0.255,0.245,0.235
202,0.275,0.24,0.24
203,0.255,0.23,0.235
204,0.255,0.23,0.235
205,0.255,0.25,0.23
206,0.255,0.225,0.245
207,0.255,0.26,0.24
208,0.255,0.225,0.24
209,0.255,0.235,0.23
210,0.255,0.255,0.235
211,0.255,0.23,0.23
212,0.255,0.235,0.235
213,0.255,0.23,0.24
214,0.255,0.235,0.235
215,0.255,0.215,0.235
216,0.255,0.23,0.235
217,0.255,0.23,0.24
218,0.255,0.24,0.235
219,0.255,0.235,0.235
220,0.255,0.24,0.235
