,I09,I10,I11
221,0.255,0.23,0.25
222,0.255,0.235,0.235
223,0.255,0.23,0.235
224,0.255,0.245,0.235
225,0.255,0.235,0.24
226,0.255,0.23,0.22
227,0.255,0.235,0.25
228,0.255,0.23,0.23
229,0.255,0.24,0.23
230,0.255,0.24,0.24
231,0.255,0.235,0.23
232,0.255,0.24,0.235
233,0.255,0.23,0.235
234,0.255,0.25,0.24
235,0.255,0.245,0.235
236,0.255,0.245,0.225
237,0.255,0.235,0.23
238,0.26,0.245,0.23
239,0.265,0.23,0.23
240,0.255,0.235,0.235
241,0.255,0.235,0.23
242,0.255,0.235,0.225
243,0.265,0.24,0.23
244,0.255,0.235,0.22
245,0.255,0.235,0.235
246,0.255,0.225,0.23
247,0.255,0.235,0.23
248,0.255,0.245,0.245
249,0.255,0.25,0.235
250,0.255,0.225,0.225
251,0.255,0.235,0.235
252,0.255,0.23,0.235
253,0.255,0.235,0.23
254,0.255,0.235,0.235
255,0.255,0.235,0.23
256,0.255,0.225,0.235
257,0.255,0.23,0.235
258,0.255,0.235,0.235
259,0.255,0.235,0.23
260,0.255,0.245,0.225
261,0.255,0.235,0.235
262,0.255,0.235,0.235
263,0.255,0.235,0.235
264,0.265,0.235,0.24
265,0.255,0.25,0.245
266,0.255,0.225,0.235
267,0.255,0.245,0.245
268,0.255,0.235,0.24
269,0.255,0.235,0.23
270,0.255,0.235,0.24
271,0.255,0.235,0.265
272,0.255,0.225,0.25
273,0.255,0.25,0.23
274,0.255,0.24,0.24
275,0.255,0.245,0.24
276,0.255,0.235,0.23
277,0.255,0.25,0.245
278,0.255,0.22,0.23
279,0.255,0.235,0.23
280,0.255,0.225,0.235
281,0.255,0.24,0.23
282,0.255,0.235,0.22
283,0.255,0.225,0.235
284,0.255,0.225,0.235
285,0.255,0.245,0.225
286,0.255,0.235,0.235
287,0.255,0.235,0.235
288,0.255,0.225,0.25
289,0.255,0.23,0.24
290,0.255,0.23,0.25
291,0.255,0.235,0.235
292,0.255,0.235,0.235
293,0.255,0.215,0.235
294,0.255,0.235,0.23
295,0.255,0.245,0.23
296,0.255,0.23,0.245
297,0.255,0.23,0.235
298,0.255,0.24,0.235
299,0.255,0.225,0.235
300,0.255,0.23,0.23
301,0.255,0.225,0.28
302,0.255,0.235,0.245
303,0.255,0.235,0.235
304,0.255,0.23,0.23
305,0.255,0.235,0.23
306,0.255,0.23,0.245
307,0.255,0.23,0.22
308,0.255,0.235,0.235
309,0.255,0.235,0.235
310,0.255,0.235,0.235
311,0.255,0.23,0.235
312,0.255,0.24,0.235
313,0.255,0.24,0.245
314,0.255,0.225,0.235
315,0.255,0.225,0.245
316,0.265,0.225,0.23
317,0.255,0.225,0.225
318,0.255,0.235,0.235
319,0.255,0.235,0.235
320,0.255,0.23,0.235
321,0.255,0.22,0.23
322,0.255,0.235,0.23
323,0.255,0.22,0.24
324,0.255,0.23,0.23
325,0.255,0.235,0.235
326,0.255,0.255,0.24
327,0.255,0.24,0.235
328,0.255,0.23,0.235
329,0.255,0.23,0.235
330,0.255,0.24,0.24
331,0.255,0.24,0.235
332,0.255,0.235,0.23
333,0.255,0.235,0.23
334,0.255,0.24,0.235
335,0.255,0.23,0.235
336,0.275,0.235,0.25
337,0.255,0.23,0.235
338,0.255,0.225,0.25
339,0.255,0.235,0.23
340,0.255,0.24,0.235
341,0.255,0.235,0.24
342,0.255,0.245,0.245
343,0.255,0.235,0.235
344,0.255,0.225,0.23
345,0.255,0.235,0.23
346,0.255,0.23,0.25
347,0.255,0.245,0.235
348,0.255,0.245,0.23
349,0.255,0.24,0.235
350,0.255,0.235,0.23
351,0.255,0.24,0.27
352,0.255,0.23,0.235
353,0.255,0.225,0.23
354,0.255,0.23,0.235
355,0.255,0.24,0.235
356,0.255,0.235,0.23
357,0.255,0.24,0.23
358,0.255,0.235,0.23
359,0.255,0.23,0.235
360,0.255,0.24,0.235
361,0.255,0.24,0.23
362,0.255,0.235,0.235
363,0.255,0.255,0.235
364,0.255,0.235,0.23
365,0.255,0.24,0.23
366,0.255,0.23,0.235
367,0.255,0.24,0.24
368,0.255,0.255,0.235
369,0.255,0.23,0.23
370,0.255,0.23,0.235
371,0.255,0.225,0.235
372,0.255,0.23,0.23
373,0.255,0.23,0.235
374,0.255,0.235,0.235
375,0.26,0.235,0.23
376,0.255,0.235,0.25
377,0.265,0.23,0.23
378,0.255,0.235,0.235
379,0.255,0.235,0.235
380,0.255,0.235,0.235
381,0.255,0.235,0.235
382,0.255,0.235,0.23
383,0.255,0.23,0.24
384,0.255,0.235,0.235
385,0.255,0.235,0.235
386,0.255,0.235,0.23
387,0.255,0.23,0.235
388,0.255,0.235,0.245
389,0.255,0.225,0.235
390,0.26,0.235,0.235
391,0.255,0.225,0.23
392,0.255,0.235,0.225
393,0.255,0.235,0.235
394,0.255,0.23,0.235
395,0.255,0.25,0.235
396,0.255,0.235,0.26
397,0.255,0.24,0.25
398,0.255,0.225,0.235
399,0.255,0.225,0.23
400,0.255,0.24,0.24
401,0.255,0.23,0.23
402,0.255,0.245,0.235
403,0.255,0.235,0.24
404,0.255,0.235,0.24
405,0.255,0.23,0.23
406,0.255,0.215,0.24
407,0.255,0.235,0.23
408,0.255,0.235,0.23
409,0.255,0.22,0.225
410,0.255,0.235,0.235
411,0.255,0.235,0.235
412,0.255,0.235,0.255
413,0.255,0.235,0.235
414,0.255,0.245,0.235
415,0.255,0.23,0.225
416,0.255,0.24,0.235
417,0.255,0.23,0.235
418,0.255,0.24,0.245
419,0.255,0.235,0.235
420,0.255,0.225,0.23
421,0.255,0.23,0.24
422,0.255,0.235,0.235
423,0.255,0.225,0.245
424,0.255,0.235,0.25
425,0.255,0.215,0.235
426,0.255,0.235,0.255
427,0.255,0.225,0.245
428,0.255,0.24,0.235
429,0.255,0.225,0.23
430,0.255,0.235,0.25
431,0.255,0.235,0.25
432,0.255,0.235,0.235
433,0.255,0.245,0.23
434,0.255,0.235,0.235
435,0.255,0.235,0.24
436,0.255,0.23,0.24
437,0.255,0.235,0.225
438,0.255,0.23,0.23
439,0.255,0.235,0.235
440,0.255,0.235,0.235
441,0.255,0.235,0.23
442,0.255,0.235,0.235
443,0.255,0.235,0.23
444,0.255,0.23,0.225
445,0.255,0.23,0.235
446,0.255,0.235,0.245
447,0.255,0.235,0.25
448,0.255,0.225,0.25
449,0.255,0.24,0.235
450,0.255,0.24,0.25
451,0.255,0.23,0.235
452,0.255,0.235,0.23
453,0.255,0.245,0.235
454,0.255,0.235,0.23
455,0.255,0.25,0.235
456,0.255,0.24,0.24
457,0.255,0.23,0.235
458,0.255,0.23,0.24
459,0.255,0.235,0.23
460,0.255,0.225,0.225
461,0.255,0.225,0.23
462,0.255,0.23,0.26
463,0.255,0.24,0.235
464,0.255,0.24,0.235
465,0.26,0.235,0.235
466,0.255,0.235,0.24
467,0.255,0.23,0.23
468,0.255,0.23,0.235
469,0.255,0.235,0.24
470,0.26,0.24,0.235
471,0.255,0.23,0.235
472,0.255,0.23,0.235
473,0.255,0.25,0.235
474,0.255,0.235,0.245
475,0.255,0.235,0.235
476,0.255,0.23,0.235
477,0.255,0.235,0.235
478,0.255,0.235,0.23
479,0.255,0.235,0.235
480,0.255,0.235,0.235
481,0.255,0.23,0.23
482,0.255,0.235,0.235
483,0.255,0.235,0.23
484,0.255,0.23,0.245
485,0.255,0.24,0.235
486,0.255,0.245,0.235
487,0.255,0.235,0.23
488,0.255,0.235,0.235
489,0.255,0.23,0.25
490,0.255,0.23,0.235
491,0.255,0.23,0.23
492,0.255,0.225,0.235
493,0.255,0.235,0.23
494,0.255,0.245,0.235
495,0.255,0.26,0.25
496,0.255,0.23,0.24
497,0.255,0.235,0.23
498,0.255,0.23,0.235
499,0.255,0.23,0.235
500,0.255,0.235,0.23
501,0.255,0.245,0.23
502,0.255,0.22,0.235
503,0.255,0.25,0.235
504,0.255,0.23,0.235
505,0.255,0.225,0.235
506,0.255,0.24,0.235
507,0.255,0.225,0.23
508,0.255,0.235,0.235
509,0.255,0.235,0.235
510,0.255,0.24,0.23
511,0.255,0.225,0.235
512,0.255,0.235,0.235
513,0.255,0.25,0.225
514,0.255,0.24,0.265
515,0.255,0.235,0.25
516,0.255,0.235,0.245
517,0.26,0.235,0.23
518,0.255,0.23,0.235
519,0.255,0.23,0.235
520,0.255,0.235,0.235
521,0.255,0.225,0.23
522,0.255,0.235,0.24
523,0.255,0.245,0.235
524,0.26,0.24,0.23
525,0.255,0.24,0.25
526,0.255,0.24,0.25
527,0.255,0.235,0.27
528,0.255,0.235,0.23
529,0.26,0.23,0.235
530,0.255,0.235,0.24
531,0.255,0.24,0.23
532,0.255,0.25,0.235
533,0.255,0.24,0.235
534,0.255,0.235,0.23
535,0.255,0.23,0.235
536,0.255,0.23,0.235
537,0.255,0.24,0.225
538,0.255,0.245,0.235
539,0.255,0.24,0.235
540,0.255,0.235,0.23
541,0.255,0.24,0.245
542,0.255,0.235,0.24
543,0.255,0.235,0.24
544,0.255,0.24,0.25
545,0.255,0.235,0.245
546,0.255,0.235,0.24
547,0.255,0.26,0.24
548,0.255,0.235,0.23
549,0.255,0.245,0.23
550,0.255,0.23,0.235
551,0.255,0.235,0.235
552,0.255,0.245,0.22
553,0.255,0.24,0.235
554,0.255,0.23,0.23
555,0.255,0.235,0.235
556,0.255,0.23,0.26
557,0.255,0.23,0.23
558,0.255,0.25,0.235
559,0.255,0.23,0.235
560,0.255,0.235,0.23
561,0.255,0.235,0.23
562,0.255,0.235,0.225
563,0.255,0.235,0.245
564,0.255,0.23,0.23
565,0.255,0.225,0.25
566,0.255,0.225,0.235
567,0.255,0.23,0.235
568,0.255,0.235,0.235
569,0.255,0.23,0.23
570,0.255,0.235,0.23
571,0.255,0.235,0.23
572,0.255,0.245,0.225
573,0.255,0.235,0.235
574,0.255,0.235,0.225
575,0.255,0.24,0.26
576,0.255,0.24,0.225
577,0.255,0.23,0.225
578,0.255,0.235,0.23
579,0.255,0.23,0.235
580,0.255,0.23,0.235
581,0.255,0.23,0.235
582,0.255,0.23,0.23
583,0.255,0.235,0.225
584,0.255,0.235,0.25
585,0.255,0.24,0.23
586,0.255,0.23,0.23
587,0.255,0.235,0.235
588,0.255,0.23,0.23
589,0.255,0.24,0.24
590,0.255,0.235,0.245
591,0.255,0.23,0.235
592,0.255,0.24,0.235
593,0.255,0.235,0.23
594,0.255,0.24,0.23
595,0.255,0.235,0.225
596,0.255,0.24,0.23
597,0.255,0.23,0.235
598,0.255,0.235,0.25
599,0.255,0.24,0.225
600,0.255,0.245,0.245
601,0.255,0.24,0.23
602,0.255,0.225,0.23
603,0.255,0.235,0.235
604,0.255,0.235,0.23
605,0.255,0.235,0.23
606,0.255,0.215,0.23
607,0.255,0.24,0.245
608,0.255,0.225,0.235
609,0.255,0.235,0.23
610,0.255,0.235,0.24
611,0.255,0.24,0.22
612,0.255,0.28,0.23
613,0.255,0.24,0.245
614,0.26,0.245,0.245
615,0.255,0.245,0.235
616,0.255,0.24,0.225
617,0.255,0.235,0.22
618,0.255,0.24,0.225
619,0.255,0.24,0.25
620,0.255,0.23,0.235
621,0.255,0.24,0.23
622,0.255,0.23,0.23
623,0.255,0.245,0.23
624,0.255,0.235,0.23
625,0.255,0.225,0.235
626,0.255,0.23,0.235
627,0.255,0.24,0.23
628,0.255,0.24,0.225
629,0.255,0.225,0.235
630,0.255,0.235,0.23
631,0.255,0.24,0.235
632,0.255,0.225,0.235
633,0.255,0.23,0.23
634,0.255,0.23,0.245
635,0.255,0.235,0.23
636,0.255,0.23,0.24
637,0.255,0.245,0.235
638,0.255,0.235,0.23
639,0.255,0.25,0.235
640,0.255,0.24,0.24
641,0.255,0.245,0.235
642,0.26,0.225,0.235
643,0.255,0.235,0.235
644,0.255,0.24,0.23
645,0.255,0.235,0.235
646,0.255,0.245,0.23
647,0.255,0.235,0.23
648,0.255,0.225,0.245
649,0.255,0.215,0.23
650,0.255,0.235,0.24
651,0.255,0.235,0.23
652,0.26,0.23,0.23
653,0.255,0.225,0.235
654,0.255,0.22,0.235
655,0.255,0.23,0.235
656,0.255,0.235,0.235
657,0.255,0.235,0.235
658,0.255,0.225,0.235
659,0.255,0.25,0.23
660,0.255,0.225,0.23
661,0.255,0.235,0.235
662,0.255,0.24,0.23
663,0.255,0.225,0.235
664,0.255,0.235,0.245
665,0.255,0.23,0.23
666,0.255,0.245,0.22
667,0.255,0.225,0.23
668,0.255,0.21,0.245
669,0.255,0.23,0.235
670,0.255,0.24,0.235
671,0.255,0.225,0.24
672,0.255,0.24,0.23
673,0.255,0.235,0.23
674,0.255,0.235,0.235
675,0.255,0.225,0.235
676,0.255,0.24,0.23
677,0.255,0.24,0.235
678,0.255,0.23,0.24
679,0.245,0.235,0.245
680,0.255,0.235,0.23
681,0.255,0.23,0.23
682,0.255,0.23,0.23
683,0.255,0.23,0.23
684,0.255,0.235,0.23
685,0.255,0.235,0.245
686,0.255,0.235,0.23
687,0.255,0.24,0.235
688,0.255,0.23,0.24
689,0.255,0.235,0.23
690,0.255,0.245,0.23
691,0.255,0.235,0.235
692,0.255,0.24,0.23
693,0.255,0.245,0.23
694,0.26,0.23,0.23
695,0.255,0.24,0.23
696,0.255,0.235,0.23
697,0.255,0.235,0.235
698,0.255,0.23,0.235
699,0.255,0.23,0.235
700,0.255,0.235,0.245
701,0.3,0.235,0.23
702,0.255,0.245,0.23
703,0.255,0.235,0.23
704,0.255,0.24,0.24
705,0.255,0.235,0.235
706,0.255,0.25,0.235
707,0.255,0.23,0.235
708,0.27,0.235,0.235
709,0.255,0.23,0.24
710,0.255,0.245,0.235
711,0.255,0.23,0.235
712,0.26,0.245,0.23
713,0.255,0.24,0.23
714,0.255,0.235,0.24
715,0.255,0.23,0.23
716,0.255,0.23,0.23
717,0.255,0.235,0.23
718,0.255,0.27,0.235
719,0.255,0.23,0.235
720,0.255,0.225,0.24
721,0.255,0.25,0.235
722,0.255,0.235,0.255
723,0.255,0.235,0.245
724,0.255,0.235,0.23
725,0.255,0.235,0.26
726,0.255,0.235,0.235
727,0.255,0.225,0.225
728,0.255,0.235,0.24
729,0.255,0.23,0.235
730,0.255,0.225,0.23
731,0.255,0.24,0.24
732,0.255,0.24,0.235
733,0.255,0.215,0.245
734,0.255,0.24,0.23
735,0.255,0.235,0.23
736,0.255,0.235,0.24
737,0.255,0.235,0.23
738,0.255,0.24,0.235
739,0.255,0.225,0.235
740,0.255,0.23,0.225
741,0.255,0.215,0.24
742,0.255,0.235,0.23
743,0.26,0.235,0.24
744,0.255,0.235,0.235
745,0.255,0.22,0.235
746,0.255,0.24,0.23
747,0.255,0.235,0.235
748,0.255,0.23,0.235
749,0.255,0.24,0.23
750,0.255,0.23,0.245
751,0.255,0.235,0.245
752,0.27,0.24,0.235
753,0.255,0.23,0.235
754,0.255,0.235,0.24
755,0.255,0.235,0.23
756,0.255,0.24,0.23
757,0.255,0.235,0.235
758,0.255,0.235,0.235
759,0.255,0.23,0.23
760,0.255,0.25,0.225
761,0.255,0.24,0.235
762,0.255,0.235,0.24
763,0.255,0.23,0.235
764,0.255,0.235,0.235
765,0.255,0.245,0.235
766,0.255,0.235,0.23
767,0.255,0.245,0.235
768,0.255,0.225,0.235
769,0.255,0.235,0.235
770,0.255,0.24,0.235
771,0.255,0.23,0.25
772,0.255,0.23,0.235
773,0.255,0.235,0.235
774,0.255,0.245,0.24
775,0.255,0.23,0.235
776,0.255,0.23,0.24
777,0.255,0.235,0.25
778,0.255,0.24,0.23
779,0.255,0.235,0.24
780,0.285,0.235,0.235
781,0.255,0.235,0.25
782,0.255,0.24,0.245
783,0.255,0.235,0.245
784,0.255,0.24,0.235
785,0.255,0.235,0.235
786,0.255,0.235,0.235
787,0.255,0.235,0.245
788,0.255,0.235,0.235
789,0.255,0.235,0.235
790,0.265,0.235,0.235
791,0.255,0.235,0.23
792,0.255,0.225,0.245
793,0.255,0.235,0.235
794,0.255,0.235,0.235
795,0.255,0.24,0.235
796,0.255,0.235,0.25
797,0.255,0.235,0.23
798,0.255,0.23,0.24
799,0.255,0.235,0.255
800,0.255,0.23,0.235
801,0.255,0.23,0.22
802,0.255,0.235,0.24
803,0.255,0.235,0.23
804,0.255,0.24,0.235
805,0.255,0.235,0.26
806,0.255,0.235,0.24
807,0.255,0.235,0.235
808,0.255,0.235,0.24
809,0.255,0.24,0.23
810,0.255,0.23,0.235
811,0.255,0.235,0.25
812,0.255,0.225,0.235
813,0.255,0.225,0.245
814,0.255,0.23,0.245
815,0.255,0.23,0.265
816,0.255,0.235,0.235
817,0.255,0.245,0.225
818,0.255,0.24,0.235
819,0.255,0.235,0.24
820,0.255,0.235,0.235
821,0.255,0.22,0.235
822,0.255,0.235,0.235
823,0.255,0.255,0.25
824,0.255,0.23,0.23
825,0.255,0.235,0.235
826,0.255,0.24,0.25
827,0.255,0.23,0.24
828,0.255,0.24,0.24
829,0.255,0.235,0.24
830,0.255,0.25,0.245
831,0.255,0.23,0.24
832,0.26,0.24,0.235
833,0.255,0.24,0.225
834,0.255,0.24,0.235
835,0.255,0.24,0.25
836,0.255,0.235,0.235
837,0.255,0.235,0.225
838,0.255,0.22,0.23
839,0.255,0.235,0.235
840,0.255,0.235,0.24
841,0.255,0.235,0.23
842,0.255,0.235,0.245
843,0.255,0.235,0.23
844,0.255,0.23,0.235
845,0.255,0.23,0.235
846,0.255,0.235,0.245
847,0.255,0.23,0.26
848,0.255,0.235,0.235
849,0.255,0.24,0.235
850,0.255,0.23,0.23
851,0.255,0.235,0.25
852,0.255,0.235,0.235
853,0.255,0.235,0.24
854,0.255,0.23,0.235
855,0.255,0.225,0.235
856,0.255,0.24,0.235
857,0.255,0.24,0.23
858,0.255,0.235,0.235
859,0.255,0.23,0.23
860,0.255,0.235,0.23
861,0.255,0.24,0.235
862,0.255,0.225,0.235
863,0.255,0.26,0.245
864,0.255,0.23,0.23
865,0.255,0.245,0.24
866,0.255,0.235,0.235
867,0.255,0.245,0.25
868,0.255,0.21,0.235
869,0.255,0.235,0.235
870,0.255,0.23,0.24
871,0.255,0.235,0.23
872,0.255,0.305,0.24
873,0.255,0.245,0.235
874,0.255,0.23,0.225
875,0.255,0.235,0.235
876,0.255,0.23,0.235
877,0.255,0.235,0.235
878,0.255,0.235,0.235
879,0.255,0.235,0.24
880,0.255,0.235,0.225
881,0.255,0.23,0.235
882,0.255,0.235,0.25
883,0.255,0.235,0.235
884,0.255,0.235,0.235
885,0.255,0.235,0.235
886,0.255,0.24,0.23
887,0.255,0.23,0.235
888,0.255,0.24,0.24
889,0.255,0.235,0.23
890,0.255,0.235,0.235
891,0.255,0.235,0.23
892,0.255,0.245,0.24
893,0.255,0.235,0.235
894,0.255,0.24,0.24
895,0.255,0.24,0.24
896,0.255,0.245,0.235
897,0.255,0.245,0.23
898,0.255,0.235,0.235
899,0.255,0.235,0.23
900,0.255,0.22,0.23
901,0.255,0.255,0.235
902,0.255,0.24,0.25
903,0.255,0.225,0.245
904,0.255,0.235,0.235
905,0.255,0.23,0.235
906,0.255,0.24,0.23
907,0.255,0.23,0.235
908,0.255,0.235,0.245
909,0.255,0.235,0.24
910,0.255,0.23,0.235
911,0.255,0.245,0.235
912,0.255,0.235,0.23
913,0.255,0.215,0.23
914,0.255,0.23,0.23
915,0.255,0.24,0.235
916,0.255,0.235,0.245
917,0.255,0.235,0.235
918,0.255,0.235,0.235
919,0.255,0.235,0.245
920,0.255,0.265,0.245
921,0.255,0.235,0.23
922,0.255,0.225,0.235
923,0.255,0.23,0.23
924,0.255,0.24,0.25
925,0.255,0.23,0.225
926,0.255,0.22,0.245
927,0.255,0.23,0.24
928,0.255,0.235,0.25
929,0.255,0.24,0.23
930,0.255,0.24,0.275
931,0.255,0.235,0.24
932,0.255,0.235,0.24
933,0.255,0.24,0.23
934,0.255,0.235,0.245
935,0.255,0.24,0.235
936,0.255,0.235,0.23
937,0.255,0.23,0.235
938,0.255,0.24,0.23
939,0.255,0.23,0.22
940,0.255,0.235,0.23
941,0.255,0.23,0.225
942,0.255,0.24,0.23
943,0.255,0.23,0.245
944,0.255,0.235,0.24
945,0.255,0.23,0.235
946,0.285,0.245,0.235
947,0.255,0.23,0.235
948,0.255,0.25,0.235
949,0.255,0.24,0.235
950,0.255,0.23,0.235
951,0.255,0.235,0.245
952,0.255,0.215,0.235
953,0.255,0.24,0.235
954,0.255,0.23,0.235
955,0.255,0.235,0.235
956,0.255,0.245,0.23
957,0.255,0.235,0.235
958,0.255,0.235,0.235
959,0.255,0.225,0.235
960,0.255,0.23,0.24
961,0.255,0.23,0.24
962,0.255,0.245,0.24
963,0.255,0.23,0.235
964,0.255,0.23,0.235
965,0.255,0.22,0.235
966,0.255,0.235,0.235
967,0.255,0.24,0.23
968,0.255,0.235,0.25
969,0.255,0.235,0.235
970,0.255,0.235,0.23
971,0.255,0.235,0.24
972,0.255,0.225,0.25
973,0.255,0.23,0.235
974,0.255,0.235,0.23
975,0.255,0.235,0.23
976,0.255,0.245,0.235
977,0.255,0.245,0.245
978,0.255,0.24,0.25
979,0.255,0.235,0.245
980,0.255,0.23,0.245
981,0.255,0.24,0.235
982,0.255,0.235,0.23
983,0.255,0.235,0.24
984,0.255,0.235,0.235
985,0.255,0.225,0.235
986,0.255,0.245,0.235
987,0.255,0.235,0.24
988,0.255,0.235,0.235
989,0.255,0.235,0.24
990,0.255,0.235,0.25
991,0.255,0.23,0.235
992,0.255,0.285,0.23
993,0.255,0.25,0.255
994,0.255,0.23,0.235
995,0.255,0.23,0.24
996,0.255,0.235,0.23
997,0.255,0.225,0.235
