,I03,I12
319,0.375,0.235
320,0.38,0.23
321,0.38,0.23
322,0.38,0.225
323,0.38,0.23
324,0.38,0.23
325,0.375,0.22
326,0.375,0.265
327,0.38,0.235
328,0.38,0.24
329,0.38,0.24
330,0.38,0.235
331,0.385,0.235
332,0.38,0.235
333,0.38,0.235
334,0.38,0.235
335,0.38,0.255
336,0.375,0.245
337,0.385,0.235
338,0.38,0.235
339,0.385,0.235
340,0.375,0.235
341,0.38,0.235
342,0.375,0.24
343,0.385,0.24
344,0.385,0.235
345,0.375,0.235
346,0.38,0.225
347,0.38,0.235
348,0.375,0.235
349,0.38,0.24
350,0.38,0.29
351,0.38,0.23
352,0.375,0.225
353,0.375,0.235
354,0.375,0.245
355,0.385,0.22
356,0.38,0.245
357,0.38,0.235
358,0.38,0.24
359,0.38,0.235
360,0.375,0.235
361,0.375,0.225
362,0.38,0.235
363,0.38,0.24
364,0.375,0.24
365,0.375,0.24
366,0.39,0.24
367,0.38,0.235
368,0.375,0.235
369,0.38,0.235
370,0.38,0.23
371,0.385,0.235
372,0.375,0.235
373,0.375,0.235
374,0.38,0.235
375,0.37,0.235
376,0.385,0.23
377,0.375,0.235
378,0.375,0.235
379,0.38,0.235
380,0.37,0.225
381,0.38,0.235
382,0.375,0.255
383,0.375,0.235
384,0.38,0.24
385,0.38,0.235
386,0.38,0.235
387,0.375,0.24
388,0.38,0.225
389,0.38,0.24
390,0.38,0.235
391,0.38,0.23
392,0.375,0.235
393,0.375,0.235
394,0.38,0.24
395,0.385,0.235
396,0.38,0.225
397,0.38,0.235
398,0.37,0.235
399,0.385,0.25
400,0.38,0.23
401,0.38,0.235
402,0.38,0.235
403,0.38,0.235
404,0.375,0.23
405,0.375,0.235
406,0.38,0.24
407,0.375,0.235
408,0.375,0.235
409,0.375,0.23
410,0.38,0.235
411,0.38,0.23
412,0.38,0.24
413,0.38,0.255
414,0.375,0.24
415,0.37,0.245
416,0.38,0.235
417,0.375,0.235
418,0.38,0.235
419,0.375,0.235
420,0.38,0.235
421,0.38,0.235
422,0.375,0.235
423,0.375,0.235
424,0.375,0.255
425,0.375,0.235
426,0.385,0.23
427,0.39,0.23
428,0.38,0.235
429,0.38,0.225
430,0.38,0.23
431,0.385,0.24
432,0.385,0.23
433,0.38,0.235
434,0.38,0.235
435,0.375,0.23
436,0.38,0.23
437,0.38,0.235
438,0.38,0.235
439,0.375,0.235
440,0.375,0.235
441,0.38,0.235
442,0.375,0.23
443,0.395,0.24
444,0.39,0.235
445,0.38,0.225
446,0.38,0.235
447,0.38,0.23
448,0.38,0.235
449,0.375,0.235
450,0.375,0.235
451,0.38,0.24
452,0.38,0.225
453,0.38,0.225
454,0.38,0.235
455,0.375,0.235
456,0.38,0.235
457,0.38,0.23
458,0.38,0.23
459,0.38,0.255
460,0.38,0.24
461,0.38,0.24
462,0.38,0.235
463,0.375,0.24
464,0.38,0.23
465,0.38,0.245
466,0.38,0.23
467,0.375,0.235
468,0.375,0.23
469,0.385,0.235
470,0.38,0.235
471,0.38,0.235
472,0.385,0.24
473,0.38,0.235
474,0.38,0.25
475,0.38,0.24
476,0.38,0.24
477,0.38,0.23
478,0.38,0.235
479,0.38,0.235
480,0.38,0.235
481,0.38,0.235
482,0.38,0.235
483,0.375,0.24
484,0.375,0.24
485,0.38,0.235
486,0.375,0.24
487,0.38,0.23
488,0.38,0.235
489,0.385,0.235
490,0.375,0.24
491,0.375,0.23
492,0.375,0.255
493,0.375,0.235
494,0.38,0.24
495,0.375,0.235
496,0.385,0.235
497,0.375,0.24
498,0.38,0.235
499,0.375,0.245
500,0.375,0.24
501,0.38,0.23
502,0.385,0.24
503,0.38,0.23
504,0.375,0.24
505,0.38,0.24
506,0.385,0.24
507,0.38,0.24
508,0.38,0.24
509,0.38,0.235
510,0.375,0.24
511,0.385,0.235
512,0.385,0.24
513,0.375,0.235
514,0.38,0.235
515,0.38,0.25
516,0.38,0.255
517,0.385,0.245
518,0.385,0.24
519,0.385,0.235
520,0.39,0.235
521,0.38,0.24
522,0.385,0.235
523,0.385,0.245
524,0.385,0.24
525,0.38,0.25
526,0.385,0.235
527,0.38,0.235
528,0.385,0.27
529,0.38,0.235
530,0.38,0.24
531,0.375,0.235
532,0.385,0.235
533,0.38,0.24
534,0.38,0.24
535,0.38,0.235
536,0.38,0.235
537,0.38,0.235
538,0.38,0.24
539,0.38,0.24
540,0.375,0.235
541,0.38,0.23
542,0.375,0.23
543,0.38,0.235
544,0.385,0.235
545,0.385,0.235
546,0.38,0.235
547,0.375,0.235
548,0.385,0.25
549,0.38,0.24
550,0.375,0.225
551,0.38,0.235
552,0.38,0.24
553,0.38,0.24
554,0.38,0.24
555,0.38,0.235
556,0.375,0.24
557,0.385,0.235
558,0.385,0.24
559,0.375,0.24
560,0.385,0.24
561,0.385,0.23
562,0.38,0.235
563,0.385,0.235
564,0.38,0.255
565,0.38,0.255
566,0.38,0.235
567,0.38,0.26
568,0.38,0.23
569,0.38,0.235
570,0.38,0.24
571,0.38,0.23
572,0.38,0.235
573,0.385,0.235
574,0.38,0.24
575,0.385,0.235
576,0.38,0.25
577,0.38,0.24
578,0.385,0.23
579,0.38,0.235
580,0.38,0.23
581,0.38,0.23
582,0.375,0.235
583,0.385,0.255
584,0.385,0.235
585,0.38,0.23
586,0.38,0.25
587,0.375,0.235
588,0.385,0.235
589,0.38,0.23
590,0.375,0.245
591,0.375,0.255
592,0.38,0.235
593,0.375,0.23
