,I03,I12
1361,0.38,0.235
1362,0.38,0.24
1363,0.375,0.235
1364,0.385,0.24
1365,0.38,0.235
1366,0.375,0.245
1367,0.38,0.235
1368,0.38,0.23
1369,0.38,0.23
1370,0.38,0.23
1371,0.38,0.22
1372,0.38,0.245
1373,0.38,0.225
1374,0.38,0.24
1375,0.38,0.235
1376,0.375,0.23
1377,0.385,0.235
1378,0.375,0.23
1379,0.385,0.25
1380,0.38,0.23
1381,0.375,0.235
1382,0.375,0.25
1383,0.375,0.255
1384,0.375,0.23
1385,0.38,0.23
1386,0.38,0.235
1387,0.375,0.235
1388,0.375,0.235
1389,0.375,0.23
1390,0.38,0.235
1391,0.38,0.23
1392,0.375,0.24
1393,0.38,0.24
1394,0.37,0.235
1395,0.38,0.235
1396,0.38,0.24
1397,0.38,0.23
1398,0.375,0.235
1399,0.38,0.235
1400,0.375,0.235
1401,0.38,0.23
1402,0.385,0.24
1403,0.375,0.235
1404,0.375,0.235
1405,0.375,0.235
1406,0.38,0.235
1407,0.385,0.235
1408,0.375,0.235
1409,0.38,0.23
1410,0.38,0.225
1411,0.38,0.235
1412,0.375,0.235
1413,0.375,0.235
1414,0.375,0.24
1415,0.385,0.24
1416,0.38,0.24
1417,0.38,0.255
1418,0.375,0.24
1419,0.375,0.23
1420,0.375,0.23
1421,0.38,0.235
1422,0.38,0.225
1423,0.38,0.235
1424,0.375,0.235
1425,0.38,0.235
1426,0.38,0.245
1427,0.375,0.235
1428,0.375,0.24
1429,0.375,0.235
1430,0.375,0.28
1431,0.38,0.23
1432,0.38,0.235
1433,0.38,0.235
1434,0.38,0.235
1435,0.38,0.24
1436,0.375,0.23
1437,0.375,0.235
1438,0.385,0.265
1439,0.375,0.23
1440,0.38,0.23
1441,0.38,0.235
1442,0.38,0.245
1443,0.38,0.235
1444,0.38,0.235
1445,0.38,0.235
1446,0.38,0.23
1447,0.375,0.24
1448,0.38,0.245
1449,0.375,0.235
1450,0.38,0.235
1451,0.375,0.235
1452,0.385,0.225
1453,0.375,0.235
1454,0.38,0.225
1455,0.38,0.23
1456,0.375,0.23
1457,0.38,0.24
1458,0.375,0.235
1459,0.38,0.235
1460,0.38,0.235
1461,0.38,0.23
1462,0.375,0.255
1463,0.385,0.24
1464,0.375,0.24
1465,0.375,0.23
1466,0.375,0.23
1467,0.375,0.235
1468,0.38,0.23
1469,0.38,0.23
1470,0.375,0.23
1471,0.385,0.235
1472,0.38,0.225
1473,0.38,0.23
1474,0.38,0.23
1475,0.38,0.23
1476,0.38,0.235
1477,0.38,0.235
1478,0.375,0.235
1479,0.385,0.23
1480,0.38,0.23
1481,0.365,0.24
1482,0.38,0.23
1483,0.38,0.23
1484,0.375,0.235
1485,0.375,0.235
1486,0.38,0.24
1487,0.37,0.23
1488,0.38,0.23
1489,0.39,0.235
1490,0.38,0.235
1491,0.375,0.23
1492,0.385,0.235
1493,0.38,0.235
1494,0.375,0.235
1495,0.375,0.225
1496,0.385,0.235
1497,0.38,0.235
1498,0.375,0.23
1499,0.375,0.23
1500,0.385,0.24
1501,0.375,0.235
1502,0.375,0.23
1503,0.38,0.235
1504,0.38,0.23
1505,0.37,0.24
1506,0.38,0.225
1507,0.38,0.235
1508,0.38,0.235
1509,0.385,0.235
1510,0.38,0.235
1511,0.375,0.235
1512,0.38,0.235
1513,0.375,0.24
1514,0.38,0.26
1515,0.375,0.23
1516,0.38,0.23
1517,0.385,0.24
1518,0.385,0.235
1519,0.38,0.24
1520,0.38,0.255
1521,0.38,0.235
1522,0.375,0.235
1523,0.38,0.235
1524,0.38,0.235
1525,0.385,0.235
1526,0.375,0.235
1527,0.38,0.24
1528,0.38,0.245
1529,0.375,0.255
1530,0.375,0.24
1531,0.38,0.235
1532,0.385,0.235
1533,0.375,0.225
1534,0.38,0.23
1535,0.375,0.225
1536,0.385,0.235
1537,0.38,0.235
1538,0.38,0.235
1539,0.38,0.24
1540,0.385,0.23
1541,0.38,0.235
1542,0.385,0.235
1543,0.375,0.26
1544,0.38,0.235
1545,0.385,0.235
1546,0.38,0.24
1547,0.38,0.235
1548,0.375,0.245
1549,0.38,0.24
1550,0.38,0.235
1551,0.375,0.235
1552,0.375,0.235
1553,0.385,0.235
1554,0.385,0.23
1555,0.375,0.235
1556,0.375,0.235
1557,0.38,0.24
1558,0.385,0.235
1559,0.38,0.23
1560,0.38,0.235
1561,0.38,0.26
1562,0.375,0.235
1563,0.375,0.23
1564,0.375,0.235
1565,0.38,0.24
1566,0.38,0.235
1567,0.38,0.225
1568,0.375,0.235
1569,0.38,0.24
1570,0.375,0.235
1571,0.38,0.235
1572,0.38,0.24
1573,0.38,0.235
1574,0.38,0.235
1575,0.38,0.235
1576,0.385,0.23
1577,0.38,0.235
1578,0.38,0.235
1579,0.385,0.235
1580,0.38,0.235
1581,0.385,0.255
1582,0.375,0.235
1583,0.38,0.235
1584,0.38,0.235
1585,0.38,0.24
1586,0.38,0.235
1587,0.38,0.235
1588,0.38,0.235
1589,0.38,0.25
1590,0.38,0.24
1591,0.38,0.25
1592,0.38,0.24
1593,0.385,0.23
1594,0.38,0.235
1595,0.38,0.235
1596,0.385,0.23
1597,0.38,0.235
1598,0.385,0.235
1599,0.385,0.225
1600,0.375,0.235
1601,0.375,0.235
1602,0.38,0.235
1603,0.375,0.23
1604,0.38,0.235
1605,0.385,0.245
1606,0.38,0.235
1607,0.38,0.23
1608,0.375,0.24
1609,0.385,0.235
1610,0.375,0.255
1611,0.38,0.23
1612,0.38,0.235
1613,0.375,0.24
1614,0.38,0.26
1615,0.38,0.235
1616,0.38,0.25
1617,0.375,0.23
1618,0.38,0.23
1619,0.38,0.24
1620,0.38,0.24
1621,0.375,0.235
1622,0.385,0.235
1623,0.38,0.23
1624,0.38,0.235
1625,0.375,0.23
1626,0.375,0.235
1627,0.375,0.235
1628,0.38,0.24
1629,0.375,0.235
1630,0.38,0.24
1631,0.38,0.235
1632,0.385,0.235
1633,0.39,0.25
1634,0.38,0.24
1635,0.385,0.23
1636,0.385,0.24
1637,0.385,0.24
1638,0.38,0.235
1639,0.38,0.235
1640,0.38,0.24
1641,0.38,0.235
1642,0.38,0.24
1643,0.38,0.235
1644,0.38,0.235
1645,0.38,0.235
1646,0.375,0.24
1647,0.38,0.235
1648,0.39,0.24
1649,0.38,0.235
1650,0.38,0.235
1651,0.38,0.25
1652,0.375,0.235
1653,0.38,0.23
1654,0.375,0.235
1655,0.385,0.235
1656,0.38,0.235
1657,0.38,0.25
1658,0.38,0.23
1659,0.38,0.23
1660,0.375,0.235
1661,0.385,0.235
1662,0.385,0.255
1663,0.38,0.245
1664,0.385,0.235
1665,0.385,0.235
1666,0.38,0.23
1667,0.385,0.23
1668,0.37,0.24
1669,0.39,0.235
1670,0.375,0.24
1671,0.375,0.235
1672,0.38,0.24
1673,0.385,0.24
1674,0.385,0.235
1675,0.38,0.23
1676,0.37,0.23
1677,0.375,0.24
1678,0.38,0.24
1679,0.385,0.235
1680,0.38,0.235
1681,0.375,0.24
1682,0.38,0.235
1683,0.385,0.235
1684,0.385,0.235
1685,0.385,0.24
1686,0.38,0.24
1687,0.38,0.225
1688,0.38,0.25
1689,0.385,0.245
1690,0.385,0.24
1691,0.38,0.225
1692,0.38,0.23
1693,0.38,0.235
1694,0.38,0.235
1695,0.38,0.235
1696,0.385,0.235
1697,0.385,0.235
1698,0.38,0.235
1699,0.385,0.25
1700,0.375,0.235
1701,0.38,0.23
1702,0.38,0.25
1703,0.385,0.23
1704,0.375,0.235
1705,0.38,0.235
1706,0.38,0.235
1707,0.38,0.235
1708,0.385,0.225
1709,0.385,0.23
1710,0.375,0.235
1711,0.38,0.225
1712,0.375,0.235
1713,0.385,0.235
1714,0.385,0.24
1715,0.385,0.235
1716,0.38,0.225
1717,0.385,0.23
1718,0.38,0.235
1719,0.38,0.23
1720,0.385,0.23
1721,0.375,0.235
1722,0.39,0.23
1723,0.39,0.235
1724,0.38,0.235
1725,0.38,0.235
1726,0.38,0.235
1727,0.38,0.235
1728,0.38,0.24
1729,0.38,0.225
1730,0.38,0.24
1731,0.38,0.235
1732,0.385,0.24
1733,0.375,0.24
1734,0.38,0.23
1735,0.38,0.235
1736,0.38,0.235
1737,0.38,0.24
1738,0.38,0.235
1739,0.375,0.23
1740,0.38,0.235
1741,0.38,0.23
1742,0.38,0.24
1743,0.375,0.255
1744,0.38,0.235
1745,0.38,0.235
1746,0.38,0.23
1747,0.385,0.235
1748,0.385,0.245
1749,0.38,0.235
1750,0.38,0.24
1751,0.38,0.24
1752,0.375,0.235
1753,0.385,0.235
1754,0.375,0.245
1755,0.385,0.235
1756,0.375,0.225
1757,0.375,0.255
1758,0.38,0.23
1759,0.385,0.235
1760,0.385,0.24
1761,0.38,0.235
1762,0.385,0.235
1763,0.38,0.23
1764,0.38,0.235
1765,0.38,0.235
1766,0.375,0.225
1767,0.385,0.235
1768,0.38,0.245
1769,0.38,0.24
1770,0.38,0.24
1771,0.385,0.23
1772,0.38,0.245
1773,0.385,0.225
1774,0.38,0.25
1775,0.38,0.245
1776,0.385,0.24
1777,0.38,0.225
1778,0.38,0.235
1779,0.38,0.235
1780,0.38,0.235
1781,0.385,0.25
1782,0.38,0.235
1783,0.375,0.24
1784,0.38,0.235
1785,0.385,0.24
1786,0.375,0.235
1787,0.38,0.26
1788,0.38,0.25
1789,0.375,0.235
1790,0.375,0.24
1791,0.38,0.23
1792,0.375,0.235
1793,0.38,0.235
1794,0.375,0.23
1795,0.385,0.23
1796,0.38,0.235
1797,0.375,0.235
1798,0.375,0.24
1799,0.375,0.235
1800,0.38,0.23
1801,0.375,0.235
1802,0.375,0.235
1803,0.38,0.24
1804,0.38,0.235
1805,0.375,0.235
1806,0.375,0.235
1807,0.375,0.23
1808,0.375,0.23
1809,0.38,0.235
1810,0.38,0.23
1811,0.385,0.23
1812,0.38,0.235
1813,0.38,0.23
1814,0.38,0.235
1815,0.375,0.235
1816,0.38,0.24
1817,0.38,0.23
1818,0.38,0.23
1819,0.38,0.235
1820,0.375,0.24
1821,0.375,0.23
1822,0.38,0.24
1823,0.38,0.28
1824,0.375,0.24
1825,0.375,0.24
1826,0.375,0.235
1827,0.375,0.24
1828,0.38,0.24
1829,0.38,0.23
1830,0.385,0.235
1831,0.375,0.235
1832,0.38,0.23
1833,0.375,0.23
1834,0.375,0.23
1835,0.375,0.235
1836,0.38,0.225
1837,0.38,0.27
1838,0.375,0.24
1839,0.38,0.235
1840,0.38,0.23
1841,0.375,0.235
1842,0.375,0.23
1843,0.38,0.225
1844,0.38,0.23
1845,0.385,0.235
1846,0.38,0.235
1847,0.38,0.235
1848,0.375,0.235
1849,0.385,0.24
1850,0.375,0.235
1851,0.375,0.24
1852,0.375,0.235
1853,0.375,0.24
1854,0.375,0.23
1855,0.38,0.235
1856,0.375,0.245
1857,0.38,0.23
1858,0.38,0.24
1859,0.38,0.225
1860,0.38,0.225
1861,0.38,0.235
1862,0.38,0.235
1863,0.38,0.24
1864,0.38,0.235
1865,0.37,0.235
1866,0.38,0.235
1867,0.375,0.23
1868,0.385,0.245
1869,0.38,0.225
1870,0.395,0.235
1871,0.375,0.225
1872,0.375,0.255
1873,0.38,0.23
1874,0.375,0.23
1875,0.375,0.25
1876,0.385,0.24
1877,0.375,0.235
1878,0.38,0.25
1879,0.375,0.23
1880,0.38,0.24
1881,0.375,0.235
1882,0.38,0.235
1883,0.375,0.23
1884,0.375,0.23
1885,0.375,0.235
1886,0.375,0.235
1887,0.38,0.24
1888,0.375,0.235
1889,0.38,0.255
1890,0.385,0.23
1891,0.375,0.23
1892,0.38,0.235
1893,0.38,0.235
1894,0.38,0.225
1895,0.38,0.235
1896,0.38,0.235
1897,0.38,0.23
1898,0.38,0.24
1899,0.38,0.225
1900,0.38,0.23
1901,0.38,0.23
1902,0.375,0.24
1903,0.38,0.225
1904,0.38,0.235
1905,0.38,0.23
1906,0.38,0.235
1907,0.38,0.235
1908,0.375,0.245
1909,0.375,0.235
1910,0.375,0.23
1911,0.375,0.235
1912,0.38,0.24
1913,0.375,0.235
1914,0.375,0.235
1915,0.375,0.24
1916,0.375,0.225
1917,0.38,0.235
1918,0.38,0.235
1919,0.375,0.235
1920,0.385,0.235
1921,0.385,0.23
1922,0.385,0.235
1923,0.375,0.235
1924,0.38,0.23
1925,0.38,0.23
1926,0.37,0.235
1927,0.385,0.23
1928,0.38,0.235
1929,0.375,0.23
1930,0.375,0.235
1931,0.375,0.245
1932,0.38,0.23
1933,0.375,0.235
1934,0.37,0.25
1935,0.38,0.245
1936,0.38,0.23
1937,0.375,0.23
1938,0.38,0.245
1939,0.375,0.235
1940,0.385,0.23
1941,0.38,0.24
1942,0.38,0.235
1943,0.385,0.24
1944,0.38,0.23
1945,0.385,0.23
1946,0.38,0.24
1947,0.38,0.235
1948,0.38,0.235
1949,0.375,0.235
1950,0.375,0.235
1951,0.38,0.235
1952,0.38,0.24
1953,0.38,0.235
1954,0.38,0.225
1955,0.385,0.235
1956,0.38,0.235
1957,0.38,0.235
1958,0.38,0.225
1959,0.38,0.23
1960,0.375,0.25
1961,0.375,0.225
1962,0.395,0.235
1963,0.375,0.235
1964,0.38,0.225
1965,0.38,0.235
1966,0.38,0.24
1967,0.375,0.23
1968,0.375,0.245
1969,0.38,0.24
1970,0.38,0.235
1971,0.385,0.235
1972,0.38,0.235
1973,0.375,0.235
1974,0.38,0.235
1975,0.375,0.23
1976,0.375,0.235
1977,0.385,0.235
1978,0.38,0.235
1979,0.375,0.235
1980,0.38,0.23
1981,0.38,0.255
1982,0.38,0.245
1983,0.385,0.265
1984,0.375,0.24
1985,0.38,0.235
1986,0.38,0.24
1987,0.38,0.235
1988,0.375,0.225
1989,0.375,0.235
1990,0.37,0.235
1991,0.375,0.23
1992,0.38,0.235
1993,0.38,0.235
1994,0.375,0.235
1995,0.38,0.235
1996,0.38,0.235
1997,0.38,0.235
1998,0.375,0.225
1999,0.375,0.235
2000,0.375,0.235
2001,0.375,0.235
2002,0.38,0.235
2003,0.38,0.24
2004,0.38,0.24
2005,0.38,0.225
2006,0.375,0.235
2007,0.38,0.22
2008,0.375,0.235
2009,0.38,0.23
2010,0.38,0.235
2011,0.37,0.235
2012,0.38,0.235
2013,0.38,0.23
2014,0.375,0.23
2015,0.375,0.265
2016,0.38,0.235
2017,0.38,0.23
2018,0.375,0.235
2019,0.395,0.24
2020,0.38,0.23
2021,0.375,0.23
2022,0.375,0.23
2023,0.4,0.23
2024,0.375,0.24
2025,0.38,0.23
2026,0.375,0.23
2027,0.38,0.235
2028,0.37,0.23
2029,0.375,0.25
2030,0.375,0.235
2031,0.375,0.23
2032,0.375,0.225
2033,0.38,0.235
2034,0.38,0.245
2035,0.38,0.24
2036,0.375,0.235
2037,0.38,0.235
2038,0.375,0.235
2039,0.375,0.235
2040,0.38,0.23
2041,0.375,0.23
2042,0.38,0.23
2043,0.385,0.235
2044,0.375,0.23
2045,0.38,0.23
2046,0.38,0.235
2047,0.375,0.235
2048,0.385,0.24
2049,0.38,0.235
2050,0.385,0.235
2051,0.38,0.265
2052,0.38,0.275
2053,0.375,0.24
2054,0.38,0.235
2055,0.38,0.235
2056,0.38,0.235
2057,0.38,0.235
2058,0.39,0.235
2059,0.375,0.235
2060,0.38,0.23
2061,0.385,0.24
2062,0.38,0.23
2063,0.38,0.235
2064,0.385,0.255
2065,0.375,0.235
2066,0.38,0.235
2067,0.38,0.235
2068,0.385,0.235
2069,0.39,0.235
2070,0.375,0.255
2071,0.38,0.235
2072,0.38,0.24
2073,0.38,0.24
2074,0.38,0.235
2075,0.38,0.23
2076,0.375,0.24
2077,0.375,0.23
2078,0.38,0.235
2079,0.375,0.24
2080,0.38,0.235
2081,0.39,0.24
2082,0.375,0.235
2083,0.38,0.245
2084,0.38,0.235
2085,0.38,0.23
2086,0.385,0.23
2087,0.38,0.23
2088,0.375,0.24
2089,0.38,0.24
2090,0.385,0.235
2091,0.375,0.235
2092,0.375,0.235
2093,0.385,0.24
2094,0.38,0.24
2095,0.375,0.24
2096,0.375,0.24
2097,0.385,0.235
2098,0.38,0.23
2099,0.38,0.235
2100,0.38,0.235
2101,0.375,0.235
2102,0.385,0.235
2103,0.385,0.23
2104,0.375,0.235
2105,0.375,0.23
2106,0.38,0.23
2107,0.38,0.235
2108,0.39,0.225
2109,0.385,0.24
2110,0.375,0.235
2111,0.38,0.24
2112,0.385,0.225
2113,0.38,0.24
2114,0.38,0.235
2115,0.38,0.235
2116,0.375,0.23
2117,0.395,0.24
2118,0.38,0.235
2119,0.38,0.225
2120,0.38,0.255
2121,0.385,0.235
2122,0.38,0.23
2123,0.385,0.235
2124,0.38,0.225
2125,0.38,0.24
2126,0.375,0.23
2127,0.38,0.245
2128,0.375,0.23
2129,0.38,0.23
2130,0.38,0.24
2131,0.38,0.24
2132,0.38,0.235
2133,0.375,0.235
2134,0.38,0.235
2135,0.39,0.25
2136,0.375,0.23
2137,0.38,0.235
2138,0.385,0.25
2139,0.38,0.235
2140,0.385,0.235
2141,0.375,0.235
2142,0.375,0.235
2143,0.38,0.245
2144,0.375,0.24
2145,0.38,0.24
2146,0.38,0.225
2147,0.375,0.255
2148,0.385,0.235
2149,0.395,0.24
2150,0.38,0.235
2151,0.375,0.23
2152,0.39,0.235
2153,0.38,0.235
2154,0.38,0.23
2155,0.38,0.24
2156,0.39,0.24
2157,0.38,0.225
2158,0.375,0.24
2159,0.38,0.235
2160,0.375,0.23
2161,0.38,0.24
2162,0.385,0.235
2163,0.38,0.235
2164,0.385,0.235
2165,0.385,0.245
2166,0.385,0.265
2167,0.375,0.235
2168,0.375,0.235
2169,0.385,0.23
2170,0.385,0.24
2171,0.375,0.24
2172,0.38,0.235
2173,0.385,0.24
2174,0.38,0.23
2175,0.38,0.24
2176,0.38,0.24
2177,0.385,0.24
2178,0.38,0.235
2179,0.38,0.255
2180,0.38,0.23
2181,0.375,0.23
2182,0.38,0.25
2183,0.375,0.24
2184,0.385,0.24
2185,0.375,0.23
2186,0.38,0.235
2187,0.37,0.235
2188,0.38,0.235
2189,0.38,0.23
2190,0.38,0.25
2191,0.385,0.235
2192,0.375,0.23
2193,0.38,0.23
2194,0.38,0.235
2195,0.38,0.235
2196,0.38,0.23
2197,0.39,0.25
2198,0.38,0.26
2199,0.38,0.235
2200,0.38,0.235
2201,0.385,0.24
2202,0.38,0.24
2203,0.375,0.23
2204,0.38,0.235
2205,0.375,0.245
2206,0.375,0.235
2207,0.38,0.24
2208,0.39,0.255
2209,0.38,0.235
2210,0.39,0.235
2211,0.38,0.235
2212,0.375,0.235
2213,0.38,0.255
2214,0.38,0.24
2215,0.38,0.235
2216,0.38,0.235
2217,0.39,0.24
2218,0.375,0.235
2219,0.38,0.235
2220,0.385,0.235
2221,0.385,0.24
2222,0.38,0.24
2223,0.385,0.235
2224,0.38,0.24
2225,0.38,0.23
2226,0.39,0.235
2227,0.385,0.235
2228,0.38,0.235
2229,0.38,0.24
2230,0.38,0.24
2231,0.38,0.245
2232,0.375,0.24
2233,0.38,0.235
2234,0.38,0.235
2235,0.38,0.235
2236,0.38,0.235
2237,0.38,0.235
2238,0.375,0.24
2239,0.38,0.235
2240,0.38,0.23
2241,0.38,0.235
2242,0.38,0.235
2243,0.38,0.24
2244,0.39,0.235
2245,0.38,0.24
2246,0.38,0.23
2247,0.38,0.235
2248,0.38,0.23
2249,0.38,0.235
2250,0.375,0.235
2251,0.38,0.255
2252,0.385,0.24
2253,0.375,0.235
2254,0.38,0.235
2255,0.38,0.235
2256,0.385,0.23
2257,0.38,0.235
2258,0.38,0.23
2259,0.39,0.235
2260,0.38,0.255
2261,0.38,0.235
2262,0.385,0.26
2263,0.38,0.235
2264,0.375,0.245
2265,0.38,0.24
2266,0.385,0.235
2267,0.385,0.235
2268,0.385,0.235
2269,0.38,0.235
2270,0.38,0.225
2271,0.375,0.24
2272,0.37,0.23
2273,0.38,0.235
2274,0.385,0.23
2275,0.385,0.245
2276,0.385,0.23
2277,0.39,0.235
2278,0.38,0.235
2279,0.38,0.25
2280,0.38,0.24
2281,0.38,0.235
2282,0.375,0.275
2283,0.38,0.24
2284,0.38,0.235
2285,0.38,0.235
2286,0.375,0.24
2287,0.38,0.24
2288,0.38,0.23
2289,0.38,0.235
2290,0.385,0.235
2291,0.38,0.235
2292,0.38,0.225
2293,0.38,0.235
2294,0.385,0.235
2295,0.385,0.235
2296,0.375,0.235
2297,0.38,0.235
2298,0.38,0.23
2299,0.38,0.245
2300,0.375,0.235
2301,0.375,0.235
2302,0.38,0.235
2303,0.385,0.24
2304,0.375,0.245
2305,0.38,0.235
2306,0.385,0.255
2307,0.375,0.235
2308,0.385,0.23
2309,0.385,0.24
2310,0.38,0.23
2311,0.375,0.235
2312,0.38,0.235
2313,0.38,0.24
2314,0.375,0.23
2315,0.38,0.235
2316,0.38,0.23
2317,0.375,0.235
2318,0.37,0.23
2319,0.375,0.23
2320,0.38,0.235
2321,0.38,0.245
2322,0.375,0.23
2323,0.375,0.235
2324,0.38,0.235
2325,0.38,0.235
2326,0.385,0.235
2327,0.38,0.235
2328,0.38,0.235
2329,0.38,0.235
2330,0.375,0.235
2331,0.38,0.24
2332,0.385,0.235
2333,0.375,0.235
2334,0.38,0.23
2335,0.375,0.235
2336,0.38,0.23
2337,0.38,0.255
2338,0.375,0.23
2339,0.375,0.235
2340,0.38,0.23
2341,0.375,0.23
2342,0.38,0.235
2343,0.38,0.235
2344,0.375,0.235
2345,0.38,0.23
2346,0.38,0.23
2347,0.375,0.235
2348,0.38,0.235
2349,0.38,0.235
2350,0.375,0.23
2351,0.375,0.245
2352,0.38,0.23
2353,0.375,0.24
2354,0.38,0.235
2355,0.375,0.23
2356,0.38,0.23
2357,0.385,0.255
2358,0.38,0.235
2359,0.38,0.245
2360,0.38,0.23
2361,0.38,0.23
2362,0.38,0.23
2363,0.38,0.235
2364,0.375,0.24
2365,0.38,0.235
2366,0.375,0.235
2367,0.375,0.235
2368,0.38,0.235
2369,0.38,0.235
2370,0.385,0.235
2371,0.38,0.23
2372,0.38,0.225
2373,0.38,0.24
2374,0.38,0.235
2375,0.385,0.23
2376,0.38,0.235
2377,0.38,0.225
2378,0.385,0.235
2379,0.38,0.235
2380,0.375,0.24
2381,0.38,0.235
2382,0.38,0.235
2383,0.38,0.25
2384,0.38,0.235
2385,0.38,0.235
2386,0.38,0.24
2387,0.38,0.235
2388,0.38,0.25
2389,0.375,0.235
2390,0.385,0.23
2391,0.375,0.235
2392,0.38,0.225
2393,0.38,0.255
2394,0.375,0.235
2395,0.37,0.235
2396,0.38,0.23
2397,0.375,0.24
2398,0.38,0.23
2399,0.375,0.235
2400,0.37,0.23
2401,0.38,0.235
2402,0.385,0.25
2403,0.38,0.235
2404,0.375,0.24
2405,0.38,0.235
2406,0.375,0.24
2407,0.38,0.23
2408,0.375,0.255
2409,0.38,0.235
2410,0.385,0.24
2411,0.38,0.235
2412,0.375,0.235
2413,0.38,0.225
2414,0.38,0.24
2415,0.385,0.23
2416,0.375,0.25
2417,0.375,0.23
2418,0.38,0.235
2419,0.375,0.23
2420,0.38,0.25
2421,0.38,0.23
2422,0.38,0.23
2423,0.38,0.235
2424,0.385,0.24
2425,0.375,0.23
2426,0.375,0.235
2427,0.38,0.235
2428,0.375,0.23
2429,0.38,0.235
2430,0.375,0.23
2431,0.38,0.235
2432,0.38,0.24
2433,0.38,0.23
2434,0.385,0.23
2435,0.38,0.235
2436,0.38,0.235
2437,0.375,0.24
2438,0.375,0.23
2439,0.38,0.225
2440,0.375,0.24
2441,0.375,0.235
2442,0.375,0.235
2443,0.38,0.23
2444,0.375,0.23
2445,0.385,0.235
2446,0.375,0.225
2447,0.375,0.23
2448,0.375,0.23
2449,0.38,0.24
2450,0.375,0.235
2451,0.38,0.23
2452,0.375,0.235
2453,0.38,0.23
2454,0.38,0.25
2455,0.38,0.225
2456,0.375,0.23
2457,0.38,0.225
2458,0.38,0.235
2459,0.38,0.23
2460,0.38,0.23
2461,0.385,0.23
2462,0.38,0.235
2463,0.385,0.23
2464,0.375,0.24
2465,0.38,0.235
2466,0.38,0.225
2467,0.375,0.235
2468,0.385,0.235
2469,0.375,0.235
2470,0.38,0.235
2471,0.38,0.235
2472,0.38,0.23
2473,0.38,0.23
2474,0.375,0.25
2475,0.385,0.24
2476,0.38,0.23
2477,0.38,0.235
2478,0.385,0.235
2479,0.38,0.235
2480,0.375,0.23
2481,0.375,0.235
2482,0.38,0.235
2483,0.38,0.235
2484,0.375,0.24
2485,0.38,0.23
2486,0.375,0.225
2487,0.38,0.235
2488,0.38,0.235
2489,0.38,0.26
2490,0.37,0.24
2491,0.375,0.24
2492,0.38,0.24
2493,0.38,0.235
2494,0.38,0.235
2495,0.38,0.235
2496,0.385,0.235
2497,0.385,0.235
2498,0.39,0.24
2499,0.38,0.23
2500,0.38,0.24
2501,0.38,0.235
2502,0.385,0.235
2503,0.37,0.235
2504,0.395,0.225
2505,0.385,0.255
2506,0.38,0.235
2507,0.38,0.235
2508,0.375,0.235
2509,0.375,0.235
2510,0.375,0.235
2511,0.38,0.23
2512,0.38,0.235
2513,0.375,0.235
2514,0.38,0.23
2515,0.38,0.24
2516,0.38,0.23
2517,0.375,0.235
2518,0.375,0.25
2519,0.38,0.235
2520,0.375,0.23
2521,0.38,0.235
2522,0.385,0.23
2523,0.38,0.24
2524,0.375,0.235
2525,0.38,0.225
2526,0.38,0.235
2527,0.38,0.23
2528,0.38,0.235
2529,0.375,0.235
2530,0.375,0.235
2531,0.38,0.235
2532,0.38,0.23
2533,0.385,0.235
2534,0.38,0.235
2535,0.375,0.24
2536,0.38,0.235
2537,0.375,0.235
2538,0.38,0.235
2539,0.38,0.235
2540,0.375,0.235
2541,0.38,0.235
2542,0.38,0.235
2543,0.375,0.24
2544,0.375,0.24
2545,0.375,0.235
2546,0.38,0.23
2547,0.38,0.225
2548,0.38,0.23
2549,0.38,0.24
2550,0.375,0.23
2551,0.38,0.24
2552,0.38,0.23
2553,0.38,0.235
2554,0.38,0.24
2555,0.375,0.235
2556,0.385,0.235
2557,0.375,0.24
2558,0.38,0.235
2559,0.385,0.24
2560,0.38,0.24
2561,0.39,0.235
2562,0.385,0.23
2563,0.375,0.235
2564,0.375,0.235
2565,0.385,0.24
2566,0.38,0.24
2567,0.38,0.235
2568,0.385,0.235
2569,0.375,0.24
2570,0.39,0.235
2571,0.385,0.225
2572,0.395,0.235
2573,0.385,0.235
2574,0.38,0.235
2575,0.385,0.24
2576,0.375,0.235
2577,0.385,0.235
2578,0.385,0.235
2579,0.385,0.24
2580,0.38,0.24
2581,0.375,0.24
2582,0.38,0.24
2583,0.38,0.24
2584,0.38,0.24
2585,0.38,0.235
2586,0.38,0.24
2587,0.38,0.235
2588,0.38,0.235
2589,0.385,0.235
2590,0.375,0.235
2591,0.38,0.225
2592,0.385,0.24
2593,0.375,0.24
2594,0.38,0.24
2595,0.38,0.235
2596,0.385,0.235
2597,0.38,0.24
2598,0.385,0.23
2599,0.38,0.245
2600,0.385,0.235
2601,0.385,0.235
2602,0.38,0.235
2603,0.385,0.235
2604,0.375,0.235
2605,0.38,0.235
2606,0.39,0.24
2607,0.38,0.25
2608,0.385,0.235
2609,0.375,0.23
2610,0.375,0.235
2611,0.385,0.235
2612,0.38,0.23
2613,0.38,0.235
2614,0.38,0.235
2615,0.385,0.23
2616,0.38,0.235
2617,0.385,0.24
2618,0.38,0.235
2619,0.385,0.235
2620,0.39,0.235
2621,0.38,0.25
2622,0.375,0.24
2623,0.38,0.235
2624,0.385,0.235
2625,0.39,0.24
2626,0.385,0.235
2627,0.385,0.23
2628,0.38,0.235
2629,0.38,0.23
2630,0.38,0.235
2631,0.38,0.235
2632,0.38,0.235
