V,I08,I05,I07
0.4,0.0,0.0,0.0
0.395,0.0,0.0,0.0
0.39,0.0,0.0001220703125,0.0
0.385,0.0,0.0001220703125,0.0
0.38,0.0,0.0001220703125,0.0
0.375,0.0,0.0001220703125,0.0
0.37,0.0,0.0001220703125,0.0
0.365,0.0001220703125,0.0001220703125,0.0
0.36,0.0001220703125,0.0001220703125,0.0006103515625
0.355,0.0001220703125,0.0001220703125,0.0028076171875
0.35,0.0001220703125,0.0001220703125,0.004638671875
0.345,0.000244140625,0.000244140625,0.0264892578125
0.34,0.000244140625,0.000244140625,0.097900390625
0.335,0.000244140625,0.000244140625,0.748779296875
0.33,0.0003662109375,0.000244140625,0.9993896484375
0.325,0.0003662109375,0.000244140625,0.9998779296875
0.32,0.0003662109375,0.000244140625,1.0
0.315,0.0003662109375,0.00048828125,0.9998779296875
0.31,0.0003662109375,0.00048828125,1.0
0.305,0.0003662109375,0.0006103515625,0.9998779296875
0.3,0.0003662109375,0.0008544921875,0.9998779296875
0.295,0.000732421875,0.001220703125,0.9998779296875
0.29,0.0008544921875,0.0015869140625,0.9996337890625
0.285,0.001220703125,0.0020751953125,1.0
0.28,0.00146484375,0.002685546875,1.0
0.275,0.0020751953125,0.004638671875,0.9998779296875
0.27,0.0032958984375,0.0059814453125,1.0
0.265,0.0059814453125,0.009765625,0.9998779296875
0.26,0.01220703125,0.0203857421875,1.0
0.255,0.0257568359375,0.0537109375,0.9998779296875
0.25,0.059326171875,0.1593017578125,0.999755859375
0.245,0.1700439453125,0.4287109375,0.9998779296875
0.24,0.3262939453125,0.7086181640625,1.0
0.235,0.4844970703125,0.901611328125,0.9998779296875
0.23,0.8336181640625,0.9813232421875,1.0
0.225,0.9635009765625,0.999755859375,1.0
0.22,0.9989013671875,1.0,0.9998779296875
0.215,1.0,1.0,1.0
