,I08,I05,I07
0,0.26,0.24,0.335
1,0.26,0.245,0.34
2,0.26,0.245,0.335
3,0.26,0.24,0.355
4,0.26,0.25,0.33
5,0.26,0.24,0.335
6,0.26,0.275,0.335
7,0.26,0.235,0.33
8,0.24,0.245,0.335
9,0.225,0.235,0.335
10,0.23,0.24,0.34
11,0.245,0.24,0.34
12,0.23,0.235,0.335
13,0.225,0.235,0.335
14,0.23,0.25,0.335
15,0.245,0.245,0.345
16,0.23,0.23,0.335
17,0.24,0.24,0.335
18,0.23,0.245,0.335
19,0.225,0.245,0.34
20,0.245,0.24,0.33
21,0.24,0.245,0.335
22,0.23,0.245,0.335
23,0.235,0.245,0.335
24,0.225,0.245,0.34
25,0.245,0.25,0.33
26,0.24,0.235,0.335
27,0.245,0.24,0.34
28,0.24,0.23,0.33
29,0.235,0.245,0.335
30,0.23,0.23,0.335
31,0.24,0.24,0.34
32,0.23,0.235,0.335
33,0.24,0.23,0.33
34,0.245,0.235,0.335
35,0.23,0.24,0.335
36,0.23,0.24,0.33
37,0.235,0.235,0.335
38,0.23,0.235,0.33
39,0.225,0.24,0.34
40,0.24,0.245,0.335
41,0.25,0.24,0.335
42,0.235,0.255,0.335
43,0.23,0.24,0.335
44,0.23,0.245,0.335
45,0.225,0.245,0.335
46,0.235,0.255,0.335
47,0.245,0.24,0.335
48,0.245,0.245,0.335
49,0.24,0.255,0.34
50,0.23,0.245,0.335
51,0.24,0.245,0.335
52,0.23,0.24,0.335
53,0.245,0.245,0.335
54,0.225,0.235,0.335
55,0.24,0.245,0.335
56,0.27,0.235,0.335
57,0.23,0.24,0.345
58,0.245,0.24,0.33
59,0.245,0.25,0.335
60,0.24,0.24,0.335
61,0.235,0.245,0.335
62,0.23,0.245,0.33
63,0.24,0.24,0.335
64,0.345,0.25,0.33
65,0.245,0.245,0.335
66,0.24,0.245,0.33
67,0.235,0.24,0.34
68,0.225,0.27,0.34
69,0.23,0.25,0.335
70,0.245,0.245,0.33
71,0.23,0.235,0.34
72,0.225,0.235,0.335
73,0.23,0.24,0.335
74,0.23,0.24,0.335
75,0.225,0.24,0.335
76,0.245,0.24,0.345
77,0.23,0.24,0.335
78,0.235,0.245,0.335
79,0.24,0.24,0.335
80,0.23,0.24,0.33
81,0.23,0.245,0.34
82,0.23,0.235,0.335
83,0.23,0.245,0.33
84,0.245,0.24,0.335
85,0.23,0.24,0.34
86,0.24,0.24,0.33
87,0.23,0.235,0.355
88,0.23,0.255,0.34
89,0.245,0.25,0.33
90,0.245,0.25,0.335
91,0.23,0.245,0.335
92,0.23,0.235,0.335
93,0.235,0.235,0.335
94,0.24,0.235,0.34
95,0.235,0.24,0.345
96,0.24,0.25,0.335
97,0.24,0.24,0.33
98,0.23,0.245,0.345
99,0.245,0.24,0.33
100,0.225,0.25,0.33
101,0.235,0.24,0.335
102,0.235,0.29,0.335
103,0.24,0.245,0.34
104,0.225,0.24,0.33
105,0.23,0.255,0.335
106,0.245,0.24,0.335
107,0.23,0.23,0.335
108,0.23,0.255,0.335
109,0.23,0.245,0.335
110,0.235,0.245,0.33
111,0.23,0.24,0.33
112,0.255,0.245,0.34
113,0.23,0.245,0.34
114,0.24,0.25,0.335
115,0.23,0.24,0.335
116,0.24,0.25,0.335
117,0.24,0.235,0.335
118,0.255,0.25,0.33
119,0.23,0.245,0.335
120,0.24,0.245,0.335
121,0.25,0.24,0.335
122,0.24,0.245,0.33
123,0.24,0.26,0.335
124,0.23,0.245,0.335
125,0.24,0.245,0.335
126,0.24,0.24,0.335
127,0.225,0.24,0.34
128,0.235,0.24,0.335
129,0.225,0.245,0.33
130,0.24,0.245,0.335
