,I08,I05,I07
131,0.245,0.24,0.33
132,0.24,0.245,0.335
133,0.24,0.25,0.335
134,0.245,0.245,0.335
135,0.23,0.245,0.335
136,0.24,0.235,0.335
137,0.24,0.235,0.335
138,0.24,0.23,0.355
139,0.23,0.24,0.335
140,0.23,0.25,0.335
141,0.225,0.245,0.335
142,0.245,0.245,0.335
143,0.25,0.24,0.335
144,0.235,0.245,0.335
145,0.23,0.25,0.34
146,0.23,0.25,0.335
147,0.23,0.235,0.335
148,0.225,0.25,0.33
149,0.225,0.235,0.33
150,0.245,0.245,0.335
151,0.23,0.235,0.335
152,0.245,0.24,0.33
153,0.25,0.245,0.335
154,0.23,0.24,0.335
155,0.23,0.26,0.33
156,0.23,0.245,0.33
157,0.235,0.245,0.33
158,0.24,0.235,0.34
159,0.24,0.255,0.335
160,0.23,0.245,0.33
161,0.24,0.245,0.335
162,0.235,0.24,0.335
163,0.25,0.28,0.335
164,0.235,0.24,0.335
165,0.245,0.24,0.335
166,0.23,0.24,0.335
167,0.23,0.25,0.335
168,0.225,0.245,0.335
169,0.24,0.24,0.335
170,0.245,0.24,0.335
171,0.24,0.24,0.33
172,0.235,0.24,0.335
173,0.24,0.23,0.335
174,0.23,0.235,0.335
175,0.23,0.25,0.335
176,0.23,0.25,0.33
177,0.235,0.25,0.335
178,0.245,0.25,0.33
179,0.22,0.23,0.33
180,0.235,0.24,0.33
181,0.23,0.255,0.335
182,0.235,0.23,0.335
183,0.245,0.245,0.335
184,0.23,0.255,0.34
185,0.23,0.245,0.335
186,0.235,0.23,0.335
187,0.225,0.245,0.335
188,0.255,0.245,0.335
189,0.23,0.24,0.335
190,0.24,0.245,0.33
191,0.23,0.245,0.335
192,0.235,0.245,0.335
193,0.235,0.24,0.335
194,0.225,0.24,0.335
195,0.245,0.255,0.335
196,0.24,0.23,0.33
197,0.23,0.235,0.33
198,0.245,0.245,0.335
199,0.235,0.24,0.335
200,0.23,0.24,0.335
201,0.24,0.24,0.335
202,0.24,0.24,0.335
203,0.22,0.235,0.34
204,0.225,0.24,0.335
205,0.23,0.24,0.335
206,0.23,0.255,0.33
207,0.235,0.235,0.335
208,0.23,0.235,0.34
209,0.235,0.24,0.335
210,0.23,0.24,0.335
211,0.245,0.24,0.335
212,0.225,0.255,0.33
213,0.23,0.245,0.33
214,0.235,0.245,0.335
215,0.235,0.235,0.335
216,0.24,0.245,0.335
217,0.225,0.24,0.335
218,0.235,0.245,0.33
219,0.235,0.245,0.33
220,0.235,0.24,0.335
221,0.245,0.25,0.33
222,0.23,0.235,0.33
223,0.225,0.235,0.33
224,0.235,0.24,0.335
225,0.225,0.235,0.33
226,0.235,0.245,0.335
227,0.24,0.265,0.335
228,0.26,0.23,0.335
229,0.235,0.23,0.335
230,0.23,0.25,0.335
231,0.23,0.24,0.335
232,0.23,0.245,0.33
233,0.23,0.235,0.335
234,0.235,0.225,0.335
235,0.235,0.235,0.335
236,0.24,0.24,0.335
237,0.255,0.24,0.335
238,0.24,0.24,0.335
239,0.23,0.245,0.335
240,0.235,0.26,0.345
241,0.245,0.24,0.33
242,0.23,0.255,0.335
243,0.225,0.23,0.335
244,0.245,0.24,0.335
245,0.24,0.25,0.335
246,0.23,0.24,0.33
247,0.23,0.24,0.335
248,0.235,0.24,0.335
249,0.245,0.25,0.335
250,0.24,0.24,0.34
251,0.235,0.245,0.345
252,0.23,0.245,0.335
253,0.23,0.24,0.34
254,0.24,0.235,0.335
255,0.25,0.245,0.335
256,0.24,0.24,0.33
257,0.23,0.235,0.335
258,0.245,0.235,0.335
259,0.225,0.245,0.345
260,0.235,0.235,0.335
261,0.25,0.24,0.36
262,0.235,0.25,0.335
263,0.24,0.245,0.335
264,0.235,0.24,0.34
265,0.24,0.25,0.33
266,0.23,0.245,0.33
267,0.225,0.25,0.335
268,0.23,0.24,0.335
269,0.23,0.235,0.34
270,0.245,0.245,0.335
271,0.23,0.245,0.335
272,0.24,0.24,0.335
273,0.25,0.23,0.335
274,0.23,0.24,0.335
275,0.225,0.24,0.33
276,0.24,0.24,0.335
277,0.245,0.24,0.34
278,0.225,0.24,0.335
279,0.23,0.245,0.33
280,0.23,0.24,0.345
281,0.235,0.23,0.335
282,0.23,0.235,0.335
283,0.23,0.24,0.33
284,0.245,0.24,0.335
285,0.23,0.24,0.33
286,0.22,0.235,0.335
287,0.23,0.25,0.335
288,0.235,0.24,0.335
289,0.225,0.23,0.335
290,0.23,0.23,0.335
291,0.24,0.24,0.34
292,0.245,0.245,0.335
293,0.24,0.25,0.335
294,0.23,0.235,0.33
295,0.23,0.235,0.335
296,0.235,0.235,0.335
297,0.22,0.23,0.34
298,0.245,0.24,0.33
299,0.24,0.255,0.33
300,0.23,0.235,0.33
301,0.23,0.23,0.335
302,0.23,0.245,0.335
303,0.23,0.245,0.33
304,0.245,0.245,0.335
305,0.23,0.24,0.33
306,0.24,0.23,0.335
307,0.245,0.24,0.335
308,0.225,0.24,0.33
309,0.22,0.24,0.34
310,0.23,0.235,0.335
311,0.23,0.245,0.335
312,0.23,0.24,0.34
313,0.23,0.24,0.335
314,0.225,0.24,0.335
315,0.23,0.235,0.335
316,0.245,0.25,0.335
317,0.235,0.245,0.335
318,0.23,0.24,0.33
319,0.25,0.245,0.335
320,0.225,0.25,0.33
321,0.275,0.245,0.335
322,0.23,0.25,0.335
323,0.245,0.245,0.345
324,0.24,0.23,0.335
325,0.25,0.245,0.335
326,0.245,0.24,0.335
327,0.23,0.24,0.335
328,0.23,0.25,0.33
329,0.245,0.235,0.33
330,0.24,0.23,0.335
331,0.23,0.245,0.335
332,0.22,0.235,0.33
333,0.23,0.24,0.335
334,0.23,0.235,0.335
335,0.22,0.235,0.335
336,0.23,0.23,0.335
337,0.24,0.245,0.33
338,0.23,0.245,0.335
339,0.235,0.225,0.335
340,0.26,0.24,0.335
341,0.23,0.245,0.335
342,0.23,0.245,0.335
343,0.235,0.24,0.335
344,0.235,0.25,0.335
345,0.245,0.24,0.335
346,0.25,0.24,0.335
347,0.24,0.25,0.335
348,0.24,0.25,0.335
349,0.23,0.24,0.335
350,0.23,0.235,0.335
351,0.23,0.24,0.335
352,0.24,0.245,0.345
353,0.23,0.225,0.335
354,0.23,0.245,0.34
355,0.23,0.24,0.335
356,0.235,0.23,0.335
357,0.24,0.245,0.335
358,0.23,0.245,0.335
359,0.235,0.245,0.335
360,0.235,0.23,0.33
361,0.24,0.24,0.335
362,0.22,0.245,0.33
363,0.24,0.245,0.335
364,0.24,0.245,0.33
365,0.23,0.23,0.335
366,0.24,0.235,0.33
367,0.23,0.245,0.335
368,0.235,0.245,0.33
369,0.23,0.24,0.335
370,0.235,0.25,0.33
371,0.245,0.245,0.335
372,0.235,0.245,0.335
373,0.235,0.24,0.335
374,0.22,0.245,0.33
375,0.23,0.235,0.335
376,0.23,0.25,0.335
377,0.235,0.245,0.335
378,0.225,0.25,0.34
379,0.22,0.245,0.33
380,0.235,0.23,0.335
381,0.23,0.245,0.335
382,0.225,0.245,0.34
383,0.23,0.24,0.345
384,0.225,0.25,0.335
385,0.225,0.24,0.33
386,0.23,0.235,0.335
387,0.23,0.245,0.335
388,0.245,0.245,0.335
389,0.23,0.23,0.33
390,0.23,0.25,0.34
391,0.245,0.23,0.335
392,0.25,0.23,0.335
393,0.24,0.24,0.335
394,0.235,0.25,0.34
395,0.23,0.245,0.335
396,0.24,0.25,0.335
397,0.23,0.245,0.335
398,0.23,0.245,0.335
399,0.23,0.24,0.335
400,0.23,0.25,0.33
401,0.235,0.23,0.34
402,0.225,0.255,0.335
403,0.235,0.24,0.335
404,0.235,0.24,0.335
405,0.225,0.24,0.33
406,0.245,0.245,0.335
407,0.225,0.25,0.33
408,0.23,0.24,0.335
409,0.235,0.24,0.33
410,0.235,0.235,0.335
411,0.245,0.235,0.335
412,0.225,0.235,0.335
413,0.235,0.235,0.33
414,0.22,0.24,0.335
415,0.235,0.24,0.335
416,0.245,0.24,0.335
417,0.24,0.245,0.335
418,0.24,0.25,0.34
419,0.22,0.245,0.33
420,0.235,0.245,0.335
421,0.235,0.23,0.33
422,0.23,0.23,0.33
423,0.24,0.235,0.335
424,0.23,0.245,0.335
425,0.23,0.235,0.335
426,0.23,0.245,0.33
427,0.245,0.24,0.33
428,0.235,0.24,0.335
429,0.23,0.23,0.335
430,0.23,0.235,0.33
431,0.23,0.24,0.335
432,0.24,0.245,0.33
433,0.23,0.25,0.335
434,0.24,0.24,0.33
435,0.225,0.245,0.33
436,0.245,0.235,0.33
437,0.23,0.24,0.33
438,0.235,0.24,0.335
439,0.23,0.235,0.335
440,0.245,0.245,0.33
441,0.23,0.235,0.335
442,0.235,0.25,0.33
443,0.235,0.245,0.335
444,0.245,0.25,0.335
445,0.23,0.24,0.335
446,0.225,0.225,0.335
447,0.235,0.245,0.34
448,0.23,0.235,0.335
449,0.235,0.245,0.335
450,0.225,0.24,0.335
451,0.23,0.25,0.335
452,0.235,0.24,0.335
453,0.23,0.24,0.335
454,0.23,0.23,0.335
455,0.245,0.245,0.335
456,0.23,0.24,0.335
457,0.235,0.255,0.33
458,0.25,0.24,0.335
459,0.23,0.235,0.34
460,0.23,0.24,0.335
461,0.235,0.24,0.345
462,0.245,0.24,0.33
463,0.23,0.25,0.33
464,0.25,0.245,0.335
465,0.245,0.24,0.335
466,0.245,0.25,0.33
467,0.215,0.24,0.335
468,0.23,0.24,0.335
469,0.23,0.24,0.33
470,0.24,0.245,0.335
471,0.235,0.245,0.335
472,0.23,0.24,0.33
473,0.225,0.24,0.335
474,0.23,0.235,0.33
475,0.24,0.235,0.34
476,0.23,0.235,0.335
477,0.23,0.24,0.335
478,0.225,0.25,0.33
479,0.22,0.23,0.335
480,0.235,0.235,0.335
481,0.24,0.24,0.335
482,0.225,0.23,0.33
483,0.24,0.24,0.33
484,0.225,0.24,0.335
485,0.23,0.26,0.335
486,0.23,0.245,0.34
487,0.23,0.235,0.33
488,0.24,0.235,0.33
489,0.23,0.245,0.335
490,0.24,0.24,0.335
491,0.235,0.25,0.33
492,0.24,0.24,0.335
493,0.23,0.23,0.335
494,0.225,0.25,0.335
495,0.235,0.245,0.335
496,0.23,0.24,0.33
497,0.23,0.245,0.335
498,0.22,0.235,0.335
499,0.225,0.24,0.335
500,0.23,0.26,0.33
501,0.24,0.25,0.33
502,0.23,0.245,0.33
503,0.23,0.25,0.33
504,0.245,0.245,0.335
505,0.225,0.23,0.335
506,0.23,0.235,0.335
507,0.225,0.245,0.335
508,0.235,0.24,0.335
509,0.23,0.245,0.335
510,0.235,0.26,0.335
511,0.23,0.24,0.335
512,0.245,0.235,0.335
513,0.25,0.245,0.335
514,0.23,0.24,0.345
515,0.24,0.25,0.335
516,0.23,0.24,0.335
517,0.24,0.245,0.33
518,0.25,0.25,0.33
519,0.23,0.24,0.335
520,0.23,0.25,0.335
521,0.24,0.24,0.33
522,0.23,0.235,0.34
523,0.24,0.25,0.335
524,0.24,0.245,0.335
525,0.24,0.24,0.33
526,0.23,0.24,0.335
527,0.245,0.225,0.33
528,0.265,0.235,0.345
529,0.22,0.24,0.335
530,0.245,0.235,0.33
531,0.245,0.24,0.335
532,0.23,0.24,0.33
533,0.235,0.235,0.335
534,0.24,0.245,0.335
535,0.235,0.24,0.34
536,0.225,0.255,0.335
537,0.235,0.24,0.335
538,0.235,0.235,0.335
539,0.23,0.24,0.33
540,0.235,0.24,0.34
541,0.23,0.24,0.33
542,0.23,0.235,0.335
543,0.245,0.245,0.335
544,0.23,0.25,0.33
545,0.235,0.25,0.33
546,0.23,0.24,0.335
547,0.23,0.24,0.335
548,0.23,0.255,0.33
549,0.23,0.24,0.335
550,0.225,0.235,0.33
551,0.24,0.245,0.335
552,0.225,0.23,0.335
553,0.23,0.24,0.33
554,0.23,0.24,0.335
555,0.23,0.255,0.33
556,0.24,0.24,0.34
557,0.225,0.24,0.335
558,0.23,0.25,0.335
559,0.245,0.24,0.33
560,0.23,0.24,0.345
561,0.25,0.25,0.335
562,0.235,0.255,0.34
563,0.23,0.245,0.33
564,0.245,0.245,0.335
565,0.245,0.235,0.335
566,0.23,0.25,0.33
567,0.235,0.24,0.335
568,0.245,0.255,0.34
569,0.235,0.245,0.335
570,0.225,0.23,0.33
571,0.23,0.24,0.335
572,0.23,0.235,0.335
573,0.24,0.245,0.335
574,0.235,0.26,0.335
575,0.23,0.245,0.335
576,0.23,0.23,0.335
577,0.23,0.25,0.335
578,0.235,0.235,0.33
579,0.235,0.23,0.335
580,0.25,0.23,0.34
581,0.255,0.24,0.335
582,0.23,0.23,0.33
583,0.24,0.24,0.335
584,0.25,0.245,0.33
585,0.23,0.25,0.335
586,0.23,0.24,0.335
587,0.24,0.245,0.34
588,0.23,0.235,0.335
589,0.23,0.245,0.33
590,0.25,0.25,0.335
591,0.23,0.24,0.33
592,0.23,0.23,0.34
593,0.235,0.245,0.335
594,0.24,0.245,0.335
595,0.225,0.245,0.33
596,0.23,0.255,0.33
597,0.23,0.24,0.335
598,0.23,0.25,0.33
599,0.24,0.245,0.335
600,0.225,0.24,0.335
601,0.235,0.235,0.335
602,0.245,0.245,0.34
603,0.23,0.245,0.335
604,0.23,0.24,0.33
605,0.24,0.24,0.335
606,0.225,0.24,0.34
607,0.23,0.24,0.335
608,0.23,0.245,0.345
609,0.225,0.245,0.335
610,0.225,0.24,0.33
611,0.245,0.23,0.335
612,0.23,0.25,0.335
613,0.225,0.245,0.335
614,0.23,0.245,0.335
615,0.24,0.245,0.335
616,0.235,0.24,0.33
617,0.24,0.23,0.335
618,0.24,0.24,0.335
619,0.225,0.245,0.335
620,0.23,0.245,0.335
621,0.23,0.255,0.335
622,0.24,0.245,0.335
623,0.23,0.245,0.33
624,0.24,0.24,0.335
625,0.24,0.245,0.335
626,0.235,0.245,0.335
627,0.245,0.245,0.335
628,0.245,0.235,0.34
629,0.23,0.24,0.335
630,0.24,0.26,0.335
631,0.24,0.23,0.335
632,0.25,0.235,0.335
633,0.225,0.24,0.33
634,0.245,0.245,0.34
635,0.23,0.25,0.335
636,0.24,0.25,0.335
637,0.245,0.23,0.335
638,0.22,0.25,0.335
639,0.24,0.24,0.335
640,0.23,0.245,0.335
641,0.245,0.24,0.335
642,0.245,0.245,0.335
643,0.245,0.24,0.335
644,0.245,0.245,0.33
645,0.23,0.23,0.335
646,0.255,0.24,0.335
647,0.245,0.24,0.335
648,0.23,0.24,0.34
649,0.225,0.23,0.335
650,0.225,0.24,0.335
651,0.235,0.245,0.335
652,0.25,0.24,0.33
653,0.27,0.25,0.335
654,0.235,0.245,0.335
655,0.235,0.24,0.345
656,0.235,0.24,0.335
657,0.23,0.245,0.34
658,0.24,0.235,0.33
659,0.245,0.235,0.335
660,0.24,0.225,0.335
661,0.23,0.245,0.34
662,0.245,0.245,0.335
663,0.235,0.24,0.335
664,0.245,0.245,0.33
665,0.24,0.235,0.33
666,0.235,0.245,0.335
667,0.22,0.25,0.335
668,0.235,0.235,0.335
669,0.22,0.245,0.335
670,0.235,0.25,0.33
671,0.22,0.245,0.335
672,0.235,0.235,0.335
673,0.245,0.235,0.335
674,0.225,0.235,0.335
675,0.245,0.25,0.335
676,0.24,0.255,0.33
677,0.23,0.23,0.335
678,0.225,0.245,0.335
679,0.23,0.235,0.33
680,0.23,0.245,0.335
681,0.25,0.235,0.335
682,0.26,0.235,0.33
683,0.25,0.235,0.33
684,0.23,0.245,0.335
685,0.225,0.25,0.33
686,0.23,0.235,0.33
687,0.245,0.24,0.335
688,0.24,0.24,0.335
689,0.24,0.245,0.33
690,0.24,0.24,0.335
691,0.245,0.24,0.33
692,0.24,0.225,0.335
693,0.24,0.24,0.335
694,0.29,0.235,0.345
695,0.225,0.24,0.34
696,0.25,0.24,0.34
697,0.23,0.245,0.345
698,0.23,0.25,0.33
699,0.235,0.245,0.335
700,0.225,0.23,0.34
701,0.23,0.24,0.34
702,0.23,0.24,0.33
703,0.25,0.245,0.335
704,0.23,0.225,0.335
705,0.24,0.235,0.335
706,0.235,0.25,0.33
707,0.26,0.24,0.34
708,0.235,0.25,0.335
709,0.235,0.255,0.335
710,0.245,0.24,0.34
711,0.225,0.24,0.335
712,0.225,0.25,0.335
713,0.23,0.24,0.335
714,0.235,0.235,0.335
715,0.235,0.24,0.335
716,0.25,0.23,0.335
717,0.23,0.255,0.335
718,0.23,0.24,0.335
719,0.245,0.235,0.335
720,0.24,0.25,0.335
721,0.23,0.24,0.33
722,0.225,0.235,0.335
723,0.23,0.24,0.335
724,0.23,0.24,0.335
725,0.24,0.235,0.335
726,0.245,0.245,0.335
727,0.245,0.235,0.335
728,0.225,0.245,0.335
729,0.23,0.245,0.335
730,0.23,0.24,0.335
731,0.24,0.245,0.335
732,0.225,0.245,0.335
733,0.23,0.24,0.34
734,0.235,0.255,0.335
735,0.24,0.24,0.33
736,0.22,0.24,0.335
737,0.245,0.24,0.335
738,0.255,0.235,0.33
739,0.245,0.255,0.33
740,0.24,0.235,0.335
741,0.27,0.24,0.33
742,0.24,0.255,0.335
743,0.23,0.25,0.335
744,0.245,0.225,0.335
745,0.235,0.235,0.34
746,0.235,0.245,0.335
747,0.245,0.24,0.34
748,0.24,0.24,0.335
749,0.235,0.24,0.335
750,0.245,0.24,0.335
751,0.23,0.245,0.33
752,0.23,0.245,0.345
753,0.23,0.24,0.33
754,0.25,0.24,0.33
755,0.275,0.24,0.335
756,0.23,0.24,0.335
757,0.27,0.23,0.335
758,0.245,0.245,0.335
759,0.235,0.25,0.335
760,0.23,0.245,0.335
761,0.225,0.245,0.335
762,0.235,0.25,0.335
763,0.24,0.24,0.335
764,0.235,0.235,0.335
765,0.245,0.245,0.33
766,0.245,0.24,0.335
767,0.235,0.24,0.335
768,0.225,0.235,0.34
769,0.23,0.245,0.335
770,0.23,0.235,0.335
771,0.225,0.235,0.335
772,0.245,0.24,0.335
773,0.24,0.245,0.335
774,0.25,0.245,0.335
775,0.23,0.245,0.335
776,0.24,0.265,0.33
777,0.23,0.25,0.335
778,0.23,0.245,0.33
779,0.24,0.245,0.335
780,0.245,0.25,0.335
781,0.23,0.23,0.33
782,0.23,0.245,0.335
783,0.295,0.24,0.335
784,0.23,0.235,0.33
785,0.245,0.235,0.33
786,0.225,0.235,0.335
787,0.24,0.245,0.335
788,0.245,0.245,0.335
789,0.23,0.235,0.335
790,0.23,0.24,0.335
791,0.23,0.245,0.335
792,0.24,0.245,0.335
793,0.23,0.23,0.33
794,0.23,0.245,0.335
795,0.24,0.245,0.335
796,0.23,0.24,0.33
797,0.23,0.245,0.335
798,0.23,0.235,0.335
799,0.26,0.23,0.335
800,0.235,0.245,0.335
801,0.23,0.245,0.33
802,0.23,0.25,0.335
803,0.23,0.235,0.335
804,0.24,0.25,0.345
805,0.23,0.245,0.335
806,0.245,0.245,0.33
807,0.255,0.24,0.335
808,0.23,0.24,0.335
809,0.24,0.235,0.335
810,0.22,0.24,0.33
811,0.225,0.25,0.335
812,0.245,0.235,0.33
813,0.23,0.245,0.335
814,0.225,0.25,0.33
815,0.25,0.245,0.335
816,0.245,0.23,0.335
817,0.225,0.275,0.335
818,0.235,0.245,0.33
819,0.235,0.24,0.33
820,0.23,0.245,0.335
821,0.235,0.235,0.335
822,0.23,0.235,0.34
823,0.225,0.245,0.33
824,0.22,0.24,0.335
825,0.225,0.245,0.335
826,0.24,0.24,0.335
827,0.225,0.24,0.335
828,0.23,0.235,0.335
829,0.24,0.25,0.335
830,0.225,0.245,0.335
831,0.23,0.235,0.335
832,0.23,0.245,0.335
833,0.23,0.245,0.33
834,0.23,0.245,0.335
835,0.24,0.23,0.33
836,0.23,0.245,0.335
837,0.245,0.24,0.335
838,0.25,0.25,0.33
839,0.285,0.24,0.33
840,0.245,0.23,0.335
841,0.23,0.245,0.335
842,0.225,0.23,0.335
843,0.225,0.24,0.335
844,0.23,0.245,0.335
845,0.23,0.245,0.33
846,0.245,0.24,0.335
847,0.225,0.245,0.335
848,0.22,0.235,0.335
849,0.235,0.245,0.335
850,0.245,0.25,0.335
851,0.245,0.23,0.335
852,0.245,0.24,0.335
853,0.235,0.24,0.335
854,0.245,0.24,0.33
855,0.22,0.24,0.335
856,0.22,0.25,0.335
857,0.245,0.23,0.335
858,0.25,0.25,0.335
859,0.235,0.24,0.335
860,0.225,0.25,0.335
861,0.255,0.255,0.335
862,0.22,0.245,0.33
863,0.24,0.245,0.335
864,0.255,0.245,0.335
865,0.24,0.245,0.335
866,0.23,0.24,0.33
867,0.23,0.235,0.335
868,0.24,0.235,0.335
869,0.24,0.245,0.33
870,0.24,0.24,0.335
871,0.245,0.235,0.33
872,0.23,0.24,0.335
873,0.24,0.235,0.335
874,0.23,0.24,0.335
875,0.225,0.245,0.335
876,0.23,0.235,0.335
877,0.23,0.245,0.335
878,0.235,0.245,0.335
879,0.24,0.275,0.34
880,0.235,0.245,0.335
881,0.235,0.235,0.335
882,0.225,0.24,0.33
883,0.23,0.24,0.335
884,0.245,0.245,0.335
885,0.22,0.245,0.335
886,0.23,0.245,0.335
887,0.23,0.24,0.335
888,0.23,0.24,0.335
889,0.225,0.23,0.335
890,0.23,0.24,0.335
891,0.23,0.225,0.33
892,0.24,0.23,0.335
893,0.24,0.245,0.335
894,0.22,0.245,0.33
895,0.23,0.245,0.335
896,0.23,0.25,0.335
897,0.24,0.24,0.335
898,0.23,0.235,0.335
899,0.235,0.23,0.335
900,0.235,0.235,0.335
901,0.23,0.235,0.335
902,0.24,0.245,0.335
903,0.245,0.235,0.335
904,0.235,0.23,0.34
905,0.245,0.24,0.33
906,0.225,0.25,0.34
907,0.24,0.24,0.335
908,0.24,0.235,0.335
909,0.235,0.235,0.335
910,0.24,0.235,0.335
911,0.225,0.245,0.335
912,0.235,0.24,0.33
913,0.23,0.24,0.33
914,0.225,0.25,0.335
915,0.225,0.245,0.33
916,0.23,0.26,0.33
917,0.245,0.25,0.335
918,0.23,0.245,0.33
919,0.225,0.245,0.335
920,0.23,0.225,0.34
921,0.24,0.255,0.335
922,0.23,0.24,0.335
923,0.235,0.255,0.33
924,0.26,0.26,0.335
925,0.235,0.24,0.335
926,0.245,0.25,0.33
927,0.225,0.24,0.335
928,0.23,0.245,0.34
929,0.245,0.235,0.335
930,0.23,0.235,0.335
931,0.23,0.24,0.335
932,0.245,0.245,0.34
933,0.245,0.24,0.335
934,0.23,0.25,0.335
935,0.225,0.23,0.335
936,0.23,0.25,0.33
937,0.23,0.24,0.335
938,0.23,0.24,0.335
939,0.24,0.24,0.34
940,0.25,0.25,0.335
941,0.24,0.235,0.335
942,0.24,0.245,0.33
943,0.23,0.245,0.335
944,0.23,0.245,0.33
945,0.23,0.23,0.335
946,0.23,0.23,0.335
947,0.23,0.25,0.33
948,0.23,0.235,0.33
949,0.225,0.245,0.33
950,0.235,0.245,0.335
951,0.23,0.245,0.33
952,0.23,0.245,0.335
953,0.235,0.245,0.34
954,0.24,0.24,0.335
955,0.235,0.235,0.335
956,0.235,0.25,0.335
957,0.245,0.235,0.33
958,0.235,0.245,0.335
959,0.23,0.24,0.335
960,0.23,0.25,0.335
961,0.245,0.245,0.33
962,0.23,0.24,0.335
963,0.235,0.25,0.335
964,0.24,0.245,0.335
965,0.23,0.235,0.33
966,0.23,0.24,0.33
967,0.225,0.245,0.33
968,0.245,0.25,0.335
969,0.235,0.25,0.335
970,0.225,0.25,0.33
971,0.24,0.265,0.335
972,0.23,0.245,0.335
973,0.245,0.245,0.335
974,0.23,0.24,0.35
975,0.225,0.245,0.335
976,0.24,0.24,0.335
977,0.245,0.24,0.335
978,0.23,0.245,0.335
979,0.235,0.245,0.335
980,0.245,0.235,0.33
981,0.235,0.235,0.335
982,0.225,0.235,0.335
983,0.23,0.265,0.335
984,0.23,0.23,0.335
985,0.235,0.24,0.34
986,0.23,0.245,0.335
987,0.235,0.245,0.33
988,0.23,0.235,0.335
989,0.24,0.24,0.33
990,0.23,0.24,0.33
991,0.22,0.24,0.335
992,0.26,0.24,0.335
993,0.245,0.24,0.335
994,0.225,0.26,0.335
995,0.24,0.245,0.33
996,0.23,0.245,0.335
997,0.235,0.24,0.335
