V,I01,I02,I04
0.38,0.0,0.0,0.0
0.375,0.0,0.0,0.0
0.37,0.0,0.0,0.0
0.365,0.0,0.0,0.0
0.36,0.0,0.0,0.0
0.355,0.0,0.0001220703125,0.0
0.35,0.0,0.0001220703125,0.0
0.345,0.0,0.0001220703125,0.0001220703125
0.34,0.0001220703125,0.0001220703125,0.0003662109375
0.335,0.000244140625,0.0001220703125,0.0003662109375
0.33,0.0003662109375,0.0001220703125,0.0003662109375
0.325,0.000732421875,0.0001220703125,0.00048828125
0.32,0.0010986328125,0.0001220703125,0.0006103515625
0.315,0.00439453125,0.000244140625,0.0006103515625
0.31,0.02734375,0.00048828125,0.0008544921875
0.305,0.1824951171875,0.0006103515625,0.0013427734375
0.3,0.9888916015625,0.0008544921875,0.001708984375
0.295,1.0,0.001220703125,0.0018310546875
0.29,1.0,0.0018310546875,0.0020751953125
0.285,1.0,0.00244140625,0.0029296875
0.28,0.9998779296875,0.0040283203125,0.00439453125
0.275,1.0,0.0059814453125,0.00732421875
0.27,0.9998779296875,0.009033203125,0.013427734375
0.265,1.0,0.0157470703125,0.02880859375
0.26,1.0,0.03759765625,0.070556640625
0.255,0.9998779296875,0.081787109375,0.1551513671875
0.25,0.9998779296875,0.181396484375,0.293701171875
0.245,1.0,0.344970703125,0.5150146484375
0.24,1.0,0.6014404296875,0.7705078125
0.235,1.0,0.8411865234375,0.9183349609375
0.23,0.9998779296875,0.9561767578125,0.9571533203125
0.225,1.0,0.992919921875,0.9932861328125
0.22,0.9998779296875,0.9993896484375,0.999755859375
0.215,1.0,0.9998779296875,1.0
0.21,1.0,1.0,1.0
