,I01,I02,I04
227,0.305,0.25,0.235
228,0.3,0.24,0.23
229,0.305,0.245,0.24
230,0.3,0.25,0.245
231,0.3,0.25,0.255
232,0.3,0.235,0.24
233,0.305,0.24,0.255
234,0.3,0.255,0.23
235,0.3,0.245,0.235
236,0.3,0.25,0.26
237,0.3,0.235,0.25
238,0.3,0.235,0.25
239,0.305,0.245,0.25
240,0.3,0.24,0.225
241,0.3,0.235,0.265
242,0.305,0.245,0.245
243,0.3,0.24,0.23
244,0.3,0.23,0.255
245,0.3,0.235,0.245
246,0.3,0.245,0.25
247,0.3,0.245,0.245
248,0.3,0.23,0.24
249,0.305,0.24,0.24
250,0.3,0.23,0.24
251,0.3,0.235,0.255
252,0.3,0.23,0.235
253,0.305,0.23,0.245
254,0.3,0.235,0.245
255,0.305,0.23,0.255
256,0.3,0.24,0.25
257,0.3,0.23,0.25
258,0.3,0.23,0.24
259,0.3,0.245,0.25
260,0.3,0.235,0.25
261,0.3,0.235,0.225
262,0.3,0.235,0.245
263,0.3,0.26,0.25
264,0.3,0.24,0.245
265,0.31,0.25,0.24
266,0.3,0.24,0.225
267,0.3,0.25,0.24
268,0.305,0.245,0.245
269,0.305,0.235,0.24
270,0.3,0.235,0.24
271,0.3,0.24,0.24
272,0.3,0.24,0.24
273,0.3,0.245,0.225
274,0.3,0.24,0.245
275,0.3,0.245,0.25
276,0.3,0.24,0.235
277,0.3,0.24,0.25
278,0.3,0.24,0.25
279,0.305,0.25,0.245
280,0.3,0.245,0.25
281,0.3,0.25,0.255
282,0.3,0.25,0.245
283,0.3,0.235,0.245
284,0.3,0.245,0.235
285,0.3,0.245,0.24
286,0.3,0.24,0.26
287,0.3,0.24,0.235
288,0.3,0.25,0.245
289,0.3,0.24,0.25
290,0.3,0.23,0.24
291,0.3,0.245,0.255
292,0.3,0.24,0.26
293,0.3,0.25,0.26
294,0.3,0.235,0.25
295,0.3,0.24,0.24
296,0.305,0.25,0.235
297,0.305,0.24,0.245
298,0.3,0.23,0.23
299,0.3,0.23,0.24
300,0.3,0.24,0.235
301,0.3,0.225,0.235
302,0.3,0.245,0.245
303,0.3,0.235,0.235
304,0.3,0.24,0.25
305,0.3,0.25,0.24
306,0.3,0.27,0.24
307,0.3,0.235,0.245
308,0.3,0.24,0.23
309,0.3,0.245,0.225
310,0.31,0.25,0.245
311,0.3,0.24,0.25
312,0.3,0.235,0.245
313,0.3,0.235,0.25
314,0.3,0.245,0.235
315,0.3,0.23,0.24
316,0.3,0.235,0.26
317,0.3,0.235,0.245
318,0.3,0.235,0.24
319,0.3,0.235,0.305
320,0.3,0.24,0.24
321,0.3,0.24,0.23
322,0.3,0.23,0.25
323,0.3,0.245,0.27
324,0.3,0.24,0.265
325,0.3,0.235,0.25
326,0.3,0.23,0.225
327,0.3,0.25,0.28
328,0.3,0.235,0.245
329,0.3,0.255,0.24
330,0.3,0.24,0.235
331,0.3,0.24,0.245
332,0.3,0.24,0.225
333,0.3,0.255,0.245
334,0.3,0.24,0.235
335,0.3,0.23,0.23
336,0.3,0.235,0.235
337,0.3,0.255,0.24
338,0.3,0.245,0.255
339,0.3,0.24,0.25
340,0.3,0.24,0.245
341,0.305,0.26,0.245
342,0.3,0.235,0.235
343,0.305,0.245,0.24
344,0.3,0.22,0.245
345,0.3,0.24,0.235
346,0.3,0.235,0.26
347,0.3,0.255,0.235
348,0.3,0.245,0.235
349,0.31,0.24,0.245
350,0.3,0.225,0.26
351,0.3,0.235,0.25
352,0.3,0.25,0.235
353,0.3,0.235,0.245
354,0.3,0.235,0.25
355,0.3,0.25,0.255
356,0.3,0.245,0.25
357,0.3,0.24,0.24
358,0.3,0.23,0.235
359,0.3,0.235,0.235
360,0.3,0.235,0.245
361,0.3,0.24,0.24
362,0.31,0.235,0.25
363,0.3,0.235,0.235
364,0.305,0.235,0.245
365,0.305,0.24,0.235
366,0.3,0.235,0.235
367,0.3,0.235,0.225
368,0.3,0.24,0.24
369,0.3,0.235,0.24
370,0.295,0.235,0.24
371,0.3,0.26,0.245
372,0.3,0.22,0.25
373,0.3,0.25,0.24
374,0.3,0.255,0.245
375,0.3,0.24,0.235
376,0.295,0.23,0.235
377,0.305,0.235,0.235
378,0.3,0.235,0.245
379,0.3,0.225,0.25
380,0.3,0.245,0.24
381,0.3,0.24,0.25
382,0.3,0.24,0.245
383,0.3,0.245,0.25
384,0.3,0.245,0.24
385,0.3,0.26,0.23
386,0.3,0.235,0.245
387,0.3,0.235,0.245
388,0.3,0.225,0.24
389,0.3,0.24,0.245
390,0.3,0.245,0.25
391,0.3,0.25,0.24
392,0.3,0.23,0.24
393,0.3,0.235,0.23
394,0.3,0.25,0.25
395,0.3,0.245,0.245
396,0.3,0.25,0.245
397,0.3,0.255,0.25
398,0.3,0.245,0.235
399,0.295,0.235,0.24
400,0.3,0.23,0.235
401,0.3,0.255,0.24
402,0.3,0.245,0.245
403,0.3,0.22,0.26
404,0.3,0.24,0.24
405,0.3,0.255,0.255
406,0.3,0.24,0.24
407,0.3,0.245,0.24
408,0.3,0.235,0.235
409,0.3,0.24,0.245
410,0.3,0.235,0.235
411,0.3,0.235,0.235
412,0.3,0.235,0.225
413,0.3,0.235,0.245
414,0.3,0.245,0.245
415,0.3,0.24,0.24
416,0.3,0.225,0.24
417,0.3,0.23,0.235
