Date(y-m-d),Time(H:M:S),A,B,C,D,E
2021-10-06,14:12:02,1,5.25,True,,1000
2021-10-06,14:19:45,1,5.25,True,,1000
2021-10-06,14:39:49,1,5.25,True,,1000
2021-10-28,12:38:57,HOLD,3.3,3.3,3.3,3.3,1,1,1,1,10.521275997161865,0.5,1.0,1.5,2.0,,,,,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,
2021-10-28,12:38:57,SCAN,3.3,3.3,3.3,3.3,1,1,1,1,,,,,,85,85,85,85,1,1,1,1,1,1,1,1,1,1,1,0,1038,824,694,422,526,512,426,427,397,399,348,346,292,203,219,nan,
2021-10-28,12:39:22,STATUS,3.3,3.3,3.3,3.3,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,
2021-10-28,12:39:22,FILL,3.3,3.3,3.3,3.3,1,1,1,1,,,,,,85,85,85,85,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,
2021-10-28,12:39:24,HOLD,3.3,3.3,3.3,3.3,1,1,1,1,0.5431821346282959,0.5,1.0,1.5,2.0,,,,,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,
2021-10-28,12:39:24,SCAN,3.3,3.3,3.3,3.3,1,1,1,1,,,,,,85,85,85,85,1,1,1,1,1,1,1,1,1,1,1,0,930,751,649,476,468,462,557,405,346,389,342,307,278,231,245,nan,
2021-10-28,12:42:30,STATUS,3.3,3.3,3.3,3.3,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,
2021-10-28,12:42:30,FILL,3.3,3.3,3.3,3.3,1,1,1,1,,,,,,85,85,85,85,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,
2021-10-28,12:42:32,HOLD,3.3,3.3,3.3,3.3,1,1,1,1,0.6286029815673828,0.5,1.0,1.5,2.0,,,,,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,
2021-10-28,12:42:32,SCAN,3.3,3.3,3.3,3.3,1,1,1,1,,,,,,85,85,85,85,1,1,1,1,1,1,1,1,1,1,1,0,1068,781,655,470,513,555,434,386,395,410,301,354,336,232,238,nan,
