#,Ion,LET (entrance),DUTs,File,Distance (cm),Time (s),VDD (V),Fluence (cm^-2),Avg I (mA?),Peak I (mA?),A1 SEUs,A2 SEUs,A3 SEUs,,,C1 SEUs,C2 SEUs,C3 SEUs,Dose (rad),TID (krad),SEU XS (1),SEU XS (2)
36,O,1.54,"I01, I02, I03",data/sram/seu/I_O.csv,1,300,0.6,2.30E+07,1.2,1.2,21826,23105,23621,,,,,,567.43,7.89,9.94E-04,
37,O,1.54,"I01, I02, I03",data/sram/seu/I_O.csv,1,300,0.9,2.30E+07,12,12,16767,17801,18218,,,,,,567.43,8.46,7.65E-04,
38,O,1.54,"I01, I02, I03",data/sram/seu/I_O.csv,1,300,1.2,2.29E+07,49,49,74621,83662,53061,,,,,,564.96,9.02,3.08E-03,
39,O,1.54,"I01, I02, I03",data/sram/seu/I_O.csv,1,25,1.5,1.86E+06,,1098,Suspected latchup,,,,,,,,,,#DIV/0!,
40,O,1.54,"I01, I02, I03",data/sram/seu/I_O.csv,1,180,1.5,1.38E+07,104,104,5604,5963,6035,,,,,,340.46,9.36,4.25E-04,
41,O,1.54,"I01, I02, I03",data/sram/seu/I_O.csv,1,161,1.8,1.23E+07,170,1785,Suspected latchup,,,,,,,,,,#DIV/0!,
42,O,1.54,"I01, I02, I03",data/sram/seu/I_O.csv,1,153,1.8,1.16E+07,170,1800,Suspected latchup,,,,,,,,,,#DIV/0!,
43,O,1.54,"I01, I02, I03",data/sram/seu/I_O.csv,1,180,1.2,1.38E+07,48,48,8291,8755,9009,,,,,,340.46,9.70,6.29E-04,
44,Ne,2.39,"I01, I02, I03",data/sram/seu/I_Ne.csv,1,120,0.6,6.12E+06,1.2,1.2,8424,8886,8867,,,,,,234.32,9.94,1.43E-03,
45,Ne,2.39,"I01, I02, I03",data/sram/seu/I_Ne.csv,1,120,0.9,6.09E+06,12,12,6323,6511,6692,,,,,,233.17,10.17,1.07E-03,
46,Ne,2.39,"I01, I02, I03",data/sram/seu/I_Ne.csv,1,120,1.2,6.08E+06,48,48,5149,5486,5511,,,,,,232.79,10.40,8.85E-04,
47,Ne,2.39,"I01, I02, I03",data/sram/seu/I_Ne.csv,1,120,1.5,6.06E+06,104,104,4552,4689,4811,,,,,,232.02,10.64,7.73E-04,
48,Si,4.56,"I01, I02, I03",data/sram/seu/I_Si.csv,1,100,0.6,3.71E+06,1.2,1.2,7668,8769,9920,,,,,,271.02,10.91,2.37E-03,
49,Si,4.56,"I01, I02, I03",data/sram/seu/I_Si.csv,1,100,0.9,3.62E+06,12,12,6636,7633,8316,,,,,,264.45,11.17,2.08E-03,
50,Si,4.56,"I01, I02, I03",data/sram/seu/I_Si.csv,1,100,1.2,3.77E+06,48,48,4971,5830,6510,,,,,,275.40,11.45,1.53E-03,
51,Si,4.56,"I01, I02, I03",data/sram/seu/I_Si.csv,1,100,1.5,3.65E+06,104,104,6940,6051,6959,,,,,,266.64,11.71,1.82E-03,
52,Si,4.56,"I01, I02, I03",data/sram/seu/I_Si.csv,1,100,1.5,3.71E+06,104,104,8215,7312,6921,,,,,,271.02,11.98,2.02E-03,
53,Si,4.56,"I01, I02, I03",data/sram/seu/I_Si.csv,1,100,1.5,2.29E+06,104,104,4795,4139,4156,,,,,,167.29,12.15,1.91E-03,
54,Cl,6.61,"I01, I02, I03",data/sram/seu/I_Cl.csv,1,100,0.6,2.21E+06,1.2,1.2,8221,7636,7397,,,,,,234.02,12.39,3.51E-03,
55,Cl,6.61,"I01, I02, I03",data/sram/seu/I_Cl.csv,1,120,0.9,3.09E+06,12,12,13702,12974,12702,,,,,,327.21,12.71,4.25E-03,
56,Cl,6.61,"I01, I02, I03",data/sram/seu/I_Cl.csv,1,120,1.2,3.07E+06,48,48,8595,7863,7821,,,,,,325.09,13.04,2.64E-03,
57,Cl,6.61,"I01, I02, I03",data/sram/seu/I_Cl.csv,1,120,1.5,3.06E+06,104,1556,71113*,83345*,47252*,,,Suspected latchup,,,324.03,13.36,#DIV/0!,
58,Cl,6.61,"I01, I02, I03",data/sram/seu/I_Cl.csv,1,60,1.5,1.51E+06,104,104,3950,3550,2968,,,,,,159.90,13.52,2.31E-03,
59,Cl,6.61,"I01, I02, I03",data/sram/seu/I_Cl.csv,1,60,1.5,1.52E+06,104,104,4150,3128,3246,,,,,,160.96,13.68,2.31E-03,
60,Cl,6.61,"I01, I02, I03",data/sram/seu/I_Cl.csv,1,60,0.9,1.55E+06,12,12,7203,6711,6456,,,,,,164.13,13.85,4.38E-03,
61,Kr,24.98,"I01, I02, I03",data/sram/seu/I_Kr.csv,1,30,0.6,5.77E+05,1.2,1.2,9376,9897,9469,,,,,,230.90,14.08,1.66E-02,
62,Kr,24.98,"I01, I02, I03",data/sram/seu/I_Kr.csv,1,30,0.9,6.01E+05,12,12,12972,13531,13873,,,,,,240.51,14.32,2.24E-02,
63,Kr,24.98,"I01, I02, I03",data/sram/seu/I_Kr.csv,1,30,1.2,6.11E+05,48,48,14777,14435,14219,,,,,,244.51,14.56,2.37E-02,
64,Kr,24.98,"I01, I02, I03",data/sram/seu/I_Kr.csv,1,30,1.5,6.51E+05,104,104,71354,69397,69365,,,,,,260.52,14.82,1.08E-01,
65,Kr,24.98,"I01, I02, I03",data/sram/seu/I_Kr.csv,1,30,1.5,6.16E+05,104,104,69579,69268,68221,,,,,,246.51,15.07,1.12E-01,
66,N,1.16,"I01, I02, I03",data/sram/seu/I_N_redux.csv,1,60,0.6,2.33E+06,1.2,1.2,2120,2401,2514,,,,,,43.30,15.11,1.01E-03,
67,N,1.16,"I01, I02, I03",data/sram/seu/I_N_redux.csv,3,60,0.6,2.16E+06,1.2,1.2,1944,2271,2396,,,,,,40.14,15.15,1.02E-03,
68,N,1.16,"I01, I02, I03",data/sram/seu/I_N_redux.csv,3,60,0.6,2.17E+06,1.2,1.2,1948,2260,2418,,,,,,40.33,15.19,1.02E-03,
69,N,1.16,"I01, I02, I03",data/sram/seu/I_N_redux.csv,15,60,0.6,2.16E+06,1.2,1.2,2015,2278,2480,,,,,,40.14,15.23,1.05E-03,
70,N,1.16,"I01, I02, I03",data/sram/seu/I_N_redux.csv,15,60,0.6,2.17E+06,1.2,1.2,2023,2315,2581,,,,,,40.33,15.27,1.06E-03,
71,N,1.16,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_N.csv,3,60,0.6,3.29E+06,0.9,0.9,1925,2023,1932,0.9,0.9,2972,2820,2800,61.14,0.06,5.96E-04,8.71E-04
72,N,1.16,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_N.csv,3,300,0.6,1.46E+07,0.9,0.9,8555,8768,8427,0.9,0.9,11116,11408,11484,271.31,0.33,5.88E-04,7.76E-04
73,N,1.16,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_N.csv,3,300,0.9,1.32E+07,1.2,1.6,131072*,131072*,131072*,0.9,1.2,131072*,131072*,7776,245.30,0.58,#DIV/0!,5.89E-04
74,N,1.16,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_N.csv,3,60,0.9,2.66E+06,1.2,1.2,1333,1274,1303,0.9,0.9,1580,1536,1664,49.43,0.63,4.90E-04,5.99E-04
75,N,1.16,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_N.csv,3,240,0.9,9.98E+06,1.2,1.2,4916,5077,4837,0.9,0.9,5932,5960,6492,185.46,0.81,4.95E-04,6.14E-04
76,N,1.16,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_N.csv,3,300,1.2,1.16E+07,3.5,3.5,5036,5341,5036,1.2,1.2,4136,4404,4536,215.57,1.03,4.43E-04,3.76E-04
77,N,1.16,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_N.csv,3,300,1.5,1.17E+07,12,12,3653,3838,3626,1.2,1.2,3024,3180,3324,217.42,1.25,3.17E-04,2.71E-04
78,O,1.54,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_O.csv,3,223,0.6,9.44E+06,0.9,0.9,6472*,6877*,6968*,0.9,1.2,8547*,9180*,9300*,232.89,1.48,#DIV/0!,#DIV/0!
79,O,1.54,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_O.csv,3,180,0.6,7.77E+06,0.9,0.9,6432,6789,6599,0.9,0.9,8136,9064,8860,191.69,1.67,8.50E-04,1.12E-03
80,O,1.54,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_O.csv,3,240,0.9,9.57E+06,1.2,1.2,6078,6280,6307,0.9,0.9,7444,7872,7896,236.10,1.91,6.50E-04,8.08E-04
81,O,1.54,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_O.csv,3,300,1.2,1.04E+07,3.5,4.7,Suspected latchup,,,1.2,1.8,6144,6520,6656,256.58,2.16,#DIV/0!,6.19E-04
82,O,1.54,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_O.csv,3,60,1.2,2.07E+06,3.5,3.5,1220,1176,1285,1.2,1.2,1412,1320,1496,51.07,2.21,5.93E-04,6.81E-04
83,O,1.54,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_O.csv,3,240,1.2,7.98E+06,3.5,3.9,Suspected latchup,,,1.2,1.7,4860,4952,4812,196.87,2.41,#DIV/0!,6.11E-04
84,O,1.54,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_O.csv,3,60,1.2,2.13E+06,3.5,3.5,1244,1273,1332,1.2,1.2,1300,1356,1344,52.55,2.46,6.02E-04,6.26E-04
85,O,1.54,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_O.csv,3,60,1.2,1.95E+06,3.5,3.5,1123,1203,1161,1.2,1.2,1268,1188,1296,48.11,2.51,5.96E-04,6.41E-04
88,O,1.54,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_O.csv,3,120,1.2,3.76E+06,3.5,3.5,2189,2249,2247,1.2,1.2,2132,2344,2436,92.76,2.60,5.93E-04,6.13E-04
