m1 TID @ 12:36:41,m2 TID @ 12:36:41,m3 TID @ 12:36:41,m1 TID @ 12:36:42,m2 TID @ 12:36:42,m3 TID @ 12:36:42,m1 TID @ 12:36:44,m2 TID @ 12:36:44,m3 TID @ 12:36:44,m1 TID @ 12:36:45,m2 TID @ 12:36:46,m3 TID @ 12:36:46,m1 TID @ 12:36:47,m2 TID @ 12:36:47,m3 TID @ 12:36:47,m1 TID @ 12:36:49,m2 TID @ 12:36:49,m3 TID @ 12:36:49,m1 TID @ 12:36:50,m2 TID @ 12:36:50,m3 TID @ 12:36:50,m1 TID @ 12:36:52,m2 TID @ 12:36:52,m3 TID @ 12:36:52,m1 TID @ 12:36:54,m2 TID @ 12:36:54,m3 TID @ 12:36:54,m1 TID @ 12:36:55,m2 TID @ 12:36:55,m3 TID @ 12:36:55
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
