Timestamp(s),DataPattern(Byte),ActualVoltage(V),ActualTime(s),M1Faults(#),M2Faults(#),M3Faults(#)
1617999888,0,0.25188268684957427,10.004456996917725,4578,5478,2226
1618004107,0,0.2521326944792016,10.010194540023804,262144,262144,262144
1618004584,0,0.25200769066438794,10.004665851593018,4678,7636,2812
1618004602,0,0.25363274025696586,10.003062725067139,4577,6268,2441
1618004620,0,0.25288271736808376,10.006655216217041,4635,7280,2681
1618004639,0,0.25188268684957427,10.010629653930664,4565,7830,2845
1618067249,0,0.5003902706991791,60.01052212715149,1,0,2
1618067316,0,0.4992652363658559,60.0619843006134,1,0,2
1618067735,0,0.591518051698355,60.056008100509644,1,0,2
1618067802,0,0.591518051698355,60.055789947509766,1,0,2
1618067869,0,0.6001433149204993,60.04522109031677,0,0,0
1618067935,0,0.599893307290872,60.02216458320618,0,0,0
1618068003,0,0.591518051698355,60.00243830680847,1,0,2
1618068070,0,0.5926430860316781,60.06035828590393,1,0,2
1618068137,0,0.5997683034760583,60.00223684310913,0,0,0
1618068396,0,0.6995213476973785,60.00374436378479,0,0,0
1618068464,0,0.6995213476973785,60.03843688964844,0,0,0
1618068592,0,0.6000183111056856,60.04969143867493,0,0,0
1618068660,0,0.5926430860316781,60.05412721633911,1,0,2
1618068726,0,0.6000183111056856,60.00396227836609,0,0,0
1618068793,0,0.5927680898464919,60.058008432388306,1,0,2
1618068860,0,0.6000183111056856,60.01067304611206,133,146,101
1618068926,0,0.6000183111056856,60.00701570510864,229,198,152
1618068993,0,0.6003933225501267,60.016876220703125,221,209,154
1618069060,0,0.6002683187353131,60.006427526474,211,237,137
1618069127,0,0.5923930784020508,60.002951860427856,232,206,137
1618069195,0,0.5927680898464919,60.05465364456177,216,198,170
1618069262,0,0.5923930784020508,60.05233979225159,225,236,165
1618069330,0,0.5916430555131688,60.009870529174805,238,209,164
1618069397,0,0.5922680745872372,60.00461721420288,272,183,176
1618069464,0,0.6001433149204993,60.013092041015625,227,225,130
1618069530,0,0.600643330179754,60.038554191589355,244,191,144
1618069598,0,0.5922680745872372,60.002553939819336,271,235,156
1618069665,0,0.6003933225501267,60.00874471664429,223,246,152
1618069731,0,0.6002683187353131,60.01189208030701,234,207,163
1618069799,0,0.5918930631427961,60.030569553375244,275,232,190
1618069865,0,0.6000183111056856,60.060829877853394,253,266,144
1618069932,0,0.6003933225501267,60.02511501312256,266,233,168
1618069999,0,0.6003933225501267,60.04229474067688,233,224,174
1618070385,0,0.5910180364391003,60.05647373199463,1,0,2
1618070452,0,0.6000183111056856,60.05680441856384,0,0,0
1618070518,0,0.6002683187353131,60.0361909866333,0,0,0
1618070585,0,0.6001433149204993,60.03473901748657,0,0,0
1618070652,0,0.6002683187353131,60.06159257888794,0,0,0
1618070718,0,0.6003933225501267,60.03708362579346,0,0,0
1618070785,0,0.5923930784020508,60.00818729400635,1,0,2
1618070853,0,0.5922680745872372,60.06017851829529,1,0,2
1618070920,0,0.5923930784020508,60.01006722450256,1,0,2
1618070987,0,0.6001433149204993,60.013651847839355,0,0,0
1618071054,0,0.5923930784020508,60.05743193626404,1,0,2
1618071121,0,0.6002683187353131,60.010151386260986,0,0,0
1618071189,0,0.5923930784020508,60.028000354766846,1,0,2
1618071255,0,0.6005183263649404,60.048240423202515,0,0,0
1618071322,0,0.6001433149204993,60.05689215660095,0,0,0
1618071389,0,0.6002683187353131,60.06190347671509,0,0,0
1618071456,0,0.5923930784020508,60.016761302948,1,0,2
1618071523,0,0.600643330179754,60.04988360404968,0,0,0
1618071590,0,0.5921430707724235,60.01666021347046,1,0,2
1618071658,0,0.5922680745872372,60.008177042007446,1,0,2
1618071725,0,0.6005183263649404,60.06016278266907,337,313,232
1618071791,0,0.599893307290872,60.061453104019165,545,537,370
1618071858,0,0.599893307290872,60.01173663139343,567,493,381
1618071925,0,0.5997683034760583,60.05213260650635,564,502,388
1618071991,0,0.6002683187353131,60.01139187812805,570,467,385
1618072058,0,0.5996432996612445,60.011059522628784,552,517,400
1618072125,0,0.5996432996612445,60.00877118110657,553,547,369
1618072192,0,0.6090185857722709,60.04092526435852,548,476,410
1618072260,0,0.6091435895870846,60.009395360946655,531,519,369
1618073795,0,0.5995182958464309,60.0062575340271,0,0,0
1618073862,0,0.5992682882168036,60.06244492530823,45,60,41
1618073931,0,0.5981432538834803,60.03612923622131,375,375,265
1618073998,0,0.6032684102908414,60.009496212005615,339,313,240
1618074066,0,0.5991432844019898,60.04691219329834,334,301,225
1618074133,0,0.5983932615131077,60.03453087806702,291,286,192
1618074201,0,0.6015183568834499,60.05129051208496,286,259,183
1618074269,0,0.1025031281472213,60.00859045982361,182,162,92
1618074337,0,0.10237812433240762,60.006943225860596,184,162,119
1618074405,0,0.001250038148136845,60.00521492958069,199,165,115
1618074516,0,0.0,60.01100039482117,115,131,63
1618074584,0,0.0,60.06193447113037,0,0,0
1618074652,0,0.0,60.022966623306274,0,0,0
1618074720,0,0.0,60.05791640281677,0,0,0
1618075862,0,0.0,60.05367851257324,0,0,0
1618075927,0,0.0,60.002978563308716,0,1,0
1618075991,0,0.0,60.00336480140686,367,0,0
1618076056,0,0.0,60.061657428741455,577,3,1
1618076121,0,-0.00250007629627369,60.00412082672119,610,7,3
1618076186,0,0.0,60.01169443130493,638,1,1
1618076251,0,0.0,60.057430028915405,601,1,0
1618076315,0,0.0,60.004806995391846,555,1,1
1618076380,0,0.0,60.00287652015686,551,0,2
1618076445,0,0.0,60.03576922416687,619,5,0
1618076510,0,0.0,60.00818586349487,637,2,0
1618076574,0,0.0,60.00967073440552,578,2,1
1618076639,0,0.0,60.05894613265991,621,3,0
1618076704,0,0.0,60.03750562667847,645,2,0
1618076770,0,0.0,60.056432485580444,600,1,1
1618076835,0,0.0,60.008845806121826,623,6,1
1618076899,0,0.0,60.058112382888794,563,2,1
1618077213,0,-0.001250038148136845,60.0540075302124,6,8,6
1618077281,0,-0.001250038148136845,60.00356078147888,0,0,0
1618077348,0,0.0,60.032817363739014,0,0,0
1618077416,0,0.0,60.04533791542053,0,0,0
1618077483,0,0.0,60.05708432197571,0,0,0
1618077551,0,0.0,60.00851249694824,0,0,4
1618077619,0,0.0,60.02082419395447,79,81,38
1618079539,0,-0.29250892666402173,60.00625824928284,0,0,1
1618079607,0,-0.1336290780358287,60.00860548019409,0,86,46
1618079674,0,0.08825269325846125,60.05125403404236,1024,184,117
1618079743,0,-0.09337784966582233,60.01278209686279,245760,186,98
1618079813,0,-0.020125614185003204,60.071038484573364,262144,184,109
1618079882,0,-0.8952773216956084,60.04670786857605,262144,189,105
1618079951,0,-2.2925699636829737,60.030157804489136,262144,186,105
1622661771,0,0.00250007629627369,60.029067039489746,0,0,0
