Date(y-m-d),Time(H:M:S),Command(str),NominalA(V),NominalB(V),NominalC(V),NominalD(V),SizeA(kB),SizeB(kB),SizeC(kB),SizeD(kB),HoldTime(s),HoldVoltsA(V),HoldVoltsB(V),HoldVolts(C),HoldVolts(D),PatternA(dec),PatternB(dec),PatternC(dec),PatternD(dec),StatusA1(bool),StatusA2(bool),StatusA3(bool),StatusB1(bool),StatusB2(bool),StatusB3(bool),StatusC1(bool),StatusC2(bool),StatusC3(bool),StatusD1(bool),StatusD2(bool),StatusD3(bool),TotalA(#),TotalB(#),TotalC(#),TotalD(#),FaultsA1(#),FaultsA2(#),FaultsA3(#),FaultsB1(#),FaultsB2(#),FaultsB3(#),FaultsC1(#),FaultsC2(#),FaultsC3(#),FaultsD1(#),FaultsD2(#),FaultsD3(#),Output(file)
2021-11-10,14:41:31,STATUS,3.3,3.3,3.3,3.3,512,512,512,512,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2021-11-10,14:41:35,FILL,3.3,3.3,3.3,3.3,512,512,512,512,,,,,,85,85,85,85,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2021-11-10,14:41:36,HOLD,3.3,3.3,3.3,3.3,512,512,512,512,1,0.5,1.0,1.5,2.0,,,,,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2021-11-10,14:41:48,CHECK,3.3,3.3,3.3,3.3,512,512,512,512,,,,,,85,85,85,85,0,1,0,0,0,0,0,0,0,0,0,0,0.0,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,data/temp/check.csv
2021-11-10,14:42:17,STATUS,3.3,3.3,3.3,3.3,512,512,512,512,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2021-11-10,14:42:20,FILL,3.3,3.3,3.3,3.3,512,512,512,512,,,,,,85,85,85,85,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2021-11-10,14:42:21,HOLD,3.3,3.3,3.3,3.3,512,512,512,512,1,0.5,1.0,1.5,2.0,,,,,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2021-11-10,14:42:33,CHECK,3.3,3.3,3.3,3.3,512,512,512,512,,,,,,85,85,85,85,0,1,0,0,0,0,0,0,0,0,0,0,0.0,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,data/temp/check.csv
2021-11-10,14:43:03,STATUS,3.3,3.3,3.3,3.3,512,512,512,512,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2021-11-10,14:43:06,FILL,3.3,3.3,3.3,3.3,512,512,512,512,,,,,,85,85,85,85,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2021-11-10,14:43:07,HOLD,3.3,3.3,3.3,3.3,512,512,512,512,1,0.5,1.0,1.5,2.0,,,,,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2021-11-10,14:43:19,CHECK,3.3,3.3,3.3,3.3,512,512,512,512,,,,,,85,85,85,85,0,1,0,0,0,0,0,0,0,0,0,0,0.0,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,data/temp/check.csv
