,F01,F02,F03,F04
177,0.24,0.2,0.2,0.185
178,0.24,0.19,0.21,0.205
179,0.24,0.195,0.19,0.185
180,0.24,0.2,0.195,0.205
181,0.24,0.205,0.2,0.2
182,0.24,0.19,0.2,0.205
183,0.24,0.21,0.195,0.21
184,0.24,0.2,0.2,0.225
185,0.24,0.19,0.2,0.205
186,0.24,0.2,0.21,0.205
187,0.24,0.195,0.19,0.195
188,0.24,0.2,0.195,0.195
189,0.24,0.215,0.195,0.195
190,0.24,0.195,0.195,0.195
191,0.24,0.19,0.2,0.19
192,0.24,0.19,0.195,0.2
193,0.24,0.205,0.19,0.205
194,0.24,0.195,0.22,0.225
195,0.24,0.2,0.195,0.2
196,0.24,0.195,0.245,0.205
197,0.24,0.205,0.205,0.2
198,0.24,0.195,0.195,0.195
199,0.24,0.2,0.195,0.2
200,0.24,0.205,0.195,0.22
201,0.24,0.205,0.2,0.2
202,0.24,0.21,0.21,0.195
203,0.24,0.2,0.19,0.2
204,0.24,0.215,0.2,0.21
205,0.24,0.185,0.225,0.22
206,0.24,0.2,0.2,0.195
207,0.24,0.205,0.22,0.2
208,0.24,0.22,0.205,0.225
209,0.24,0.205,0.215,0.2
210,0.24,0.19,0.205,0.2
211,0.24,0.19,0.19,0.205
212,0.24,0.195,0.235,0.205
213,0.24,0.185,0.2,0.19
214,0.24,0.185,0.195,0.2
215,0.24,0.195,0.2,0.195
216,0.24,0.19,0.205,0.19
217,0.24,0.19,0.19,0.195
218,0.24,0.195,0.2,0.195
219,0.24,0.185,0.205,0.215
220,0.24,0.195,0.19,0.205
221,0.24,0.19,0.19,0.19
222,0.26,0.195,0.195,0.215
223,0.24,0.215,0.19,0.21
224,0.28,0.195,0.2,0.195
225,0.24,0.19,0.19,0.205
226,0.24,0.215,0.195,0.19
227,0.24,0.19,0.195,0.195
228,0.24,0.195,0.195,0.2
229,0.24,0.225,0.19,0.2
230,0.24,0.195,0.2,0.255
231,0.24,0.205,0.2,0.195
232,0.24,0.195,0.195,0.19
233,0.24,0.205,0.19,0.25
234,0.24,0.215,0.195,0.225
235,0.24,0.205,0.23,0.2
236,0.24,0.19,0.2,0.215
237,0.24,0.19,0.195,0.205
238,0.24,0.215,0.205,0.205
239,0.24,0.2,0.195,0.2
240,0.24,0.205,0.2,0.21
241,0.24,0.195,0.205,0.195
242,0.24,0.22,0.2,0.19
243,0.24,0.19,0.2,0.195
244,0.24,0.19,0.195,0.2
245,0.24,0.21,0.195,0.215
246,0.24,0.2,0.205,0.195
247,0.24,0.22,0.205,0.21
248,0.24,0.21,0.2,0.195
249,0.24,0.19,0.205,0.265
250,0.24,0.19,0.195,0.205
251,0.24,0.19,0.225,0.205
252,0.24,0.205,0.235,0.19
253,0.24,0.195,0.205,0.21
254,0.24,0.19,0.195,0.205
255,0.24,0.2,0.245,0.22
256,0.24,0.2,0.19,0.215
257,0.24,0.21,0.21,0.195
258,0.24,0.2,0.205,0.195
259,0.255,0.19,0.19,0.2
260,0.24,0.19,0.205,0.225
261,0.24,0.195,0.2,0.21
262,0.3,0.195,0.205,0.2
263,0.24,0.235,0.2,0.205
264,0.24,0.23,0.26,0.205
265,0.24,0.195,0.21,0.205
266,0.24,0.19,0.21,0.235
267,0.24,0.195,0.21,0.23
268,0.24,0.195,0.195,0.205
269,0.24,0.195,0.2,0.205
270,0.24,0.19,0.21,0.235
271,0.24,0.19,0.2,0.195
272,0.24,0.205,0.205,0.265
273,0.245,0.205,0.19,0.2
274,0.24,0.21,0.205,0.19
275,0.24,0.195,0.19,0.195
276,0.24,0.22,0.2,0.26
277,0.24,0.19,0.2,0.195
278,0.24,0.23,0.2,0.28
279,0.24,0.24,0.185,0.21
280,0.24,0.2,0.19,0.19
281,0.24,0.2,0.195,0.195
282,0.24,0.19,0.2,0.19
283,0.24,0.21,0.22,0.21
284,0.24,0.195,0.2,0.19
285,0.24,0.215,0.19,0.205
286,0.24,0.19,0.195,0.195
287,0.24,0.195,0.195,0.19
288,0.295,0.195,0.21,0.205
289,0.24,0.21,0.21,0.2
290,0.24,0.2,0.195,0.215
291,0.24,0.195,0.19,0.2
292,0.24,0.195,0.195,0.22
293,0.24,0.2,0.195,0.21
294,0.24,0.2,0.215,0.225
295,0.24,0.19,0.2,0.195
296,0.24,0.225,0.2,0.205
297,0.24,0.23,0.2,0.2
298,0.24,0.19,0.21,0.21
299,0.24,0.2,0.21,0.19
300,0.24,0.19,0.195,0.195
301,0.24,0.19,0.19,0.215
302,0.24,0.205,0.195,0.195
303,0.24,0.195,0.2,0.195
304,0.24,0.195,0.2,0.22
305,0.24,0.2,0.205,0.195
306,0.24,0.195,0.2,0.205
307,0.24,0.195,0.195,0.19
308,0.24,0.205,0.2,0.195
309,0.24,0.195,0.22,0.2
310,0.24,0.195,0.195,0.215
311,0.24,0.225,0.205,0.2
312,0.24,0.24,0.19,0.205
313,0.24,0.2,0.2,0.21
314,0.24,0.195,0.195,0.195
315,0.24,0.22,0.19,0.205
316,0.24,0.195,0.235,0.195
317,0.24,0.21,0.2,0.195
318,0.24,0.2,0.19,0.2
319,0.24,0.195,0.2,0.2
320,0.24,0.205,0.235,0.215
321,0.24,0.19,0.205,0.195
322,0.24,0.21,0.21,0.21
323,0.24,0.195,0.19,0.2
324,0.24,0.205,0.21,0.2
325,0.24,0.195,0.195,0.195
326,0.24,0.19,0.195,0.195
327,0.24,0.21,0.2,0.2
328,0.24,0.26,0.2,0.195
329,0.24,0.195,0.2,0.195
330,0.24,0.195,0.195,0.205
331,0.24,0.225,0.2,0.215
332,0.24,0.19,0.21,0.2
333,0.24,0.205,0.205,0.195
334,0.24,0.205,0.205,0.225
335,0.24,0.19,0.195,0.235
336,0.24,0.195,0.195,0.22
337,0.24,0.195,0.2,0.195
338,0.24,0.185,0.205,0.205
339,0.24,0.2,0.2,0.23
340,0.24,0.215,0.185,0.19
341,0.24,0.195,0.215,0.215
342,0.24,0.195,0.215,0.215
343,0.24,0.21,0.225,0.195
344,0.24,0.195,0.195,0.2
345,0.24,0.22,0.195,0.2
346,0.24,0.19,0.25,0.195
347,0.24,0.19,0.195,0.19
348,0.24,0.195,0.2,0.225
349,0.255,0.2,0.2,0.22
350,0.24,0.195,0.19,0.2
351,0.24,0.215,0.23,0.195
352,0.24,0.21,0.2,0.205
353,0.24,0.22,0.205,0.2
354,0.24,0.21,0.195,0.21
355,0.24,0.195,0.215,0.2
356,0.24,0.215,0.19,0.2
357,0.24,0.2,0.21,0.21
358,0.24,0.235,0.22,0.195
359,0.24,0.24,0.185,0.195
360,0.24,0.195,0.185,0.2
361,0.24,0.225,0.195,0.2
362,0.24,0.205,0.19,0.2
363,0.24,0.205,0.27,0.21
364,0.24,0.195,0.195,0.205
365,0.24,0.235,0.235,0.195
366,0.24,0.235,0.2,0.21
367,0.24,0.215,0.21,0.205
368,0.24,0.2,0.19,0.195
369,0.24,0.235,0.205,0.22
370,0.24,0.19,0.275,0.2
371,0.24,0.195,0.2,0.22
372,0.24,0.195,0.19,0.195
373,0.24,0.215,0.2,0.2
374,0.24,0.19,0.195,0.2
375,0.24,0.195,0.195,0.22
376,0.24,0.205,0.235,0.195
377,0.24,0.205,0.19,0.205
378,0.24,0.2,0.215,0.205
379,0.24,0.205,0.2,0.205
380,0.24,0.185,0.225,0.28
381,0.24,0.2,0.205,0.215
382,0.24,0.195,0.195,0.195
383,0.24,0.19,0.2,0.23
384,0.24,0.2,0.2,0.195
385,0.24,0.21,0.2,0.19
386,0.24,0.225,0.195,0.2
387,0.24,0.215,0.21,0.205
388,0.24,0.19,0.195,0.195
389,0.24,0.205,0.195,0.2
390,0.24,0.195,0.215,0.245
391,0.24,0.195,0.25,0.2
392,0.24,0.205,0.21,0.21
393,0.24,0.22,0.2,0.195
394,0.295,0.195,0.19,0.2
395,0.24,0.195,0.195,0.205
396,0.24,0.22,0.185,0.2
397,0.24,0.195,0.205,0.2
398,0.24,0.195,0.205,0.225
399,0.24,0.21,0.23,0.225
400,0.24,0.2,0.2,0.195
401,0.24,0.2,0.215,0.205
402,0.24,0.2,0.2,0.23
403,0.24,0.235,0.21,0.205
404,0.24,0.2,0.19,0.195
405,0.24,0.2,0.195,0.22
406,0.24,0.205,0.185,0.205
407,0.24,0.195,0.245,0.25
408,0.24,0.195,0.19,0.195
409,0.24,0.22,0.215,0.195
410,0.24,0.215,0.195,0.19
411,0.24,0.3,0.25,0.205
412,0.24,0.205,0.22,0.2
413,0.24,0.2,0.195,0.22
414,0.24,0.19,0.205,0.205
415,0.24,0.19,0.195,0.26
416,0.24,0.2,0.2,0.195
417,0.24,0.2,0.24,0.195
418,0.24,0.255,0.19,0.23
419,0.24,0.205,0.245,0.205
420,0.24,0.195,0.235,0.22
421,0.24,0.2,0.2,0.215
422,0.24,0.195,0.195,0.195
423,0.275,0.2,0.215,0.22
424,0.24,0.2,0.195,0.19
425,0.24,0.215,0.215,0.195
426,0.24,0.19,0.19,0.19
427,0.24,0.205,0.2,0.19
428,0.24,0.215,0.195,0.19
429,0.24,0.21,0.195,0.25
430,0.24,0.195,0.2,0.2
431,0.24,0.21,0.185,0.205
432,0.24,0.195,0.21,0.185
433,0.24,0.205,0.215,0.195
434,0.24,0.23,0.2,0.205
435,0.24,0.19,0.235,0.2
436,0.24,0.195,0.2,0.2
437,0.24,0.195,0.195,0.195
438,0.24,0.19,0.205,0.215
439,0.24,0.2,0.195,0.195
440,0.24,0.2,0.19,0.2
441,0.24,0.205,0.195,0.195
442,0.24,0.195,0.2,0.225
443,0.24,0.21,0.195,0.24
444,0.24,0.215,0.2,0.215
445,0.24,0.21,0.205,0.215
446,0.24,0.235,0.2,0.2
447,0.24,0.195,0.2,0.21
448,0.24,0.195,0.2,0.2
449,0.24,0.2,0.205,0.195
450,0.24,0.19,0.2,0.195
451,0.24,0.2,0.2,0.195
452,0.24,0.21,0.24,0.205
453,0.24,0.205,0.215,0.205
454,0.24,0.19,0.205,0.2
455,0.24,0.19,0.195,0.2
456,0.24,0.235,0.19,0.195
457,0.24,0.195,0.215,0.195
458,0.24,0.2,0.225,0.2
459,0.24,0.205,0.205,0.19
460,0.24,0.2,0.195,0.2
461,0.24,0.215,0.21,0.2
462,0.24,0.225,0.205,0.225
463,0.24,0.21,0.23,0.2
464,0.24,0.205,0.205,0.22
465,0.24,0.24,0.195,0.22
466,0.24,0.225,0.205,0.195
467,0.24,0.195,0.225,0.2
468,0.24,0.2,0.205,0.23
469,0.24,0.215,0.195,0.205
470,0.24,0.205,0.2,0.2
471,0.24,0.2,0.195,0.205
472,0.24,0.215,0.2,0.205
473,0.24,0.195,0.19,0.21
474,0.24,0.21,0.205,0.21
475,0.24,0.205,0.205,0.19
476,0.24,0.23,0.2,0.24
477,0.24,0.2,0.21,0.195
478,0.24,0.195,0.19,0.2
479,0.24,0.19,0.2,0.19
480,0.24,0.215,0.225,0.21
481,0.24,0.215,0.195,0.225
482,0.24,0.23,0.22,0.225
483,0.24,0.205,0.21,0.205
484,0.28,0.205,0.2,0.19
485,0.24,0.225,0.215,0.2
486,0.24,0.21,0.19,0.195
487,0.24,0.2,0.195,0.185
488,0.24,0.195,0.21,0.2
489,0.24,0.195,0.19,0.205
490,0.24,0.195,0.19,0.2
491,0.24,0.195,0.235,0.195
492,0.24,0.245,0.195,0.195
493,0.24,0.195,0.185,0.195
494,0.24,0.2,0.195,0.2
495,0.24,0.19,0.21,0.225
496,0.24,0.195,0.205,0.2
497,0.24,0.2,0.19,0.2
498,0.24,0.24,0.195,0.22
499,0.24,0.195,0.195,0.2
500,0.24,0.195,0.205,0.205
501,0.24,0.22,0.205,0.195
502,0.24,0.2,0.19,0.195
503,0.24,0.2,0.205,0.2
504,0.24,0.185,0.195,0.2
505,0.24,0.2,0.205,0.2
506,0.24,0.205,0.195,0.235
507,0.24,0.21,0.19,0.23
508,0.24,0.215,0.2,0.2
509,0.24,0.23,0.195,0.195
510,0.28,0.24,0.2,0.195
511,0.24,0.205,0.215,0.195
512,0.24,0.195,0.195,0.23
513,0.245,0.195,0.19,0.205
514,0.24,0.225,0.235,0.215
515,0.24,0.22,0.205,0.215
516,0.24,0.195,0.195,0.2
517,0.24,0.195,0.2,0.205
518,0.24,0.195,0.195,0.2
519,0.24,0.235,0.21,0.225
520,0.24,0.25,0.2,0.2
521,0.24,0.19,0.2,0.19
522,0.24,0.22,0.235,0.195
523,0.24,0.2,0.205,0.2
524,0.24,0.195,0.19,0.195
525,0.24,0.195,0.2,0.21
526,0.24,0.235,0.2,0.2
527,0.24,0.195,0.25,0.205
528,0.24,0.2,0.2,0.195
529,0.24,0.24,0.195,0.19
530,0.24,0.245,0.24,0.205
531,0.24,0.195,0.185,0.21
532,0.24,0.19,0.19,0.205
533,0.24,0.215,0.21,0.19
534,0.24,0.23,0.195,0.2
535,0.24,0.235,0.2,0.215
536,0.24,0.185,0.185,0.19
537,0.24,0.195,0.21,0.195
538,0.24,0.19,0.195,0.205
539,0.24,0.19,0.205,0.21
540,0.24,0.21,0.185,0.225
541,0.24,0.195,0.205,0.195
542,0.24,0.19,0.205,0.195
543,0.24,0.195,0.205,0.2
544,0.24,0.225,0.195,0.205
545,0.24,0.195,0.215,0.205
546,0.24,0.195,0.19,0.22
547,0.365,0.21,0.205,0.19
548,0.24,0.225,0.19,0.2
549,0.24,0.2,0.205,0.21
550,0.24,0.195,0.2,0.195
551,0.24,0.19,0.2,0.195
552,0.24,0.24,0.195,0.195
553,0.24,0.235,0.19,0.205
554,0.24,0.22,0.2,0.19
555,0.245,0.22,0.23,0.21
556,0.24,0.215,0.2,0.2
557,0.24,0.195,0.195,0.195
558,0.24,0.205,0.215,0.205
559,0.24,0.2,0.19,0.205
560,0.24,0.2,0.2,0.2
561,0.24,0.19,0.195,0.195
562,0.24,0.2,0.22,0.195
563,0.24,0.185,0.225,0.195
564,0.24,0.225,0.2,0.195
565,0.24,0.21,0.195,0.255
566,0.24,0.2,0.23,0.195
567,0.24,0.21,0.19,0.195
568,0.255,0.2,0.19,0.22
569,0.24,0.195,0.205,0.2
570,0.24,0.195,0.19,0.2
571,0.24,0.19,0.21,0.2
572,0.24,0.205,0.195,0.2
573,0.24,0.205,0.19,0.25
574,0.24,0.195,0.21,0.195
575,0.24,0.24,0.2,0.195
576,0.24,0.195,0.195,0.2
577,0.24,0.19,0.19,0.195
578,0.24,0.275,0.215,0.195
579,0.24,0.2,0.205,0.19
580,0.24,0.225,0.185,0.2
581,0.24,0.19,0.195,0.195
582,0.24,0.245,0.2,0.195
583,0.24,0.195,0.195,0.205
584,0.24,0.215,0.2,0.2
585,0.24,0.205,0.19,0.2
586,0.24,0.185,0.195,0.2
587,0.24,0.185,0.195,0.22
588,0.24,0.21,0.19,0.195
589,0.24,0.205,0.2,0.2
590,0.24,0.19,0.19,0.205
591,0.24,0.195,0.205,0.205
592,0.24,0.19,0.2,0.19
593,0.24,0.185,0.195,0.195
594,0.24,0.2,0.19,0.195
595,0.24,0.19,0.19,0.21
596,0.24,0.19,0.195,0.195
597,0.24,0.195,0.21,0.23
598,0.24,0.21,0.19,0.21
599,0.24,0.195,0.19,0.19
600,0.24,0.2,0.195,0.21
601,0.24,0.2,0.2,0.185
602,0.24,0.21,0.2,0.195
603,0.24,0.195,0.19,0.195
604,0.24,0.23,0.21,0.23
605,0.24,0.195,0.205,0.205
606,0.24,0.21,0.22,0.2
607,0.24,0.195,0.205,0.26
608,0.24,0.195,0.2,0.225
609,0.24,0.19,0.225,0.2
610,0.24,0.195,0.22,0.205
611,0.24,0.195,0.215,0.2
612,0.24,0.19,0.205,0.2
613,0.24,0.2,0.19,0.205
614,0.24,0.235,0.2,0.205
615,0.24,0.235,0.195,0.185
616,0.24,0.21,0.21,0.19
617,0.24,0.215,0.205,0.22
618,0.24,0.2,0.2,0.205
619,0.24,0.2,0.2,0.195
620,0.24,0.195,0.195,0.195
621,0.24,0.2,0.205,0.2
622,0.24,0.205,0.205,0.195
623,0.24,0.195,0.205,0.195
624,0.24,0.195,0.215,0.305
625,0.24,0.235,0.19,0.215
626,0.24,0.21,0.195,0.195
627,0.24,0.195,0.19,0.2
628,0.24,0.195,0.195,0.2
629,0.24,0.195,0.195,0.19
630,0.24,0.19,0.195,0.205
631,0.24,0.225,0.2,0.19
632,0.24,0.2,0.195,0.195
633,0.24,0.21,0.195,0.19
634,0.24,0.195,0.2,0.19
