,F01,F02,F03,F04
1984,0.24,0.195,0.19,0.195
1985,0.24,0.205,0.195,0.21
1986,0.24,0.2,0.2,0.195
1987,0.24,0.215,0.215,0.205
1988,0.24,0.195,0.21,0.225
1989,0.24,0.205,0.205,0.195
1990,0.24,0.21,0.205,0.195
1991,0.24,0.205,0.185,0.205
1992,0.24,0.23,0.195,0.225
1993,0.24,0.19,0.205,0.225
1994,0.24,0.195,0.195,0.195
1995,0.24,0.205,0.195,0.205
1996,0.24,0.255,0.195,0.2
1997,0.24,0.2,0.19,0.195
1998,0.24,0.21,0.2,0.24
1999,0.24,0.19,0.2,0.22
2000,0.24,0.195,0.195,0.25
2001,0.24,0.195,0.195,0.215
2002,0.24,0.205,0.21,0.195
2003,0.24,0.215,0.19,0.23
2004,0.24,0.23,0.185,0.19
2005,0.24,0.195,0.2,0.195
2006,0.24,0.22,0.2,0.205
2007,0.24,0.2,0.31,0.2
2008,0.24,0.2,0.19,0.205
2009,0.24,0.2,0.21,0.215
2010,0.24,0.195,0.28,0.195
2011,0.24,0.215,0.2,0.2
2012,0.24,0.2,0.195,0.195
2013,0.24,0.195,0.195,0.2
2014,0.24,0.195,0.205,0.195
2015,0.24,0.195,0.195,0.205
2016,0.24,0.2,0.2,0.21
2017,0.24,0.19,0.19,0.205
2018,0.24,0.195,0.195,0.205
2019,0.24,0.2,0.19,0.225
2020,0.24,0.19,0.21,0.205
2021,0.24,0.22,0.23,0.22
2022,0.24,0.195,0.195,0.195
2023,0.24,0.195,0.195,0.21
2024,0.24,0.19,0.195,0.19
2025,0.24,0.19,0.195,0.25
2026,0.24,0.23,0.185,0.2
2027,0.24,0.19,0.19,0.205
2028,0.24,0.215,0.2,0.19
2029,0.24,0.22,0.2,0.2
2030,0.24,0.215,0.23,0.2
2031,0.24,0.21,0.205,0.215
2032,0.24,0.195,0.2,0.205
2033,0.24,0.19,0.19,0.195
2034,0.24,0.205,0.21,0.2
2035,0.24,0.195,0.195,0.2
2036,0.24,0.18,0.195,0.195
2037,0.24,0.2,0.19,0.19
2038,0.24,0.2,0.195,0.19
2039,0.24,0.2,0.205,0.195
2040,0.24,0.21,0.195,0.205
2041,0.24,0.195,0.205,0.2
2042,0.24,0.2,0.2,0.205
2043,0.24,0.23,0.195,0.215
2044,0.24,0.19,0.25,0.195
2045,0.24,0.195,0.21,0.215
2046,0.24,0.2,0.205,0.2
2047,0.24,0.2,0.19,0.21
2048,0.24,0.225,0.21,0.205
2049,0.24,0.2,0.32,0.21
2050,0.24,0.2,0.2,0.205
2051,0.24,0.21,0.195,0.195
2052,0.24,0.24,0.195,0.195
2053,0.24,0.2,0.205,0.215
2054,0.24,0.21,0.2,0.19
2055,0.24,0.235,0.2,0.21
2056,0.24,0.195,0.2,0.21
2057,0.24,0.205,0.195,0.19
2058,0.24,0.235,0.2,0.205
2059,0.24,0.225,0.195,0.235
2060,0.24,0.19,0.22,0.195
2061,0.24,0.235,0.205,0.19
2062,0.24,0.19,0.195,0.225
2063,0.24,0.205,0.235,0.2
2064,0.24,0.195,0.2,0.2
2065,0.24,0.22,0.195,0.195
2066,0.24,0.19,0.205,0.195
2067,0.24,0.19,0.2,0.195
2068,0.24,0.195,0.215,0.2
2069,0.24,0.2,0.195,0.215
2070,0.24,0.23,0.185,0.195
2071,0.24,0.235,0.195,0.205
2072,0.24,0.2,0.185,0.195
2073,0.24,0.205,0.205,0.195
2074,0.24,0.2,0.205,0.195
2075,0.24,0.205,0.2,0.215
2076,0.24,0.185,0.195,0.2
2077,0.24,0.195,0.195,0.2
2078,0.24,0.19,0.19,0.2
2079,0.24,0.23,0.205,0.195
2080,0.24,0.21,0.19,0.23
2081,0.24,0.195,0.19,0.2
2082,0.24,0.195,0.19,0.19
2083,0.24,0.2,0.195,0.195
2084,0.24,0.19,0.215,0.2
2085,0.24,0.215,0.195,0.2
2086,0.24,0.195,0.205,0.2
2087,0.24,0.22,0.205,0.195
2088,0.24,0.195,0.19,0.2
2089,0.24,0.215,0.2,0.19
2090,0.24,0.2,0.21,0.195
2091,0.24,0.22,0.195,0.2
2092,0.24,0.195,0.205,0.195
2093,0.24,0.2,0.185,0.195
2094,0.24,0.19,0.2,0.2
2095,0.24,0.195,0.2,0.21
2096,0.24,0.195,0.195,0.195
2097,0.24,0.215,0.205,0.19
2098,0.24,0.195,0.195,0.19
2099,0.24,0.19,0.21,0.195
2100,0.24,0.19,0.2,0.205
2101,0.24,0.195,0.195,0.205
2102,0.24,0.195,0.21,0.22
2103,0.24,0.205,0.225,0.195
2104,0.27,0.205,0.21,0.2
2105,0.24,0.195,0.205,0.205
2106,0.24,0.21,0.185,0.195
2107,0.245,0.2,0.2,0.2
2108,0.24,0.215,0.2,0.195
2109,0.24,0.2,0.2,0.2
2110,0.24,0.205,0.19,0.195
2111,0.24,0.195,0.21,0.21
2112,0.24,0.19,0.185,0.195
2113,0.24,0.195,0.195,0.195
2114,0.24,0.19,0.215,0.19
2115,0.24,0.2,0.225,0.19
2116,0.24,0.21,0.195,0.205
2117,0.24,0.2,0.23,0.195
2118,0.24,0.185,0.19,0.215
2119,0.24,0.19,0.19,0.195
2120,0.24,0.2,0.195,0.205
2121,0.24,0.205,0.195,0.205
2122,0.24,0.19,0.235,0.195
2123,0.24,0.205,0.195,0.195
2124,0.24,0.2,0.185,0.2
2125,0.24,0.195,0.195,0.2
2126,0.24,0.2,0.205,0.185
2127,0.24,0.21,0.2,0.2
2128,0.24,0.21,0.2,0.2
2129,0.24,0.24,0.2,0.195
2130,0.24,0.19,0.21,0.205
2131,0.24,0.19,0.2,0.195
2132,0.24,0.22,0.2,0.195
2133,0.24,0.21,0.22,0.195
2134,0.24,0.205,0.2,0.195
2135,0.24,0.19,0.21,0.22
2136,0.24,0.205,0.205,0.2
2137,0.24,0.235,0.205,0.205
2138,0.24,0.195,0.2,0.19
2139,0.24,0.215,0.22,0.19
2140,0.24,0.205,0.2,0.19
2141,0.24,0.195,0.195,0.2
2142,0.24,0.2,0.2,0.2
2143,0.24,0.2,0.2,0.21
2144,0.24,0.225,0.19,0.195
2145,0.24,0.195,0.2,0.215
2146,0.24,0.215,0.195,0.21
2147,0.24,0.215,0.22,0.21
2148,0.24,0.195,0.2,0.195
2149,0.24,0.195,0.19,0.195
2150,0.24,0.235,0.205,0.21
2151,0.24,0.235,0.2,0.2
2152,0.24,0.2,0.205,0.195
2153,0.24,0.195,0.22,0.19
2154,0.24,0.19,0.195,0.215
2155,0.24,0.19,0.245,0.2
2156,0.24,0.205,0.2,0.195
2157,0.24,0.21,0.195,0.195
2158,0.24,0.195,0.195,0.195
2159,0.24,0.2,0.195,0.2
2160,0.24,0.195,0.2,0.195
2161,0.24,0.235,0.2,0.195
2162,0.24,0.2,0.2,0.195
2163,0.24,0.205,0.205,0.205
2164,0.24,0.19,0.19,0.195
2165,0.24,0.195,0.2,0.2
2166,0.24,0.195,0.19,0.21
2167,0.24,0.195,0.28,0.19
2168,0.24,0.195,0.205,0.195
2169,0.24,0.2,0.21,0.185
2170,0.24,0.195,0.195,0.28
2171,0.24,0.2,0.195,0.195
2172,0.24,0.21,0.195,0.2
2173,0.24,0.195,0.195,0.19
2174,0.24,0.195,0.2,0.21
2175,0.24,0.2,0.195,0.195
2176,0.24,0.195,0.2,0.195
2177,0.24,0.185,0.185,0.2
2178,0.24,0.195,0.215,0.2
2179,0.24,0.2,0.21,0.2
2180,0.24,0.195,0.195,0.205
2181,0.24,0.2,0.195,0.22
2182,0.24,0.195,0.2,0.19
2183,0.24,0.195,0.195,0.2
2184,0.24,0.215,0.19,0.19
2185,0.24,0.19,0.205,0.235
2186,0.24,0.195,0.2,0.195
2187,0.24,0.195,0.2,0.21
2188,0.24,0.19,0.205,0.255
2189,0.24,0.21,0.205,0.2
2190,0.24,0.185,0.195,0.205
2191,0.24,0.205,0.19,0.21
2192,0.24,0.21,0.21,0.2
2193,0.24,0.195,0.195,0.2
2194,0.24,0.225,0.19,0.205
2195,0.24,0.235,0.2,0.21
2196,0.24,0.2,0.195,0.205
2197,0.24,0.195,0.235,0.195
2198,0.24,0.205,0.2,0.19
2199,0.24,0.21,0.195,0.19
2200,0.24,0.195,0.225,0.2
2201,0.24,0.19,0.195,0.19
2202,0.24,0.235,0.2,0.21
2203,0.24,0.19,0.19,0.195
2204,0.24,0.195,0.195,0.195
2205,0.24,0.195,0.2,0.2
2206,0.24,0.195,0.195,0.2
2207,0.24,0.195,0.2,0.195
2208,0.24,0.225,0.21,0.19
2209,0.24,0.21,0.19,0.205
2210,0.24,0.235,0.195,0.2
2211,0.24,0.19,0.19,0.195
2212,0.24,0.195,0.195,0.2
2213,0.24,0.195,0.2,0.19
2214,0.24,0.195,0.19,0.195
2215,0.24,0.195,0.225,0.19
2216,0.24,0.195,0.2,0.2
2217,0.24,0.19,0.195,0.195
2218,0.24,0.2,0.2,0.195
2219,0.24,0.195,0.215,0.205
2220,0.24,0.225,0.2,0.2
2221,0.24,0.19,0.24,0.205
2222,0.24,0.2,0.185,0.21
2223,0.24,0.21,0.2,0.195
2224,0.24,0.215,0.195,0.21
2225,0.24,0.185,0.22,0.225
2226,0.24,0.24,0.2,0.205
2227,0.24,0.22,0.2,0.195
2228,0.24,0.185,0.19,0.195
2229,0.24,0.205,0.195,0.22
2230,0.24,0.2,0.23,0.19
2231,0.24,0.185,0.2,0.19
2232,0.24,0.19,0.215,0.195
2233,0.24,0.195,0.19,0.185
2234,0.24,0.195,0.195,0.235
2235,0.24,0.185,0.19,0.255
2236,0.24,0.215,0.2,0.285
2237,0.24,0.23,0.2,0.19
2238,0.24,0.195,0.195,0.22
2239,0.24,0.21,0.2,0.22
2240,0.24,0.2,0.2,0.19
2241,0.24,0.21,0.19,0.195
2242,0.24,0.185,0.19,0.22
2243,0.24,0.195,0.19,0.195
2244,0.24,0.195,0.21,0.275
2245,0.24,0.205,0.21,0.21
2246,0.24,0.2,0.195,0.25
2247,0.24,0.2,0.2,0.2
2248,0.24,0.19,0.19,0.195
2249,0.24,0.23,0.195,0.2
2250,0.24,0.24,0.2,0.19
2251,0.24,0.2,0.19,0.2
2252,0.24,0.2,0.19,0.195
2253,0.24,0.2,0.195,0.195
2254,0.24,0.2,0.2,0.205
2255,0.24,0.185,0.225,0.195
2256,0.24,0.195,0.235,0.19
2257,0.24,0.235,0.2,0.185
2258,0.24,0.26,0.195,0.195
2259,0.24,0.195,0.19,0.21
2260,0.24,0.225,0.215,0.19
2261,0.24,0.205,0.2,0.185
2262,0.24,0.215,0.195,0.2
2263,0.24,0.19,0.185,0.195
2264,0.24,0.195,0.195,0.22
2265,0.24,0.2,0.215,0.205
2266,0.24,0.22,0.205,0.195
2267,0.24,0.2,0.19,0.19
2268,0.24,0.195,0.195,0.19
2269,0.24,0.2,0.195,0.225
2270,0.24,0.2,0.195,0.19
2271,0.24,0.205,0.185,0.235
2272,0.24,0.195,0.2,0.195
2273,0.24,0.195,0.205,0.21
2274,0.24,0.23,0.21,0.195
2275,0.24,0.225,0.19,0.205
2276,0.255,0.215,0.2,0.195
2277,0.24,0.205,0.2,0.185
2278,0.24,0.225,0.19,0.205
2279,0.24,0.19,0.2,0.195
2280,0.24,0.19,0.195,0.21
2281,0.24,0.195,0.205,0.225
2282,0.24,0.2,0.2,0.195
2283,0.24,0.24,0.19,0.195
2284,0.24,0.195,0.2,0.2
2285,0.24,0.19,0.185,0.2
2286,0.24,0.195,0.23,0.215
2287,0.24,0.195,0.205,0.235
2288,0.24,0.195,0.195,0.195
2289,0.24,0.205,0.2,0.205
2290,0.26,0.24,0.2,0.21
2291,0.24,0.195,0.21,0.195
2292,0.24,0.19,0.195,0.2
2293,0.24,0.2,0.215,0.195
2294,0.24,0.185,0.275,0.19
2295,0.24,0.195,0.185,0.21
2296,0.24,0.195,0.21,0.195
2297,0.24,0.195,0.205,0.2
2298,0.24,0.21,0.19,0.195
2299,0.24,0.185,0.19,0.195
2300,0.24,0.205,0.225,0.205
2301,0.24,0.22,0.19,0.2
2302,0.24,0.195,0.195,0.215
2303,0.24,0.185,0.195,0.205
2304,0.24,0.195,0.195,0.195
2305,0.24,0.19,0.2,0.2
2306,0.24,0.205,0.21,0.22
2307,0.24,0.225,0.21,0.235
2308,0.24,0.2,0.215,0.215
2309,0.24,0.22,0.22,0.205
2310,0.24,0.215,0.19,0.2
2311,0.24,0.225,0.19,0.205
2312,0.24,0.195,0.2,0.19
2313,0.24,0.205,0.185,0.205
2314,0.24,0.19,0.21,0.22
2315,0.24,0.195,0.19,0.195
2316,0.24,0.19,0.195,0.21
2317,0.24,0.2,0.235,0.195
2318,0.24,0.205,0.22,0.205
2319,0.24,0.195,0.23,0.24
2320,0.24,0.19,0.34,0.195
2321,0.24,0.2,0.2,0.205
2322,0.24,0.19,0.245,0.195
2323,0.24,0.195,0.2,0.195
2324,0.24,0.19,0.205,0.195
2325,0.24,0.2,0.19,0.2
2326,0.24,0.195,0.19,0.195
2327,0.24,0.195,0.185,0.195
2328,0.24,0.205,0.195,0.2
2329,0.24,0.195,0.2,0.235
2330,0.24,0.2,0.19,0.2
2331,0.245,0.21,0.21,0.195
2332,0.24,0.215,0.2,0.19
2333,0.24,0.19,0.2,0.215
2334,0.24,0.185,0.22,0.2
2335,0.24,0.2,0.215,0.195
2336,0.24,0.19,0.225,0.2
2337,0.24,0.2,0.205,0.215
2338,0.24,0.22,0.205,0.2
2339,0.24,0.19,0.195,0.195
2340,0.24,0.21,0.2,0.205
2341,0.26,0.195,0.205,0.195
2342,0.24,0.2,0.28,0.21
2343,0.24,0.21,0.2,0.2
2344,0.24,0.195,0.19,0.2
2345,0.24,0.205,0.19,0.23
2346,0.24,0.2,0.2,0.24
2347,0.24,0.195,0.205,0.195
2348,0.24,0.205,0.195,0.195
2349,0.24,0.19,0.19,0.23
2350,0.24,0.195,0.2,0.205
2351,0.24,0.205,0.19,0.195
2352,0.24,0.195,0.19,0.19
2353,0.24,0.195,0.2,0.235
2354,0.24,0.195,0.21,0.22
2355,0.24,0.195,0.2,0.2
2356,0.24,0.2,0.2,0.2
2357,0.24,0.195,0.21,0.195
2358,0.24,0.195,0.21,0.2
2359,0.24,0.195,0.2,0.22
2360,0.24,0.185,0.2,0.195
2361,0.24,0.195,0.195,0.205
2362,0.24,0.205,0.2,0.235
2363,0.24,0.21,0.22,0.2
2364,0.24,0.2,0.195,0.195
2365,0.24,0.215,0.185,0.215
2366,0.305,0.2,0.195,0.205
2367,0.24,0.19,0.205,0.2
2368,0.24,0.2,0.205,0.2
2369,0.24,0.19,0.2,0.195
2370,0.24,0.195,0.19,0.235
2371,0.24,0.2,0.205,0.23
2372,0.24,0.215,0.2,0.205
2373,0.24,0.205,0.205,0.19
2374,0.24,0.2,0.2,0.195
2375,0.24,0.205,0.205,0.2
2376,0.24,0.215,0.195,0.195
2377,0.24,0.195,0.205,0.195
2378,0.24,0.215,0.195,0.2
2379,0.24,0.185,0.2,0.185
2380,0.24,0.19,0.205,0.195
2381,0.24,0.21,0.2,0.325
2382,0.24,0.19,0.19,0.195
2383,0.24,0.2,0.19,0.2
2384,0.24,0.195,0.205,0.195
2385,0.24,0.195,0.215,0.195
2386,0.24,0.19,0.19,0.19
2387,0.24,0.225,0.21,0.195
2388,0.24,0.215,0.19,0.205
2389,0.24,0.26,0.205,0.195
2390,0.24,0.225,0.2,0.2
2391,0.24,0.195,0.19,0.24
2392,0.24,0.195,0.19,0.195
2393,0.24,0.195,0.205,0.2
2394,0.24,0.195,0.2,0.2
2395,0.24,0.185,0.24,0.205
2396,0.24,0.225,0.19,0.215
2397,0.24,0.205,0.19,0.22
2398,0.24,0.195,0.19,0.215
2399,0.24,0.205,0.19,0.225
2400,0.24,0.205,0.21,0.195
2401,0.24,0.2,0.2,0.22
2402,0.24,0.195,0.205,0.2
2403,0.24,0.2,0.22,0.195
2404,0.24,0.19,0.19,0.205
2405,0.24,0.185,0.195,0.195
2406,0.24,0.19,0.245,0.19
2407,0.24,0.2,0.195,0.195
2408,0.24,0.19,0.2,0.195
2409,0.24,0.23,0.185,0.19
2410,0.24,0.2,0.2,0.265
2411,0.24,0.2,0.2,0.2
2412,0.24,0.215,0.2,0.19
2413,0.24,0.2,0.185,0.215
2414,0.24,0.22,0.2,0.19
2415,0.24,0.195,0.205,0.23
2416,0.24,0.225,0.2,0.215
2417,0.24,0.205,0.2,0.2
2418,0.24,0.2,0.225,0.2
2419,0.24,0.2,0.225,0.19
2420,0.24,0.195,0.215,0.2
2421,0.24,0.22,0.295,0.255
2422,0.24,0.2,0.195,0.195
2423,0.24,0.19,0.205,0.225
2424,0.24,0.2,0.21,0.195
2425,0.24,0.215,0.2,0.215
2426,0.24,0.19,0.195,0.205
2427,0.24,0.23,0.21,0.205
2428,0.24,0.205,0.2,0.21
2429,0.24,0.19,0.205,0.195
2430,0.24,0.19,0.195,0.21
2431,0.24,0.21,0.195,0.195
2432,0.24,0.21,0.19,0.195
2433,0.24,0.185,0.215,0.19
2434,0.24,0.195,0.19,0.21
2435,0.24,0.2,0.195,0.205
2436,0.24,0.205,0.19,0.205
2437,0.24,0.22,0.245,0.28
2438,0.24,0.195,0.205,0.19
2439,0.24,0.2,0.215,0.2
2440,0.24,0.21,0.205,0.22
2441,0.24,0.19,0.2,0.2
2442,0.24,0.2,0.215,0.2
2443,0.24,0.195,0.195,0.215
2444,0.24,0.19,0.21,0.205
2445,0.24,0.195,0.2,0.205
2446,0.24,0.24,0.195,0.19
2447,0.24,0.2,0.2,0.2
2448,0.24,0.19,0.2,0.2
2449,0.24,0.2,0.19,0.19
2450,0.24,0.195,0.2,0.205
2451,0.24,0.21,0.185,0.195
2452,0.24,0.195,0.19,0.205
2453,0.24,0.195,0.21,0.205
2454,0.24,0.205,0.2,0.195
2455,0.24,0.195,0.2,0.195
2456,0.24,0.2,0.19,0.205
2457,0.24,0.19,0.25,0.19
2458,0.24,0.195,0.195,0.2
2459,0.24,0.2,0.235,0.21
2460,0.24,0.2,0.205,0.24
2461,0.24,0.19,0.195,0.195
2462,0.245,0.2,0.2,0.225
2463,0.24,0.2,0.205,0.2
2464,0.24,0.185,0.21,0.2
2465,0.24,0.2,0.195,0.215
2466,0.24,0.2,0.2,0.195
2467,0.24,0.225,0.22,0.22
2468,0.24,0.22,0.225,0.195
2469,0.24,0.195,0.21,0.205
2470,0.24,0.245,0.2,0.235
2471,0.24,0.195,0.215,0.255
2472,0.24,0.2,0.205,0.2
2473,0.24,0.195,0.19,0.21
2474,0.24,0.245,0.195,0.195
2475,0.24,0.2,0.195,0.2
2476,0.24,0.21,0.195,0.205
2477,0.24,0.19,0.2,0.195
2478,0.24,0.195,0.195,0.205
2479,0.24,0.22,0.19,0.2
2480,0.24,0.215,0.205,0.225
2481,0.24,0.205,0.19,0.205
2482,0.24,0.195,0.195,0.2
2483,0.24,0.21,0.19,0.205
2484,0.24,0.2,0.19,0.22
2485,0.24,0.19,0.205,0.21
2486,0.24,0.2,0.195,0.195
2487,0.24,0.2,0.22,0.195
2488,0.24,0.195,0.23,0.205
2489,0.24,0.205,0.215,0.2
2490,0.24,0.195,0.195,0.2
2491,0.24,0.19,0.195,0.19
2492,0.24,0.195,0.195,0.19
2493,0.24,0.2,0.195,0.19
2494,0.24,0.195,0.195,0.19
2495,0.24,0.2,0.21,0.19
2496,0.24,0.2,0.19,0.2
2497,0.24,0.195,0.205,0.19
2498,0.24,0.285,0.195,0.21
2499,0.24,0.2,0.21,0.205
2500,0.24,0.19,0.205,0.22
2501,0.24,0.195,0.185,0.205
2502,0.24,0.2,0.19,0.21
2503,0.24,0.19,0.215,0.2
2504,0.24,0.195,0.205,0.2
2505,0.24,0.205,0.195,0.205
2506,0.24,0.205,0.19,0.225
2507,0.24,0.21,0.19,0.195
2508,0.24,0.2,0.25,0.195
2509,0.24,0.2,0.2,0.2
2510,0.24,0.19,0.195,0.2
2511,0.24,0.195,0.2,0.195
2512,0.24,0.215,0.205,0.2
2513,0.24,0.205,0.2,0.215
2514,0.24,0.19,0.2,0.215
2515,0.24,0.2,0.2,0.21
2516,0.24,0.205,0.215,0.2
2517,0.24,0.185,0.285,0.215
2518,0.24,0.215,0.19,0.2
2519,0.24,0.19,0.225,0.2
2520,0.24,0.22,0.2,0.195
2521,0.24,0.205,0.22,0.215
2522,0.24,0.21,0.19,0.19
2523,0.24,0.195,0.195,0.205
2524,0.24,0.23,0.195,0.19
2525,0.24,0.235,0.195,0.19
2526,0.24,0.215,0.19,0.205
2527,0.24,0.185,0.19,0.195
2528,0.24,0.2,0.195,0.195
2529,0.24,0.195,0.2,0.2
2530,0.24,0.215,0.215,0.2
2531,0.24,0.2,0.195,0.21
2532,0.24,0.195,0.205,0.195
2533,0.24,0.2,0.195,0.21
2534,0.24,0.21,0.205,0.21
2535,0.24,0.2,0.2,0.205
2536,0.24,0.22,0.19,0.205
2537,0.24,0.195,0.195,0.19
2538,0.24,0.2,0.185,0.195
2539,0.24,0.19,0.2,0.215
2540,0.24,0.22,0.22,0.195
2541,0.24,0.215,0.195,0.195
2542,0.24,0.205,0.19,0.195
2543,0.24,0.19,0.19,0.195
2544,0.24,0.195,0.2,0.2
2545,0.24,0.185,0.2,0.2
2546,0.24,0.205,0.205,0.2
2547,0.24,0.195,0.2,0.215
2548,0.24,0.195,0.205,0.195
2549,0.24,0.195,0.19,0.195
2550,0.24,0.2,0.195,0.2
2551,0.24,0.2,0.2,0.2
2552,0.24,0.205,0.195,0.185
2553,0.24,0.195,0.2,0.215
2554,0.24,0.215,0.195,0.205
2555,0.24,0.195,0.21,0.195
2556,0.24,0.195,0.2,0.21
2557,0.24,0.195,0.21,0.24
2558,0.26,0.19,0.22,0.265
2559,0.24,0.185,0.19,0.21
2560,0.24,0.205,0.205,0.19
2561,0.24,0.185,0.215,0.195
2562,0.24,0.205,0.205,0.21
2563,0.24,0.195,0.205,0.21
2564,0.24,0.195,0.195,0.205
2565,0.24,0.2,0.23,0.22
2566,0.24,0.245,0.22,0.225
2567,0.24,0.21,0.195,0.21
2568,0.24,0.21,0.22,0.21
2569,0.24,0.195,0.205,0.2
2570,0.24,0.19,0.195,0.205
2571,0.24,0.205,0.185,0.195
2572,0.24,0.195,0.2,0.205
2573,0.24,0.195,0.195,0.2
2574,0.24,0.195,0.195,0.2
2575,0.24,0.195,0.195,0.195
2576,0.24,0.195,0.2,0.21
2577,0.24,0.19,0.21,0.23
2578,0.24,0.215,0.19,0.2
2579,0.24,0.195,0.23,0.205
2580,0.24,0.21,0.195,0.195
2581,0.24,0.195,0.205,0.225
2582,0.24,0.195,0.215,0.185
2583,0.24,0.21,0.185,0.205
2584,0.24,0.2,0.19,0.21
2585,0.24,0.195,0.19,0.2
2586,0.24,0.205,0.195,0.205
2587,0.24,0.185,0.19,0.2
2588,0.24,0.205,0.19,0.225
2589,0.24,0.22,0.19,0.195
2590,0.275,0.21,0.19,0.19
2591,0.24,0.2,0.185,0.205
2592,0.24,0.215,0.195,0.195
2593,0.24,0.2,0.195,0.195
2594,0.24,0.2,0.215,0.21
2595,0.24,0.205,0.195,0.21
2596,0.24,0.185,0.195,0.23
2597,0.24,0.185,0.195,0.2
2598,0.24,0.21,0.19,0.185
2599,0.24,0.2,0.195,0.195
2600,0.24,0.205,0.205,0.19
2601,0.24,0.19,0.2,0.195
2602,0.24,0.2,0.2,0.195
2603,0.24,0.195,0.215,0.19
2604,0.24,0.195,0.195,0.19
2605,0.24,0.195,0.195,0.205
2606,0.24,0.2,0.195,0.22
2607,0.24,0.195,0.21,0.19
2608,0.24,0.195,0.195,0.195
2609,0.24,0.2,0.195,0.2
2610,0.24,0.195,0.195,0.2
2611,0.24,0.235,0.195,0.2
2612,0.24,0.2,0.2,0.195
2613,0.24,0.195,0.195,0.2
2614,0.24,0.205,0.195,0.23
2615,0.24,0.195,0.19,0.23
2616,0.24,0.215,0.235,0.205
2617,0.24,0.2,0.195,0.195
2618,0.24,0.22,0.215,0.195
2619,0.24,0.195,0.2,0.21
2620,0.24,0.195,0.225,0.195
2621,0.24,0.24,0.185,0.195
2622,0.24,0.195,0.21,0.205
2623,0.24,0.21,0.2,0.19
2624,0.24,0.21,0.21,0.195
2625,0.24,0.2,0.2,0.2
2626,0.24,0.195,0.195,0.21
2627,0.24,0.23,0.205,0.2
2628,0.24,0.205,0.21,0.2
2629,0.24,0.195,0.19,0.21
2630,0.24,0.195,0.2,0.205
2631,0.24,0.21,0.205,0.22
2632,0.24,0.195,0.185,0.2
2633,0.24,0.205,0.195,0.205
2634,0.24,0.195,0.195,0.205
2635,0.24,0.2,0.185,0.2
2636,0.24,0.2,0.19,0.22
2637,0.24,0.195,0.195,0.2
2638,0.24,0.205,0.2,0.205
2639,0.24,0.24,0.2,0.19
2640,0.24,0.195,0.195,0.2
2641,0.24,0.195,0.205,0.22
2642,0.24,0.195,0.185,0.19
2643,0.26,0.19,0.2,0.2
2644,0.24,0.2,0.195,0.2
2645,0.24,0.19,0.195,0.205
2646,0.24,0.185,0.2,0.205
2647,0.265,0.21,0.26,0.195
2648,0.24,0.22,0.21,0.195
2649,0.24,0.195,0.19,0.2
2650,0.24,0.195,0.2,0.23
2651,0.24,0.205,0.19,0.2
2652,0.24,0.2,0.205,0.2
2653,0.24,0.195,0.195,0.2
2654,0.24,0.185,0.195,0.205
2655,0.24,0.205,0.2,0.2
2656,0.24,0.19,0.19,0.2
2657,0.24,0.2,0.205,0.205
2658,0.24,0.195,0.19,0.19
2659,0.24,0.22,0.185,0.215
2660,0.24,0.195,0.195,0.2
2661,0.24,0.195,0.185,0.205
2662,0.24,0.215,0.19,0.225
2663,0.24,0.195,0.195,0.2
2664,0.24,0.215,0.195,0.205
2665,0.24,0.2,0.2,0.225
2666,0.24,0.215,0.23,0.215
2667,0.24,0.195,0.19,0.2
2668,0.24,0.195,0.19,0.195
2669,0.24,0.205,0.235,0.205
2670,0.345,0.185,0.185,0.195
2671,0.24,0.19,0.195,0.2
2672,0.24,0.195,0.205,0.205
2673,0.24,0.23,0.22,0.2
2674,0.24,0.215,0.19,0.2
2675,0.24,0.21,0.195,0.2
2676,0.24,0.2,0.195,0.19
2677,0.24,0.205,0.2,0.21
2678,0.24,0.19,0.21,0.205
2679,0.24,0.22,0.195,0.195
2680,0.24,0.195,0.195,0.195
2681,0.24,0.195,0.195,0.19
2682,0.24,0.195,0.2,0.195
2683,0.24,0.205,0.2,0.19
2684,0.24,0.195,0.19,0.2
2685,0.24,0.19,0.185,0.195
2686,0.24,0.21,0.2,0.195
2687,0.24,0.205,0.21,0.195
2688,0.24,0.21,0.2,0.195
2689,0.24,0.19,0.195,0.2
2690,0.24,0.19,0.205,0.21
2691,0.24,0.195,0.195,0.195
2692,0.24,0.205,0.185,0.195
2693,0.24,0.265,0.195,0.205
2694,0.24,0.195,0.2,0.245
2695,0.24,0.195,0.2,0.19
2696,0.24,0.195,0.2,0.19
2697,0.24,0.195,0.2,0.2
2698,0.24,0.19,0.205,0.205
2699,0.24,0.19,0.195,0.2
2700,0.24,0.195,0.195,0.19
2701,0.24,0.195,0.19,0.215
2702,0.24,0.2,0.195,0.19
2703,0.24,0.215,0.195,0.195
2704,0.24,0.2,0.195,0.195
2705,0.24,0.195,0.19,0.225
2706,0.24,0.195,0.21,0.2
2707,0.24,0.2,0.195,0.2
2708,0.24,0.195,0.185,0.2
2709,0.24,0.2,0.205,0.2
2710,0.24,0.195,0.21,0.205
2711,0.25,0.215,0.185,0.195
2712,0.24,0.215,0.19,0.19
2713,0.24,0.205,0.19,0.195
2714,0.24,0.195,0.22,0.21
2715,0.24,0.2,0.185,0.19
2716,0.24,0.195,0.23,0.195
2717,0.24,0.205,0.205,0.2
2718,0.24,0.195,0.2,0.2
2719,0.24,0.19,0.19,0.3
